player,player_id,position,player_game_count,team_name,snap_counts_kickoff_return,snap_counts_kickoff,snap_counts_punt_return,snap_counts_punt_coverage,snap_counts_field_goal_blocking,snap_counts_field_goal,grades_misc_st,grades_kickoff_kicker,grades_kick_return,grades_punter,grades_punt_return,grades_fgep_kicker,penalties,declined_penalties,tackles,assists,missed_tackles,season,week
James Hurst,9001,T,1,BLT,0,0,0,0,0,5,60.3,,,,,,0,0,0,0,0,2016,6
Taylor Gabriel,9002,WR,1,ATL,0,0,3,2,0,0,43.6,,,,,,1,0,0,0,0,2016,6
Josh Mauro,9003,ED,1,ARZ,0,0,0,0,1,0,60.0,,,,,,0,0,0,0,0,2016,6
Todd Davis,9007,LB,1,DEN,0,0,1,0,5,0,60.5,,,,,,0,0,0,0,0,2016,6
Kasim Edebali,9011,ED,1,NO,3,5,4,4,5,0,58.9,,,,,,0,0,0,0,0,2016,6
Antonio Andrews,9014,HB,1,TEN,4,1,7,4,0,0,49.5,,,,,,1,0,1,0,0,2016,6
Christian Jones,9020,ED,1,CHI,4,5,5,6,3,0,59.7,,,,,,0,0,0,0,0,2016,6
Cornelius Lucas,9025,T,1,DET,0,0,0,0,0,5,60.4,,,,,,0,0,0,0,0,2016,6
Tenny Palepoi,9028,DI,1,SD,0,0,1,0,3,4,60.4,,,,,,0,0,0,0,0,2016,6
Cody Parkey,9030,K,1,CLV,0,6,0,0,0,4,60.0,60.0,,,,67.1,0,0,0,0,0,2016,6
Michael Ola,9032,T,1,BUF,0,0,0,0,0,7,60.5,,,,,,0,0,0,0,0,2016,6
Kerry Hyder,9045,ED,1,DET,0,0,0,0,3,0,60.0,,,,,,0,0,0,0,0,2016,6
Charcandrick West,9047,HB,1,KC,0,0,0,3,0,0,43.1,,,,,,0,0,0,0,0,2016,6
Brandon Coleman,9086,WR,1,NO,7,0,1,0,0,0,60.0,,,,,,0,0,0,0,0,2016,6
Alejandro Villanueva,9091,T,1,PIT,0,0,0,0,0,1,60.0,,,,,,0,0,0,0,0,2016,6
Xavier Grimble,9092,TE,1,PIT,7,0,0,0,0,0,69.3,,,,,,0,0,0,0,0,2016,6
Ryan Hewitt,9107,FB,1,CIN,7,0,0,4,0,3,59.0,,,,,,0,0,0,0,0,2016,6
Marcus Williams,9115,CB,1,NYJ,0,2,1,0,0,0,60.2,,,,,,0,0,0,0,0,2016,6
Andrew Norwell,9126,G,1,CAR,0,0,0,0,0,5,61.2,,,,,,0,0,0,0,0,2016,6
Garry Gilliam,9137,T,1,SEA,0,0,0,0,0,6,60.9,,,,,,0,0,0,0,0,2016,6
Chandler Catanzaro,9140,K,1,ARZ,0,5,0,0,0,4,60.0,60.0,,,,64.5,0,0,0,0,0,2016,6
Brian Dixon,9146,CB,1,NO,0,8,5,4,5,0,54.4,,,,,,0,0,0,0,0,2016,6
Adrian Phillips,9177,S,1,SD,5,0,0,0,4,0,57.0,,,,,,0,0,0,0,0,2016,6
Trey Burton,9185,TE,1,PHI,6,5,4,6,0,0,62.7,,,,,,0,0,0,0,0,2016,6
George Atkinson,9187,HB,1,CLV,5,4,4,8,0,0,53.6,,58.1,,,,0,0,0,0,1,2016,6
Damien Williams,9205,HB,1,MIA,3,7,2,2,0,0,63.8,,,,,,0,0,0,0,0,2016,6
Ryan Groy,9221,C,1,BUF,0,0,0,0,0,7,60.5,,,,,,0,0,0,0,0,2016,6
C.J. Goodwin,9243,CB,1,ATL,3,2,3,3,3,0,73.7,,,,,,0,0,1,0,0,2016,6
Fitzgerald Toussaint,9244,HB,1,PIT,7,3,2,0,0,0,60.9,,58.5,,,,0,0,0,0,0,2016,6
Justin Perillo,9248,TE,1,GB,7,0,0,0,0,0,73.3,,,,,,0,0,0,0,0,2016,6
Daniel Sorensen,9253,S,1,KC,2,6,3,3,3,0,49.7,,,,,,0,0,1,0,0,2016,6
Tyler Shatley,9257,G,1,JAX,5,0,0,0,0,3,73.1,,,,,,0,0,0,0,0,2016,6
Joe Thomas,9272,LB,1,GB,7,4,2,1,0,0,72.3,,,,,,0,0,0,0,0,2016,6
Keith Smith,9302,FB,1,DAL,4,7,0,2,0,0,63.0,,,,,,0,0,2,0,1,2016,6
Erik Swoope,9303,TE,1,IND,6,6,0,3,1,6,61.0,,,,,,0,0,0,0,0,2016,6
Anthony Steen,9315,C,1,MIA,0,0,0,0,0,8,61.6,,,,,,0,0,0,0,0,2016,6
