player,player_id,position,player_game_count,team_name,snap_counts_total,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_coverage,grades_defense,grades_run_defense,grades_tackle,grades_pass_rush_defense,grades_coverage_defense,total_pressures,sacks,hits,hurries,batted_passes,tackles,assists,missed_tackles,stops,forced_fumbles,targets,receptions,yards,yards_per_reception,yards_after_catch,longest,touchdowns,interceptions,pass_break_ups,qb_rating_against,penalties,declined_penalties,season,week
Corey Graham,3784,CB,1,BUF,53,0,31,22,91.5,70.4,80.2,,92.6,0,0,0,0,0,5,1,0,2,0,4,2,20,10.0,12,14.0,0,1,0,25.0,1,0,2014,14
William Gay,3786,CB,1,PIT,61,0,19,42,83.7,72.8,40.3,,80.8,0,0,0,0,0,2,1,2,1,0,6,4,29,7.3,8,11.0,1,0,1,117.4,0,0,2014,14
Craig Dahl,3920,S,1,SF,3,1,1,1,48.0,60.0,79.0,59.7,60.0,0,0,0,0,0,0,0,0,0,0,1,1,18,18.0,8,18.0,0,0,0,118.8,0,0,2014,14
Jason Trusnik,4083,LB,1,MIA,25,4,10,11,64.7,62.3,,55.0,65.8,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0,2014,14
James Ihedigbo,4147,S,1,DET,64,0,11,53,85.8,65.6,84.6,,79.5,0,0,0,0,0,4,1,0,1,0,3,1,8,8.0,10,8.0,0,1,0,2.8,0,0,2014,14
Chris Long,4316,ED,1,SL,30,23,7,0,58.3,67.7,26.3,51.9,,1,0,1,0,0,1,0,1,1,0,0,0,0,,0,,0,0,0,0.0,0,0,2014,14
Dominique Rodgers-Cromartie,4330,CB,1,NYG,59,0,13,46,90.1,62.4,26.5,,90.3,0,0,0,0,0,0,0,1,0,0,5,3,17,5.7,14,12.0,0,1,0,26.7,0,0,2014,14
Aqib Talib,4334,CB,1,DEN,74,0,15,59,59.4,67.9,57.5,,57.6,0,0,0,0,0,4,0,1,1,0,6,3,35,11.7,30,14.0,1,0,0,107.6,0,0,2014,14
Brandon Flowers,4349,CB,1,SD,76,0,26,50,57.0,71.5,58.1,,52.7,0,0,0,0,0,6,1,1,1,0,9,7,137,19.6,73,69.0,2,0,0,158.3,0,0,2014,14
Curtis Lofton,4351,LB,1,NO,74,3,38,33,57.2,55.2,79.1,54.0,69.4,1,0,0,1,0,14,3,1,6,1,4,4,25,6.3,14,10.0,0,0,0,92.7,1,1,2014,14
Calais Campbell,4364,DI,1,ARZ,57,43,14,0,65.8,59.5,71.8,64.9,,3,1,0,2,1,3,0,0,3,0,0,0,0,,0,,0,0,0,0.0,0,0,2014,14
Quentin Groves,4366,ED,1,TEN,31,2,23,6,64.8,58.2,72.8,68.9,63.8,0,0,0,0,0,2,0,1,2,0,0,0,0,,0,,0,0,0,0.0,0,0,2014,14
Jason Jones,4368,ED,1,DET,40,34,6,0,38.3,56.7,,48.0,,1,0,0,1,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,1,0,2014,14
Kendall Langford,4380,DI,1,SL,26,18,5,3,43.6,53.9,,51.0,57.4,2,0,1,1,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0,2014,14
Pat Sims,4391,DI,1,OAK,16,7,9,0,51.7,49.6,26.3,64.2,,1,0,1,0,0,1,0,1,0,0,0,0,0,,0,,0,0,0,0.0,0,0,2014,14
Andre Fluellen,4401,DI,1,DET,17,15,2,0,63.9,60.0,67.3,57.7,,3,1,0,2,0,0,0,0,1,0,0,0,0,,0,,0,0,0,0.0,0,0,2014,14
Cliff Avril,4406,ED,1,SEA,37,21,16,0,61.8,50.4,73.3,71.3,,4,0,0,4,0,0,1,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0,2014,14
Philip Wheeler,4407,LB,1,MIA,48,5,27,16,51.7,61.1,39.2,54.0,47.3,0,0,0,0,0,6,2,2,4,0,3,3,53,17.7,32,29.0,0,0,0,118.8,0,0,2014,14
