season,week,team_name,assists,declined_penalties,grades_fgep_kicker,grades_kick_return,grades_kickoff_kicker,snap_counts_field_goal_blocking,grades_misc_st,grades_punt_return,grades_punter,missed_tackles,penalties,tackles,all_penalties,team_name_games,opponent,over_under_line,weather_detail,weather_temperature,weather_wind_mph,spread_team,is_favorite,fantasy_points
2013,3,PHI,1.0,1.0,47.6,65.1,60.0,7.0,56.16666666666667,32.9,61.1,4.0,1.0,5.0,2.0,PHI,KC,51.0,,73.0,5.0,-3.5,1,14.0
2013,3,PIT,1.0,0.0,65.5,60.65,60.0,7.0,60.79729729729728,60.65,55.2,0.0,2.0,5.0,2.0,PIT,CHI,41.0,,56.0,5.0,2.5,0,14.0
2013,3,SD,0.0,0.0,65.2,54.1,60.0,5.0,59.00588235294118,53.5,68.9,3.0,1.0,6.0,1.0,LAC,TEN,43.5,,76.0,7.0,3.0,0,10.0
2013,3,SEA,0.0,0.0,61.7,59.45,60.4,3.0,59.11315789473685,62.7,58.8,0.0,0.0,4.0,0.0,SEA,JAX,39.5,,61.0,17.0,-20.0,1,6.0
2013,3,SF,0.0,0.0,60.1,55.9,60.0,6.0,59.72285714285715,61.5,61.1,0.0,0.0,2.0,0.0,SF,IND,47.0,,66.0,5.0,-10.0,1,12.0
2013,3,SL,0.0,0.0,60.1,58.3,60.0,6.0,59.82285714285714,70.2,62.4,0.0,2.0,3.0,2.0,LAR,DAL,47.0,DOME,72.0,0.0,3.5,0,12.0
2013,3,TB,0.0,0.0,44.6,57.8,60.0,5.0,59.977142857142866,61.4,65.4,1.0,0.0,3.0,0.0,TB,NE,45.0,,72.0,9.0,7.5,0,10.0
2013,3,TEN,0.0,0.0,48.7,66.9,60.0,4.0,58.75428571428573,62.0,60.6,0.0,4.0,2.0,4.0,TEN,LAC,43.5,,76.0,7.0,-3.0,1,8.0
2013,3,WAS,1.0,0.0,63.8,59.15000000000001,60.0,5.0,60.01388888888889,61.4,67.7,0.0,0.0,3.0,0.0,WAS,DET,49.5,,72.0,8.0,1.0,0,10.0
2013,4,ARZ,1.0,1.0,63.9,59.0,60.0,2.0,59.60277777777779,60.65,64.4,3.0,1.0,5.0,2.0,ARI,TB,40.0,,84.0,7.0,2.5,0,4.0
2013,4,ATL,0.0,0.0,64.8,61.1,60.0,6.0,60.43333333333336,60.5,62.9,0.0,0.0,0.0,0.0,ATL,NE,50.0,DOME,72.0,0.0,-3.0,1,12.0
2013,4,BLT,0.0,0.0,62.4,58.3,60.0,5.0,60.00000000000001,62.2,66.4,6.0,0.0,4.0,0.0,BAL,BUF,45.0,,74.0,8.0,-4.0,1,10.0
2013,4,BUF,3.0,1.0,62.3,57.8,60.0,4.0,59.985714285714295,63.8,54.2,2.0,3.0,7.0,4.0,BUF,BAL,45.0,,74.0,8.0,4.0,0,8.0
2013,4,CHI,1.0,0.0,62.9,54.3,60.0,8.0,60.6,61.25,56.6,2.0,0.0,3.0,0.0,CHI,DET,49.5,DOME,72.0,0.0,2.5,0,16.0
2013,4,CIN,2.0,0.0,63.7,55.1,60.0,5.0,59.790909090909096,61.3,66.8,0.0,0.0,3.0,0.0,CIN,CLE,42.5,,73.0,9.0,-4.5,1,10.0
2013,4,CLV,0.0,0.0,39.0,67.2,60.0,2.0,59.43513513513512,60.3,62.5,3.0,1.0,5.0,1.0,CLE,CIN,42.5,,73.0,9.0,4.5,0,4.0
2013,4,DAL,1.0,0.0,46.0,62.3,60.0,6.0,58.905,61.5,53.8,0.0,0.0,2.0,0.0,DAL,LAC,48.0,,80.0,7.0,-1.5,1,12.0
2013,4,DEN,0.0,0.0,59.4,72.2,67.1,5.0,61.58823529411765,61.3,61.2,1.0,1.0,2.0,1.0,DEN,PHI,59.0,,76.0,8.0,-11.5,1,10.0
2013,4,DET,1.0,0.0,66.2,55.0,64.2,4.0,57.86315789473685,69.3,56.5,6.0,1.0,7.0,1.0,DET,CHI,49.5,DOME,72.0,0.0,-2.5,1,8.0
2013,4,HST,1.0,0.0,63.6,58.0,60.0,5.0,58.102777777777774,61.1,62.2,0.0,2.0,6.0,2.0,HOU,SEA,41.0,DOME (Open Roof),82.0,9.0,2.0,0,10.0
2013,4,IND,2.0,0.0,65.1,59.7,61.4,1.0,58.36060606060607,55.7,62.6,0.0,1.0,5.0,1.0,IND,JAX,42.5,,80.0,12.0,-9.5,1,2.0
2013,4,JAX,1.0,0.0,62.0,58.8,60.0,7.0,59.59393939393942,60.7,64.5,0.0,2.0,7.0,2.0,JAX,IND,42.5,,80.0,12.0,9.5,0,14.0
2013,4,KC,2.0,0.0,71.0,59.5,60.0,2.0,57.72500000000001,91.5,69.2,3.0,2.0,6.0,2.0,KC,NYG,44.0,,73.0,5.0,-4.5,1,4.0
2013,4,MIA,0.0,0.0,61.9,58.0,60.0,7.0,58.18823529411765,60.7,58.8,2.0,2.0,4.0,2.0,MIA,NO,49.0,DOME,72.0,0.0,7.5,0,14.0
2013,4,MIN,0.0,0.0,55.4,67.75,60.4,5.0,59.438888888888904,61.5,57.9,1.0,1.0,5.0,1.0,MIN,PIT,41.5,,54.0,11.0,3.0,0,10.0
2013,4,NE,1.0,0.0,68.9,58.95,61.4,5.0,60.05526315789474,60.3,61.6,0.0,1.0,2.0,1.0,NE,ATL,50.0,DOME,72.0,0.0,3.0,0,10.0
2013,4,NO,0.0,0.0,50.1,58.8,61.9,3.0,61.50833333333334,63.6,66.8,1.0,0.0,4.0,0.0,NO,MIA,49.0,DOME,72.0,0.0,-7.5,1,6.0
2013,4,NYG,3.0,0.0,54.7,60.5,60.0,6.0,58.59729729729732,34.5,58.2,3.0,2.0,4.0,2.0,NYG,KC,44.0,,73.0,5.0,4.5,0,12.0
2013,4,NYJ,0.0,0.0,68.2,57.7,60.0,6.0,60.05,61.5,69.2,0.0,2.0,2.0,2.0,NYJ,TEN,40.5,Rain,74.0,4.0,3.5,0,12.0
2013,4,OAK,0.0,0.0,48.4,57.85,60.0,4.0,61.25,61.0,55.6,0.0,0.0,2.0,0.0,OAK,WAS,46.0,,77.0,5.0,4.0,0,8.0
2013,4,PHI,0.0,0.0,49.7,56.8,60.0,8.0,58.63529411764705,61.1,59.2,2.0,0.0,2.0,0.0,PHI,DEN,59.0,,76.0,8.0,11.5,0,16.0
2013,4,PIT,2.0,0.0,62.2,58.3,60.0,7.0,59.07894736842106,60.9,56.1,3.0,1.0,6.0,1.0,PIT,MIN,41.5,,54.0,11.0,-3.0,1,14.0
