season,week,team_name,team_name_games,opponent,fantasy_points,points_allowed_passing,points_allowed_receiving,points_allowed_return_team,points_allowed_rushing,points_allowed_total,points_scored
2013,3,HST,HOU,BAL,14.0,6.84,25.1,6.0,13.5,51.44,24.0
2013,3,IND,IND,SF,10.0,5.0,21.5,0.0,15.500000000000002,42.0,7.0
2013,3,JAX,JAX,SEA,44.0,32.239999999999995,73.60000000000002,0.0,19.6,125.44,45.0
2013,3,KC,KC,PHI,17.0,10.04,32.60000000000001,0.0,28.4,71.04000000000002,16.0
2013,3,MIA,MIA,ATL,22.0,16.240000000000002,46.60000000000001,0.0,14.6,77.44000000000003,35.0
2013,3,MIN,MIN,CLE,39.0,26.28,72.7,0.0,10.3,109.28,31.0
2013,3,NE,NE,TB,7.0,8.44,33.1,0.0,9.7,51.24,15.0
2013,3,NO,NO,ARI,6.0,5.48,27.7,0.0,14.6,47.78,25.0
2013,3,NYG,NYG,CAR,28.0,19.92,47.8,0.0,31.4,99.12,38.0
2013,3,NYJ,NYJ,BUF,17.0,13.72,39.8,0.0,8.0,61.52,30.0
2013,3,OAK,OAK,DEN,30.0,26.96,71.39999999999998,0.0,16.400000000000002,114.76,49.0
2013,3,PHI,PHI,KC,14.0,10.92,38.3,0.0,20.6,69.82000000000001,26.0
2013,3,PIT,PIT,CHI,18.0,10.36,29.9,0.0,22.700000000000006,62.96000000000001,40.0
2013,3,SD,LAC,TEN,18.0,15.96,47.4,0.0,21.1,84.46000000000002,26.0
2013,3,SEA,SEA,JAX,6.0,7.4,32.5,0.0,13.000000000000002,52.9,47.0
2013,3,SF,SF,IND,12.0,6.36,24.40000000000001,0.0,36.4,67.16000000000001,27.0
2013,3,SL,LAR,DAL,28.0,20.4,47.5,0.0,23.3,91.2,37.0
2013,3,TB,TB,NE,24.0,16.0,47.0,0.0,15.6,78.6,23.0
2013,3,TEN,TEN,LAC,14.0,11.36,33.300000000000004,0.0,14.2,58.86000000000001,23.0
2013,3,WAS,WAS,DET,24.0,22.4,62.99999999999999,0.0,12.3,97.7,27.0
2013,4,ARZ,ARI,TB,15.0,9.72,37.3,0.0,7.800000000000002,54.82000000000001,16.0
2013,4,ATL,ATL,NE,20.0,20.64,53.60000000000001,0.0,16.4,90.64,42.0
2013,4,BLT,BAL,BUF,22.0,8.68,27.7,0.0,18.6,54.98,35.0
2013,4,BUF,BUF,BAL,30.0,16.880000000000006,59.20000000000001,0.0,2.4000000000000004,78.48000000000002,26.0
2013,4,CHI,CHI,DET,28.0,12.68,41.70000000000001,0.0,20.2,74.58000000000001,46.0
2013,4,CIN,CIN,CLE,23.0,18.76,51.40000000000001,0.0,8.9,79.06,17.0
2013,4,CLV,CLE,CIN,9.0,7.24,32.1,0.0,2.3,41.64,18.0
2013,4,DAL,DAL,LAC,28.0,27.04,75.60000000000002,0.0,11.2,113.84,42.0
2013,4,DEN,DEN,PHI,18.0,15.88,44.20000000000001,0.0,22.6,82.68,44.0
2013,4,DET,DET,CHI,27.0,17.68,57.20000000000001,0.0,17.099999999999998,91.98000000000002,34.0
2013,4,HST,HOU,SEA,13.0,3.92,18.3,0.0,19.9,42.12000000000001,29.0
2013,4,IND,IND,JAX,9.0,4.16,26.4,0.0,4.0,34.56,15.0
2013,4,JAX,JAX,IND,27.0,18.76,52.90000000000001,0.0,21.700000000000006,93.36000000000004,31.0
2013,4,KC,KC,NYG,20.0,11.68,36.7,0.0,5.8,54.18,25.0
2013,4,MIA,MIA,NO,36.0,32.52,80.3,0.0,10.8,123.62,44.0
2013,4,MIN,MIN,PIT,16.0,18.32,62.3,0.0,19.7,100.32,39.0
2013,4,NE,NE,ATL,22.0,23.84,69.10000000000001,0.0,5.800000000000002,98.74,35.0
2013,4,NO,NO,MIA,16.0,10.96,41.90000000000001,0.0,15.5,68.36000000000001,41.0
2013,4,NYG,NYG,KC,30.0,21.52,58.80000000000001,6.0,10.2,96.52,37.0
2013,4,NYJ,NYJ,TEN,32.0,26.28,60.2,0.0,7.8,94.28,38.0
2013,4,OAK,OAK,WAS,16.0,13.08,35.7,0.0,18.2,66.98,24.0
2013,4,PHI,PHI,DEN,36.0,29.48,72.69999999999997,6.0,20.100000000000005,128.28,52.0
2013,4,PIT,PIT,MIN,24.0,17.92,44.80000000000001,0.0,24.5,87.22000000000001,40.0
2013,4,SD,LAC,DAL,23.0,17.84,46.1,0.0,7.2,71.14,33.0
2013,4,SEA,SEA,HOU,29.0,20.200000000000006,61.00000000000001,0.0,13.0,94.2,20.0
2013,4,SF,SF,LAR,12.0,11.16,35.90000000000001,0.0,-0.19999999999999973,46.86,21.0
2013,4,SL,LAR,SF,24.0,14.68,36.2,0.0,35.90000000000001,86.78,41.0
2013,4,TB,TB,ARI,19.0,11.92,41.3,0.0,1.6000000000000003,54.82,19.0
2013,4,TEN,TEN,NYJ,16.0,13.56,46.4,0.0,6.6000000000000005,66.56,37.0
2013,4,WAS,WAS,OAK,19.0,12.08,39.2,0.0,4.4,55.67999999999999,14.0
2013,5,ARZ,ARI,CAR,16.0,9.32,41.3,0.0,7.5,58.12,12.0
2013,5,ATL,ATL,NYJ,26.0,19.96,45.9,0.0,11.8,77.66,42.0
2013,5,BLT,BAL,MIA,19.0,16.28,47.2,0.0,0.3999999999999998,63.88,17.0
2013,5,BUF,BUF,CLE,23.0,12.88,33.70000000000001,6.0,13.1,65.68,31.0
2013,5,CAR,CAR,ARI,21.0,8.0,33.0,0.0,15.0,56.0,20.0
2013,5,CHI,CHI,NO,22.0,19.52,53.3,0.0,4.4,77.22,38.0
2013,5,CIN,CIN,NE,17.0,6.88,26.7,0.0,6.200000000000001,39.78,6.0
2013,5,CLV,CLE,BUF,17.0,7.36,30.40000000000001,0.0,33.5,71.26,30.0
2013,5,DAL,DAL,DEN,44.0,31.56,79.9,0.0,20.3,131.76,81.0
2013,5,DEN,DEN,DAL,42.0,39.24,91.1,0.0,11.2,141.54000000000005,70.0
2013,5,DET,DET,GB,19.0,14.96,43.40000000000001,0.0,14.0,72.36000000000001,28.0
2013,5,GB,GB,DET,11.0,14.48,44.7,0.0,4.4,63.58,15.0
2013,5,HST,HOU,SF,17.0,8.52,20.3,0.0,29.7,58.52,28.0
2013,5,IND,IND,SEA,26.0,15.4,40.5,0.0,19.8,75.7,38.0
2013,5,JAX,JAX,LAR,28.0,20.880000000000006,49.7,0.0,12.300000000000004,82.88000000000002,40.0
2013,5,KC,KC,TEN,21.0,11.88,39.2,0.0,14.5,65.58,17.0
2013,5,MIA,MIA,BAL,17.0,9.76,36.40000000000001,0.0,21.3,67.46000000000001,32.0
2013,5,NE,NE,CIN,14.0,7.48,31.200000000000006,0.0,20.7,59.38000000000001,13.0
2013,5,NO,NO,CHI,17.0,22.32,59.8,0.0,4.4,86.52000000000002,28.0
2013,5,NYG,NYG,PHI,24.0,20.08,53.20000000000002,0.0,20.000000000000004,93.28000000000002,48.0
2013,5,NYJ,NYJ,ATL,20.0,20.76,59.90000000000001,0.0,18.4,99.06000000000002,46.0
2013,5,OAK,OAK,LAC,27.0,21.44,70.6,0.0,1.6000000000000003,93.64,29.0
2013,5,PHI,PHI,NYG,23.0,18.36,57.40000000000001,0.0,9.3,85.06000000000002,33.0
2013,5,SD,LAC,OAK,23.0,16.84,43.1,0.0,8.400000000000002,68.34,33.0
2013,5,SEA,SEA,IND,18.0,17.16,42.9,0.0,14.9,74.96,38.0
2013,5,SF,SF,HOU,16.0,4.52,29.8,0.0,10.2,44.52,9.0
2013,5,SL,LAR,JAX,28.0,16.8,45.0,0.0,3.6,65.4,38.0
2013,5,TEN,TEN,KC,16.0,8.8,34.5,0.0,16.0,59.3,24.0
2013,6,ARZ,ARI,SF,26.0,17.08,45.2,0.0,16.9,79.18,42.0
2013,6,BLT,BAL,GB,23.0,15.6,46.00000000000001,0.0,9.999999999999998,71.60000000000002,31.0
2013,6,BUF,BUF,CIN,30.0,24.48,64.69999999999999,0.0,16.5,105.68,39.0
2013,6,CAR,CAR,MIN,15.0,11.64,46.10000000000001,0.0,5.5,63.24000000000001,28.0
2013,6,CHI,CHI,NYG,17.0,10.56,36.89999999999999,0.0,24.3,71.75999999999998,33.0
2013,6,CIN,CIN,BUF,18.0,16.64,43.1,0.0,17.0,76.74000000000002,42.0
2013,6,CLV,CLE,DET,32.0,24.92,61.3,0.0,11.8,98.02,43.0
2013,6,DAL,DAL,WAS,24.0,8.84,34.10000000000001,0.0,23.6,66.54,22.0
2013,6,DEN,DEN,JAX,12.0,10.12,41.79999999999999,0.0,10.999999999999998,62.91999999999999,25.0
2013,6,DET,DET,CLE,18.0,17.68,54.2,0.0,10.6,82.48000000000002,41.0
2013,6,GB,GB,BAL,22.0,21.68,56.2,0.0,0.7000000000000008,78.58000000000001,23.0
2013,6,HST,HOU,LAR,30.0,16.68,35.7,0.0,10.2,62.58000000000001,26.0
2013,6,IND,IND,LAC,17.0,13.48,40.70000000000001,0.0,14.7,68.88000000000001,19.0
2013,6,JAX,JAX,DEN,22.0,18.8,55.5,0.0,21.7,96.0,35.0
2013,6,KC,KC,OAK,20.0,9.64,36.6,0.0,12.1,58.34,7.0
2013,6,MIN,MIN,CAR,24.0,21.68,52.20000000000001,0.0,25.1,98.98000000000002,41.0
2013,6,NE,NE,NO,23.0,16.439999999999998,44.1,0.0,19.100000000000005,79.64,33.0
2013,6,NO,NO,NE,16.0,13.76,45.4,0.0,26.1,85.26,42.0
2013,6,NYG,NYG,CHI,22.0,18.48,50.20000000000001,0.0,11.0,79.68,27.0
2013,6,NYJ,NYJ,PIT,19.0,15.16,43.90000000000001,0.0,7.300000000000002,66.36,19.0
2013,6,OAK,OAK,KC,14.0,5.12,15.8,0.0,21.1,42.02,24.0
2013,6,PHI,PHI,TB,18.0,17.92,52.3,0.0,7.4,77.62,38.0
2013,6,PIT,PIT,NYJ,14.0,6.040000000000001,29.6,0.0,6.3,41.94,12.0
2013,6,SD,LAC,IND,9.0,7.08,29.20000000000001,0.0,7.4,43.68000000000001,15.0
2013,6,SEA,SEA,TEN,14.0,4.84,25.6,0.0,0.3000000000000003,30.74,7.0
2013,6,SF,SF,ARI,23.0,17.92,52.30000000000001,0.0,12.9,83.12000000000002,32.0
2013,6,SL,LAR,HOU,13.0,9.36,39.9,0.0,21.3,70.56,31.0
2013,6,TB,TB,PHI,26.0,23.84,58.6,0.0,17.8,100.24,43.0
2013,6,TEN,TEN,SEA,17.0,10.28,33.2,0.0,22.9,66.38000000000001,20.0
2013,6,WAS,WAS,DAL,17.0,9.8,32.0,6.0,16.8,64.6,31.0
2013,7,ARZ,ARI,SEA,32.0,21.4,50.5,0.0,13.5,85.4,40.0
2013,7,ATL,ATL,TB,20.0,18.24,48.6,0.0,9.1,75.94,41.0
2013,7,BLT,BAL,PIT,18.0,10.4,28.500000000000004,0.0,14.1,53.00000000000001,25.0
2013,7,BUF,BUF,MIA,33.0,17.759999999999994,46.9,0.0,10.0,74.66,20.0
2013,7,CAR,CAR,LAR,21.0,13.96,42.9,0.0,6.3000000000000025,63.16,19.0
2013,7,CHI,CHI,WAS,30.0,18.92,50.8,0.0,36.9,106.62,45.0
2013,7,CIN,CIN,DET,24.0,26.28,67.7,0.0,7.7,101.68,42.0
2013,7,CLV,CLE,GB,26.0,22.4,56.49999999999999,0.0,16.4,95.29999999999998,37.0
2013,7,DAL,DAL,PHI,14.0,5.36,31.9,0.0,8.4,45.66,9.0
2013,7,DEN,DEN,IND,30.0,21.12,51.30000000000001,0.0,16.1,88.52000000000002,55.0
2013,7,DET,DET,CIN,26.0,26.88000000000001,67.20000000000002,0.0,5.700000000000001,99.78000000000004,45.0
2013,7,GB,GB,CLE,13.0,8.96,29.4,0.0,8.3,46.66,31.0
2013,7,HST,HOU,KC,8.0,8.6,35.50000000000001,0.0,22.4,66.5,23.0
2013,7,IND,IND,DEN,30.0,26.44,71.10000000000002,0.0,8.4,105.94,51.0
2013,7,JAX,JAX,LAC,14.0,15.4,45.5,0.0,27.799999999999994,88.7,24.0
2013,7,KC,KC,HOU,19.0,14.84,40.60000000000001,0.0,3.3,58.74000000000001,16.0
2013,7,MIA,MIA,BUF,10.0,7.08,30.7,0.0,10.999999999999998,48.78,35.0
2013,7,MIN,MIN,NYG,24.0,12.0,37.5,0.0,8.4,57.9,23.0
2013,7,NE,NE,NYJ,24.0,12.32,37.8,0.0,19.7,69.82,24.0
2013,7,NYG,NYG,MIN,10.0,6.6000000000000005,29.0,6.0,3.0000000000000004,44.6,13.0
2013,7,NYJ,NYJ,NE,16.0,8.120000000000001,33.800000000000004,0.0,21.0,62.92,27.0
2013,7,PHI,PHI,DAL,17.0,14.68,51.70000000000002,0.0,13.4,79.78000000000003,17.0
2013,7,PIT,PIT,BAL,14.0,12.6,39.5,0.0,8.2,60.3,22.0
2013,7,SD,LAC,JAX,10.0,11.72,43.3,0.0,7.8,62.81999999999999,12.0
2013,7,SEA,SEA,ARI,18.0,12.36,44.9,0.0,7.0,64.25999999999999,40.0
2013,7,SF,SF,TEN,21.0,20.04,57.1,0.0,7.000000000000001,84.14000000000001,17.0
2013,7,SL,LAR,CAR,17.0,12.16,33.9,0.0,14.2,60.25999999999999,30.0
2013,7,TB,TB,ATL,24.0,22.92,55.3,0.0,1.7999999999999998,80.02,37.0
2013,7,TEN,TEN,SF,6.0,7.96,26.4,0.0,33.3,67.66,37.0
2013,7,WAS,WAS,CHI,20.0,12.28,37.7,6.0,32.0,87.97999999999998,53.0
2013,8,ARZ,ARI,ATL,20.0,12.04,53.1,0.0,2.7,67.84,25.0
2013,8,ATL,ATL,ARI,25.0,13.88,35.7,0.0,24.3,73.88,33.0
2013,8,BUF,BUF,NO,40.0,33.28,76.19999999999997,0.0,7.700000000000001,117.18,41.0
2013,8,CAR,CAR,TB,14.0,15.0,48.50000000000001,0.0,0.8000000000000002,64.30000000000001,25.0
2013,8,CIN,CIN,NYJ,6.0,5.04,29.1,0.0,9.3,43.44,39.0
2013,8,CLV,CLE,KC,20.0,17.0,46.5,0.0,13.6,77.1,35.0
2013,8,DAL,DAL,DET,20.0,21.52,69.3,0.0,30.3,121.12,49.0
2013,8,DEN,DEN,WAS,20.0,7.200000000000001,34.0,0.0,13.2,54.40000000000001,39.0
2013,8,DET,DET,DAL,26.0,20.24,45.6,0.0,6.2,72.04,36.0
2013,8,GB,GB,MIN,12.0,5.8,21.500000000000004,6.0,29.1,62.40000000000001,43.0
2013,8,JAX,JAX,SF,14.0,11.08,29.2,0.0,44.1,84.38,42.0
2013,8,KC,KC,CLE,17.0,19.72,52.3,0.0,5.7,77.72,29.0
2013,8,MIA,MIA,NE,14.0,7.6400000000000015,24.1,0.0,27.2,58.94,39.0
2013,8,MIN,MIN,GB,30.0,19.4,52.49999999999999,6.0,30.200000000000006,108.1,44.0
2013,8,NE,NE,MIA,30.0,13.68,42.2,0.0,13.6,69.48,23.0
2013,8,NO,NO,BUF,18.0,12.36,40.4,0.0,8.8,61.56,47.0
2013,8,NYG,NYG,PHI,19.0,5.5200000000000005,28.300000000000004,0.0,2.8000000000000016,36.62000000000001,1.0
2013,8,NYJ,NYJ,CIN,42.0,32.0,72.0,0.0,5.7,109.7,37.0
2013,8,OAK,OAK,PIT,19.0,13.0,48.0,0.0,9.5,70.5,16.0
2013,8,PHI,PHI,NYG,11.0,9.84,37.10000000000001,0.0,8.8,55.74000000000001,15.0
2013,8,PIT,PIT,OAK,12.0,1.52,11.8,0.0,37.7,51.02,27.0
2013,8,SEA,SEA,LAR,14.0,4.32,23.3,0.0,18.000000000000004,45.62000000000001,21.0
2013,8,SF,SF,JAX,13.0,13.12,41.3,0.0,9.0,63.42,16.0
