season,week,team_name,grades_kick_return,grades_punt_return,grades_return,kickoff_attempts,kickoff_fair_catches,kickoff_muffed_returns,kickoff_touchdowns,kickoff_yards,kickoff_ypa,punt_attempts,punt_fair_catches,punt_muffed_returns,punt_touchdowns,punt_yards,punt_ypa,team_name_games,opponent,over_under_line,weather_detail,weather_temperature,weather_wind_mph,spread_team,is_favorite,fantasy_points
2013,3,DET,58.1,62.0,59.6,1,0,0,0,15,15.0,2,2,0,0,9,4.5,DET,WAS,49.5,,72.0,8.0,-1.0,1,0
2013,3,GB,42.1,60.05,50.55,1,0,0,0,21,21.0,0,2,0,0,0,,GB,CIN,50.5,,67.0,7.0,-3.0,1,0
2013,3,HST,58.0,61.2,59.0,2,0,0,0,55,27.5,2,1,0,0,18,9.0,HOU,BAL,44.5,,73.0,9.0,-1.0,1,0
2013,3,IND,,62.1,61.6,0,0,0,0,0,,2,3,0,0,16,8.0,IND,SF,47.0,,66.0,5.0,10.0,0,0
2013,3,JAX,57.4,61.2,59.05,2,0,0,0,54,27.0,2,0,0,0,-3,-1.5,JAX,SEA,39.5,,61.0,17.0,20.0,0,0
2013,3,KC,77.5,61.9,71.0,3,0,0,0,96,24.75,2,0,0,0,12,6.0,KC,PHI,51.0,,73.0,5.0,3.5,0,0
2013,3,MIA,58.8,60.1,59.0,5,0,0,0,48,9.6,0,1,0,0,0,,MIA,ATL,46.0,,89.0,8.0,-2.5,1,0
2013,3,MIN,65.6,38.4,54.6,3,0,0,0,78,24.25,2,3,0,0,2,1.0,MIN,CLE,40.5,DOME,72.0,0.0,-7.0,1,0
2013,3,NE,59.5,70.2,63.8,1,0,0,0,24,24.0,2,1,0,0,29,14.5,NE,TB,45.0,,72.0,9.0,-7.5,1,0
2013,3,NO,59.6,77.0,71.6,0,0,0,0,0,,3,2,0,0,53,17.7,NO,ARI,49.5,DOME,72.0,0.0,-7.5,1,0
2013,3,NYG,57.4,61.0,58.95,1,0,0,0,24,24.0,1,0,0,0,0,0.0,NYG,CAR,47.0,,77.0,15.0,-3.0,1,0
2013,3,NYJ,58.3,61.8,59.75,3,0,0,0,53,17.7,3,1,0,0,18,6.0,NYJ,BUF,41.0,,67.0,9.0,-2.5,1,0
2013,3,OAK,57.4,60.0,58.55,2,0,0,0,45,22.5,0,1,0,0,0,,OAK,DEN,50.0,,64.0,16.0,16.5,0,0
2013,3,PHI,65.1,32.9,48.3,3,0,0,0,78,26.0,2,1,0,0,14,7.0,PHI,KC,51.0,,73.0,5.0,-3.5,1,0
2013,3,PIT,61.3,61.3,61.25,2,0,0,0,48,24.0,2,1,0,0,4,2.0,PIT,CHI,41.0,,56.0,5.0,2.5,0,0
2013,3,SD,54.1,53.5,54.2,1,0,0,0,21,21.0,1,0,0,0,7,7.0,LAC,TEN,43.5,,76.0,7.0,3.0,0,0
2013,3,SEA,59.45,62.7,60.3,2,0,0,0,45,22.5,4,2,0,0,33,8.3,SEA,JAX,39.5,,61.0,17.0,-20.0,1,0
2013,3,SF,55.9,61.5,57.46666666666667,3,0,0,0,36,10.75,1,2,0,0,14,14.0,SF,IND,47.0,,66.0,5.0,-10.0,1,0
2013,3,SL,58.3,70.2,63.15000000000001,3,0,0,0,46,15.3,2,0,0,0,16,8.0,LAR,DAL,47.0,DOME,72.0,0.0,3.5,0,0
2013,3,TB,57.8,61.4,58.9,0,0,0,0,0,,1,1,0,0,12,12.0,TB,NE,45.0,,72.0,9.0,7.5,0,0
2013,3,TEN,66.9,62.0,67.4,4,0,0,0,114,28.5,2,1,0,0,6,3.0,TEN,LAC,43.5,,76.0,7.0,-3.0,1,0
2013,3,WAS,59.15000000000001,61.4,59.6,4,0,0,0,88,22.0,2,0,0,0,11,5.5,WAS,DET,49.5,,72.0,8.0,1.0,0,0
2013,4,ARZ,59.0,61.0,59.85,1,0,0,0,0,0.0,1,1,0,0,5,5.0,ARI,TB,40.0,,84.0,7.0,2.5,0,0
2013,4,ATL,61.1,60.5,60.9,1,0,0,0,29,29.0,1,0,0,0,6,6.0,ATL,NE,50.0,DOME,72.0,0.0,-3.0,1,0
2013,4,BLT,58.3,62.2,59.90000000000001,3,0,0,0,73,24.3,4,1,0,0,31,7.8,BAL,BUF,45.0,,74.0,8.0,-4.0,1,0
2013,4,BUF,,63.8,62.9,0,0,0,0,0,,4,3,0,0,34,8.5,BUF,BAL,45.0,,74.0,8.0,4.0,0,0
2013,4,CHI,54.3,62.5,55.7,8,0,0,0,147,18.4,2,0,0,0,17,8.5,CHI,DET,49.5,DOME,72.0,0.0,2.5,0,0
2013,4,CIN,55.1,61.3,56.6,4,0,0,0,60,10.0,2,2,0,0,15,7.5,CIN,CLE,42.5,,73.0,9.0,-4.5,1,0
2013,4,CLV,67.2,60.3,62.9,2,0,0,0,60,30.0,1,2,0,0,7,7.0,CLE,CIN,42.5,,73.0,9.0,4.5,0,0
2013,4,DAL,62.3,61.5,63.1,5,0,0,0,85,17.0,1,1,0,0,38,38.0,DAL,LAC,48.0,,80.0,7.0,-1.5,1,0
2013,4,DEN,72.2,61.3,71.6,1,0,0,1,105,105.0,2,0,0,0,0,0.0,DEN,PHI,59.0,,76.0,8.0,-11.5,1,6
2013,4,DET,55.0,69.3,61.1,6,0,0,0,62,7.75,1,1,0,0,57,57.0,DET,CHI,49.5,DOME,72.0,0.0,-2.5,1,0
2013,4,HST,58.0,61.1,58.9,2,0,0,0,52,26.0,1,3,0,0,1,1.0,HOU,SEA,41.0,DOME (Open Roof),82.0,9.0,2.0,0,0
2013,4,IND,59.7,55.7,58.15000000000001,2,0,0,0,45,22.5,5,0,0,0,19,3.8,IND,JAX,42.5,,80.0,12.0,-9.5,1,0
2013,4,JAX,58.8,60.7,59.29999999999999,4,0,0,0,87,21.75,1,0,0,0,10,10.0,JAX,IND,42.5,,80.0,12.0,9.5,0,0
2013,4,KC,59.5,91.5,72.6,1,0,0,0,22,22.0,4,0,0,1,113,28.3,KC,NYG,44.0,,73.0,5.0,-4.5,1,6
2013,4,MIA,58.0,60.7,58.5,3,0,0,0,68,22.7,1,0,0,0,5,5.0,MIA,NO,49.0,DOME,72.0,0.0,7.5,0,0
2013,4,MIN,67.75,61.5,69.1,6,0,0,0,144,14.4,1,2,0,0,0,0.0,MIN,PIT,41.5,,54.0,11.0,3.0,0,0
2013,4,NE,,60.3,60.3,1,0,0,0,0,0.0,0,1,0,0,0,,NE,ATL,50.0,DOME,72.0,0.0,3.0,0,0
2013,4,NO,58.8,63.6,61.3,2,0,0,0,36,18.0,3,0,0,0,44,14.7,NO,MIA,49.0,DOME,72.0,0.0,-7.5,1,0
2013,4,NYG,60.5,34.5,53.76666666666667,3,0,0,0,74,21.75,3,1,0,0,35,11.7,NYG,KC,44.0,,73.0,5.0,4.5,0,0
2013,4,NYJ,57.7,61.5,59.25,3,0,0,0,46,11.5,2,3,0,0,7,3.5,NYJ,TEN,40.5,Rain,74.0,4.0,3.5,0,0
2013,4,OAK,57.85,61.0,59.26666666666667,2,0,0,0,49,24.5,3,3,0,0,24,8.25,OAK,WAS,46.0,,77.0,5.0,4.0,0,0
2013,4,PHI,56.8,61.1,57.6,1,0,0,0,26,26.0,1,1,0,0,21,21.0,PHI,DEN,59.0,,76.0,8.0,11.5,0,0
2013,4,PIT,58.3,60.9,59.40000000000001,4,0,0,0,92,23.0,1,3,0,0,3,3.0,PIT,MIN,41.5,,54.0,11.0,-3.0,1,0
2013,4,SD,59.1,61.0,59.9,3,0,0,0,18,6.0,1,2,0,0,12,12.0,LAC,DAL,48.0,,80.0,7.0,1.5,0,0
2013,4,SEA,58.55,63.7,60.1,3,0,0,0,55,18.33333333333333,4,1,0,0,60,15.0,SEA,HOU,41.0,DOME (Open Roof),82.0,9.0,-2.0,1,0
2013,4,SF,60.0,61.9,61.1,0,0,0,0,0,,1,5,0,0,0,0.0,SF,LAR,43.5,DOME,72.0,0.0,-4.0,1,0
2013,4,SL,61.7,44.1,54.9,3,0,0,0,74,24.7,6,1,0,0,17,2.8,LAR,SF,43.5,DOME,72.0,0.0,4.0,0,0
2013,4,TB,59.3,62.1,60.45,4,0,0,0,69,17.3,2,2,0,0,22,11.0,TB,ARI,40.0,,84.0,7.0,-2.5,1,0
2013,4,TEN,58.3,62.0,59.8,0,0,0,0,0,,2,2,0,0,36,18.0,TEN,NYJ,40.5,Rain,74.0,4.0,-3.5,1,0
2013,4,WAS,,62.1,61.6,0,0,0,0,0,,2,0,0,0,11,5.5,WAS,OAK,46.0,,77.0,5.0,-4.0,1,0
