"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"","high","5.1","64.0","0.3","0.8","5.0","0.0","0.0","8.0"
"","low","4.0","49.7","0.0","0.0","0.1","0.0","0.1","6.3"
"Robby Anderson","NYJ","3.6","54.6","0.2","0.1","0.7","0.0","0.0","6.7"
"","high","4.0","60.0","0.3","0.3","2.0","0.0","0.0","8.3"
"","low","3.2","46.0","0.0","0.0","0.0","0.0","0.1","6.0"
"Larry Fitzgerald","ARI","4.8","53.2","0.2","0.1","0.5","0.0","0.0","6.6"
"","high","5.6","60.0","0.4","0.3","2.0","0.0","0.0","8.7"
"","low","4.3","49.8","0.0","0.0","0.0","0.0","0.1","5.5"
"Corey Davis","TEN","3.9","50.4","0.2","0.2","1.3","0.0","0.0","6.2"
"","high","5.0","64.0","0.3","0.4","3.0","0.0","0.0","7.3"
"","low","3.2","42.5","0.0","0.0","0.0","0.0","0.0","5.5"
"Diontae Johnson","PIT","3.6","46.0","0.2","0.6","3.7","0.0","0.1","6.1"
"","high","4.7","59.0","0.4","1.0","6.1","0.1","0.1","8.9"
"","low","3.0","39.0","0.0","0.3","1.0","0.0","0.1","4.8"
"Darius Slayton","NYG","3.2","44.0","0.2","0.4","2.8","0.0","0.0","5.9"
"","high","3.8","45.0","0.4","0.8","5.9","0.1","0.0","7.3"
"","low","2.8","42.5","0.0","0.0","0.0","0.0","0.1","4.4"
"Ted Ginn","NO","3.3","48.0","0.2","0.3","2.3","0.0","0.0","5.9"
"","high","4.0","65.0","0.3","0.5","3.6","0.0","0.0","6.5"
"","low","2.3","33.7","0.0","0.2","1.3","0.0","0.1","4.8"
"A.J. Brown","TEN","3.4","44.4","0.2","0.4","2.2","0.0","0.0","5.8"
"","high","4.0","48.2","0.4","0.9","6.1","0.1","0.0","7.2"
"","low","2.9","40.0","0.0","0.1","0.0","0.0","0.1","4.8"
"Cole Beasley","BUF","4.4","44.5","0.2","0.1","0.5","0.0","0.0","5.6"
"","high","5.0","52.0","0.3","0.3","2.0","0.0","0.0","7.4"
"","low","3.8","37.9","0.0","0.0","0.0","0.0","0.0","4.8"
