"Player","Team","REC","YDS","TDS","FL","FPTS"
"","low","0.1","0.5","0.0","0.0","0.1"
"Jesper Horsted","CHI","0.1","0.5","0.0","0.0","0.0"
"","high","0.1","0.5","0.0","0.0","0.1"
"","low","0.1","0.5","0.0","0.0","0.1"
"Temarrick Hemingway","WAS","0.0","0.3","0.0","0.0","0.0"
"","high","0.0","0.3","0.0","0.0","0.0"
"","low","0.0","0.3","0.0","0.0","0.0"
"Xavier Grimble","BAL","0.0","0.2","0.0","0.0","0.0"
"","high","0.0","0.2","0.0","0.0","0.0"
"","low","0.0","0.2","0.0","0.0","0.0"
"Daniel Brown","NYJ","0.1","0.0","0.0","0.0","0.0"
"","high","0.1","0.0","0.0","0.0","0.1"
"","low","0.1","0.0","0.0","0.0","0.1"
""
""
