"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"","low","4.7","14.6","0.0","0.7","4.9","0.0","0.1","2.7"
"Devonta Freeman","NYG","5.6","21.8","0.1","1.4","9.1","0.1","0.1","3.9"
"","high","6.6","27.2","0.2","2.0","14.0","0.1","0.0","5.6"
"","low","4.0","18.3","0.0","0.0","0.0","0.0","0.1","1.9"
"Chris Thompson","JAC","3.1","12.4","0.0","2.4","18.7","0.1","0.0","3.8"
"","high","8.1","29.1","0.1","2.9","24.0","0.2","0.0","4.6"
"","low","1.0","5.0","0.0","2.0","12.1","0.0","0.1","2.0"
"Jordan Wilkins","IND","4.8","23.5","0.1","0.7","4.5","0.0","0.0","3.6"
"","high","5.8","27.3","0.2","1.2","7.0","0.0","0.0","4.6"
"","low","3.6","18.3","0.0","0.4","2.8","0.0","0.0","3.2"
"Tony Pollard","DAL","4.2","18.7","0.1","1.5","10.5","0.1","0.0","3.5"
"","high","8.2","36.7","0.1","2.6","12.4","0.1","0.0","5.9"
"","low","1.5","7.0","0.0","1.0","6.0","0.0","0.1","1.5"
"Peyton Barber","WAS","6.3","22.9","0.1","0.7","3.9","0.0","0.0","3.5"
"","high","8.0","31.5","0.3","2.6","11.9","0.0","0.0","5.4"
"","low","3.7","13.4","0.0","0.0","0.0","0.0","0.1","2.4"
"Giovani Bernard","CIN","3.7","12.7","0.1","2.4","16.5","0.0","0.0","3.4"
"","high","7.9","28.0","0.1","2.8","20.6","0.1","0.0","4.4"
"","low","0.9","3.0","0.0","1.8","11.4","0.0","0.1","2.7"
"Wayne Gallman","NYG","5.4","20.3","0.1","1.1","6.3","0.0","0.1","3.2"
"","high","8.0","32.1","0.3","3.4","15.3","0.1","0.0","5.5"
"","low","3.9","11.2","0.0","0.2","1.0","0.0","0.3","2.2"
"Darrel Williams","KC","4.5","15.9","0.1","1.2","8.9","0.0","0.1","3.2"
"","high","9.0","29.9","0.3","2.3","12.0","0.1","0.0","5.1"
"","low","1.4","5.7","0.0","0.8","6.6","0.0","0.2","1.7"
"Royce Freeman","DEN","5.1","18.2","0.1","1.3","7.8","0.0","0.0","3.1"
"","high","7.5","26.8","0.2","2.4","11.1","0.0","0.0","4.8"
"","low","3.4","10.6","0.0","0.8","5.2","0.0","0.1","2.3"
"Jalen Richard","LV","3.4","13.9","0.0","1.6","11.9","0.0","0.0","2.9"
"","high","7.1","24.6","0.1","2.3","17.6","0.1","0.0","4.0"
"","low","0.7","3.0","0.0","1.0","9.0","0.0","0.1","1.5"
"Darrynton Evans","TEN","3.0","13.1","0.1","1.2","9.3","0.1","0.0","2.9"
"","high","5.0","22.2","0.1","1.8","17.8","0.1","0.0","5.2"
"","low","1.7","6.8","0.0","0.7","3.0","0.0","0.1","1.7"
"JaMycal Hasty","SF","4.6","17.2","0.1","0.8","5.3","0.0","0.0","2.9"
"","high","7.5","30.3","0.3","1.6","8.4","0.0","0.0","5.2"
"","low","2.3","9.2","0.0","0.4","3.8","0.0","0.1","1.8"
"Brian Hill","ATL","3.6","16.8","0.1","1.0","7.3","0.0","0.0","2.8"
"","high","5.6","31.1","0.1","1.5","11.3","0.1","0.0","3.2"
"","low","2.8","11.0","0.0","0.5","2.8","0.0","0.1","2.2"
"T.J. Yeldon","BUF","3.7","13.3","0.1","1.1","8.4","0.0","0.0","2.8"
"","high","4.5","16.6","0.1","2.1","20.1","0.1","0.0","4.3"
"","low","2.7","9.0","0.0","0.2","2.0","0.0","0.1","1.4"
"Kyle Juszczyk","SF","1.5","4.5","0.0","1.6","16.9","0.1","0.0","2.6"
"","high","4.5","14.3","0.0","2.0","24.5","0.1","0.0","3.3"
"","low","0.5","0.0","0.0","0.9","6.0","0.0","0.0","1.7"
"LeSean McCoy","TB","3.4","10.1","0.0","1.7","10.8","0.0","0.0","2.6"
"","high","10.6","27.7","0.1","2.8","19.0","0.1","0.0","3.6"
"","low","0.5","2.0","0.0","0.2","1.2","0.0","0.0","1.4"
"Ito Smith","ATL","3.5","12.6","0.1","1.2","6.8","0.0","0.0","2.5"
"","high","5.5","18.1","0.2","1.9","9.0","0.0","0.0","3.0"
"","low","2.7","10.0","0.0","0.8","3.5","0.0","0.0","2.2"
"Reggie Bonnafon","CAR","4.1","14.4","0.1","0.6","3.7","0.0","0.0","2.4"
"","high","7.2","29.8","0.2","1.3","5.8","0.0","0.0","4.9"
"","low","1.7","7.8","0.0","0.1","0.8","0.0","0.0","1.7"
"J.J. Taylor","NE","3.0","11.6","0.1","0.9","6.3","0.0","0.0","2.4"
