"Rank","Tier","WSIS","Running Backs","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"51","undefined","","Paul Perkins","DET","vs. DAL","44","62","53.8","4.0","5.5"
"52","undefined","","Tony Pollard","DAL","at DET","51","63","56.1","3.0","5.1"
"53","undefined","","Giovani Bernard","CIN","at OAK","46","62","55.0","3.3","5.0"
"54","undefined","","Malcolm Brown","LAR","vs. CHI","45","59","54.7","3.6","4.5"
"55","undefined","","Ty Johnson","DET","vs. DAL","30","75","49.3","8.8","4.9"
"56","undefined","","Kenjon Barner","ATL","at CAR","48","62","53.7","3.7","4.2"
"57","undefined","","LeSean McCoy","KC","at LAC","43","74","54.3","7.2","4.2"
"58","undefined","","Dare Ogunbowale","TB","vs. NO","53","68","59.3","2.5","4.0"
"59","undefined","","Justice Hill","BAL","vs. HOU","50","69","61.2","4.2","3.9"
"60","undefined","","Patrick Laird","MIA","vs. BUF","52","66","58.9","3.2","3.7"
"61","undefined","","Jeff Wilson","SF","vs. ARI","38","64","51.8","8.1","3.5"
"62","undefined","","Jordan Wilkins","IND ","vs. JAC","52","65","60.5","3.1","3.4"
"63","undefined","","Myles Gaskin","MIA","vs. BUF","52","69","62.4","3.5","3.4"
"64","undefined","","Ryquell Armstead","JAC","at IND","59","68","63.7","2.5","3.3"
"65","undefined","","Bilal Powell","NYJ","at WAS","55","68","65.4","2.0","3.2"
"66","undefined","","Qadree Ollison","ATL","at CAR","53","70","64.3","3.1","3.1"
"67","undefined","","Ty Montgomery","NYJ","at WAS","56","74","68.5","1.7","3.1"
"68","undefined","","Trey Edmunds","PIT","at CLE","50","79","67.0","5.7","2.9"
"69","undefined","","Wendell Smallwood","WAS","vs. NYJ","57","79","67.5","4.2","2.9"
"70","undefined","","Matt Breida","SF ","vs. ARI","23","77","55.6","17.3","2.8"
"71","undefined","","Boston Scott","PHI","vs. NE","42","89","72.0","8.3","2.8"
"72","undefined","","CJ Ham","MIN","vs. DEN","64","79","74.7","2.4","2.8"
"73","undefined","","Darwin Thompson","KC","at LAC","64","99","73.3","6.8","2.6"
"74","undefined","","Ameer Abdullah","MIN","vs. DEN","61","88","76.1","4.6","2.5"
"75","undefined","","Reggie Bonnafon","CAR","vs. ATL","67","78","72.6","3.1","2.2"
"76","undefined","","Brandon Bolden","NE","at PHI","70","78","73.8","2.1","2.1"
"77","undefined","","Trayveon Williams","CIN","at OAK","67","89","75.9","5.7","2.1"
"78","undefined","","Alex Armah","CAR","vs. ATL","73","81","77.8","2.5","2.0"
"79","undefined","","Mike Davis","CAR","vs. ATL","52","87","76.4","5.7","2.0"
"80","undefined","","Andy Janovich","DEN","at MIN","75","90","82.8","3.3","1.8"
"81","undefined","","Zach Line","NO","at TB","74","88","81.7","3.5","1.8"
"82","undefined","","Devontae Booker","DEN","at MIN","72","91","82.3","4.4","1.6"
"83","undefined","","Kyle Juszczyk","SF","vs. ARI","71","94","82.8","6.1","1.7"
"84","undefined","","Derek Watt","LAC","vs. KC","78","91","85.1","3.1","1.6"
"85","undefined","","Patrick DiMarco","BUF","at MIA","76","95","86.9","5.0","1.6"
"86","undefined","","Dontrell Hilliard","CLE","vs. PIT","74","93","84.2","4.2","1.5"
"87","undefined","","Ryan Nall","CHI","at LAR","55","88","79.2","7.7","1.3"
"88","undefined","","Dwayne Washington","NO","at TB","76","97","83.8","5.1","1.2"
"89","undefined","","Anthony Sherman","KC","at LAC","79","94","89.0","4.1","1.2"
"90","undefined","","Alec Ingold","OAK","vs. CIN","64","95","84.7","4.6","1.1"
"91","undefined","","Justin Jackson","LAC","vs. KC","73","92","89.3","2.4","1.1"
"92","undefined","","Tony Brooks-James","PIT","at CLE","71","94","88.8","5.4","0.8"
"93","undefined","","Nick Bawden","DET","vs. DAL","84","104","96.1","4.9","0.9"
"94","undefined","","Josh Adams","NYJ","at WAS","80","98","94.0","3.8","0.8"
"95","undefined","","Jamize Olawale","DAL","at DET","86","102","96.3","4.6","0.8"
"96","undefined","","T.J. Yeldon","BUF","at MIA","95","96","95.6","0.5","0.8"
"97","undefined","","De'Lance Turner","MIA","vs. BUF","93","103","97.3","3.6","0.8"
"98","undefined","","Damien Harris","NE","at PHI","97","100","98.3","1.2","0.6"
"99","undefined","","Troymaine Pope","LAC","vs. KC","96","100","98.0","2.0","0.5"
"100","undefined","","Mike Boone","MIN","vs. DEN","98","99","98.5","0.5","0.5"
""
""
