"Rank","Tier","WSIS","Wide Receivers","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"27","undefined","","Robby Anderson","NYJ","at MIA","25","38","28.3","2.6","10.8"
"28","undefined","","Terry McLaurin","WAS","at BUF","23","43","28.7","5.5","10.6"
"29","undefined","","Curtis Samuel","CAR","vs. TEN","25","34","29.7","2.0","10.5"
"30","undefined","","Christian Kirk","ARI","vs. SF","22","34","30.8","3.0","10.4"
"31","undefined","","Emmanuel Sanders","SF","at ARI","24","41","31.9","3.1","10.4"
"32","undefined","","Jarvis Landry","CLE","at DEN","23","38","32.6","3.3","10.1"
"33","undefined","","Jamison Crowder","NYJ","at MIA","31","42","36.3","1.8","9.9"
"34","undefined","","Davante Adams","GB","at LAC","4","42","15.7","9.5","9.9"
"35","undefined","","Preston Williams","MIA","vs. NYJ","33","45","38.3","3.3","9.6"
"36","undefined","","Chris Conley","JAC","vs. HOU","29","48","38.3","4.5","9.6"
"37","undefined","","Devante Parker","MIA","vs. NYJ","32","48","38.4","2.6","9.6"
"38","undefined","","Larry Fitzgerald","ARI","vs. SF","27","49","39.0","3.5","9.6"
"39","undefined","","Marquise Brown","BAL","vs. NE","35","50","39.2","3.6","9.5"
"40","undefined","","Sammy Watkins","KC","vs. MIN","26","51","40.1","5.5","9.5"
"41","undefined","","Diontae Johnson","PIT","vs. IND","30","46","41.7","2.5","9.2"
"42","undefined","","Phillip Dorsett","NE","at BAL","31","48","41.8","3.7","9.2"
"43","undefined","","Corey Davis","TEN","at CAR","34","51","42.5","3.9","9.2"
"44","undefined","","Demaryius Thomas","NYJ","at MIA","32","52","45.8","2.9","9.2"
"45","undefined","","Cole Beasley","BUF","vs. WAS","28","53","46.2","4.1","9.1"
"46","undefined","","Danny Amendola","DET","at OAK","33","56","47.0","4.2","8.8"
"47","undefined","","A.J. Brown","TEN","at CAR","35","57","47.1","3.8","8.8"
"48","undefined","","Mohamed Sanu","NE","at BAL","43","56","50.4","1.9","8.2"
"49","undefined","","Marquez Valdes-Scantling","GB","at LAC","38","73","50.8","4.0","8.2"
"50","undefined","","Dede Westbrook","JAC","vs. HOU","30","62","47.7","5.4","8.2"
"51","undefined","","Anthony Miller","CHI","at PHI","49","68","52.9","3.8","8.1"
"52","undefined","","Deebo Samuel","SF","at ARI","52","64","54.5","1.8","8.1"
"53","undefined","","Zach Pascal","IND","at PIT","39","76","55.7","6.6","8.0"
"54","undefined","","Adam Humphries","TEN","at CAR","52","59","55.8","1.8","7.9"
"55","undefined","","Allen Lazard","GB","at LAC","47","70","55.9","4.3","7.7"
"56","undefined","","Darius Slayton","NYG","vs. DAL","51","68","56.5","3.6","7.5"
"57","undefined","","Sterling Shepard","NYG","vs. DAL","29","83","54.2","12.6","7.4"
"58","undefined","","Geronimo Allison","GB","at LAC","48","77","59.7","3.7","7.4"
"59","undefined","","Randall Cobb","DAL","at NYG","47","70","60.3","3.4","7.2"
"60","undefined","","Nelson Agholor","PHI","vs. CHI","50","74","60.3","4.4","7.1"
"61","undefined","","Hunter Renfrow","OAK","vs. DET","46","70","61.2","3.5","7.1"
"62","undefined","","Taylor Gabriel","CHI","at PHI","59","67","61.2","1.7","7.0"
"63","undefined","","Jaron Brown","SEA","vs. TB","54","79","66.1","4.2","6.9"
"64","undefined","","David Moore","SEA","vs. TB","56","74","66.1","3.5","6.9"
"65","undefined","","James Washington","PIT","vs. IND","59","88","69.1","5.1","6.8"
"66","undefined","","Olabisi Johnson","MIN","at KC","60","87","70.1","5.1","6.8"
"67","undefined","","Dante Pettis","SF","at ARI","56","80","70.4","4.8","6.2"
"68","undefined","","DaeSean Hamilton","DEN","vs. CLE","62","81","70.7","3.3","6.2"
"69","undefined","","Paul Richardson","WAS","at BUF","61","86","70.9","5.3","6.0"
"70","undefined","","Mecole Hardman","KC","vs. MIN","58","107","71.8","12.2","5.8"
"71","undefined","","Willie Snead","BAL","vs. NE","62","88","72.1","4.5","5.7"
"72","undefined","","Demarcus Robinson","KC","vs. MIN","59","77","69.5","3.4","5.5"
"73","undefined","","Albert Wilson","MIA","vs. NYJ","59","86","73.6","3.6","5.4"
"74","undefined","","Trey Quinn","WAS","at BUF","57","92","76.6","5.7","5.3"
"75","undefined","","Keke Coutee","HOU","at JAC","59","104","76.8","8.3","5.3"
"76","undefined","","Zay Jones","OAK","vs. DET","57","87","78.4","5.8","5.0"
"77","undefined","","Jakobi Meyers","NE","at BAL","69","88","77.7","4.6","5.0"
"78","undefined","","Tajae Sharpe","TEN","at CAR","64","92","79.0","6.0","5.0"
"79","undefined","","Antonio Callaway","CLE","at DEN","66","92","82.4","5.3","4.9"
"80","undefined","","Jake Kumerow","GB","at LAC","64","97","82.8","8.1","4.9"
"81","undefined","","Miles Boykin","BAL","vs. NE","74","94","86.0","4.5","4.9"
"82","undefined","","Parris Campbell","IND","at PIT","56","104","86.8","9.7","4.9"
"83","undefined","","Duke Williams","BUF","vs. WAS","65","105","83.9","8.7","4.8"
"84","undefined","","Trevor Davis","OAK","vs. DET","65","108","88.3","7.3","4.7"
"85","undefined","","DeAndre Carter","HOU","at JAC","70","94","85.5","4.5","4.7"
"86","undefined","","Kendrick Bourne","SF","at ARI","76","94","85.7","3.6","4.6"
"87","undefined","","Chester Rogers","IND","at PIT","57","99","89.9","7.9","4.6"
"88","undefined","","Keelan Cole","JAC","vs. HOU","58","98","87.1","8.5","4.4"
"89","undefined","","Cordarrelle Patterson","CHI","at PHI","84","99","92.4","3.3","4.3"
"90","undefined","","Allen Hurns","MIA","vs. NYJ","83","107","95.2","5.7","4.3"
"91","undefined","","Marvin Hall","DET","at OAK","80","105","89.8","6.2","4.1"
"92","undefined","","Fred Brown","DEN","vs. CLE","76","106","95.7","7.1","4.1"
"93","undefined","","Jarius Wright","CAR","vs. TEN","71","104","91.0","7.7","4.1"
"94","undefined","","Trent Sherfield","ARI","vs. SF","83","100","92.1","5.9","4.0"
"95","undefined","","Breshad Perriman","TB","at SEA","79","118","97.5","8.4","3.9"
"96","undefined","","DeSean Jackson","PHI","vs. CHI","28","91","66.3","19.8","3.9"
"97","undefined","","Cody Latimer","NYG","vs. DAL","77","125","96.7","8.7","3.8"
"98","undefined","","Jakeem Grant","MIA","vs. NYJ","90","115","102.8","5.4","3.7"
"99","undefined","","Diontae Spencer","DEN","vs. CLE","78","115","96.7","10.4","3.6"
"100","undefined","","Tavon Austin","DAL","at NYG","77","116","102.5","6.5","3.6"
"101","undefined","","Rashard Higgins","CLE","at DEN","82","113","102.5","6.7","3.6"
"102","undefined","","Mack Hollins","PHI","vs. CHI","90","123","102.9","9.6","3.5"
"103","undefined","","Seth Roberts","BAL","vs. NE","87","125","104.7","7.6","3.5"
"104","undefined","","Damiere Byrd","ARI ","vs. SF","65","75","71.3","3.2","3.4"
"105","undefined","","Malik Turner","SEA","vs. TB","89","118","107.5","7.2","3.4"
"106","undefined","","Richie James","SF","at ARI","91","128","107.8","7.8","3.2"
"107","undefined","","Pharoh Cooper","ARI","vs. SF","96","124","110.3","6.9","3.2"
"108","undefined","","Kelvin Harmon","WAS","at BUF","100","121","108.8","6.1","3.1"
"109","undefined","","Steven Sims","WAS","at BUF","82","135","110.9","12.1","3.1"
"110","undefined","","Vyncint Smith","NYJ","at MIA","101","125","111.9","6.2","3.1"
"111","undefined","","Javon Wims","CHI","at PHI","88","114","108.6","3.3","3.0"
"112","undefined","","Robert Foster","BUF","vs. WAS","80","124","108.9","7.7","3.0"
"113","undefined","","Laquon Treadwell","MIN","at KC","104","134","115.1","7.7","3.0"
"114","undefined","","KeeSean Johnson","ARI","vs. SF","74","138","103.1","17.8","2.8"
"115","undefined","","Geremy Davis","LAC","vs. GB","111","120","116.3","2.7","2.7"
"116","undefined","","Bennie Fowler","NYG","vs. DAL","97","119","110.2","4.2","2.7"
"117","undefined","","Chris Moore","BAL","vs. NE","97","128","115.9","7.4","2.6"
"118","undefined","","Scott Miller","TB","at SEA","75","121","114.0","5.9","2.6"
"119","undefined","","Johnny Holton","PIT","vs. IND","96","128","114.4","7.0","2.6"
"120","undefined","","Andy Isabella","ARI","vs. SF","108","124","117.2","4.3","2.5"
"121","undefined","","Donte Moncrief","PIT","vs. IND","94","145","115.8","11.9","2.4"
"122","undefined","","Andre Patton","LAC","vs. GB","96","143","117.4","9.7","2.4"
"123","undefined","","Ryan Switzer","PIT","vs. IND","106","131","122.7","6.3","2.4"
"124","undefined","","Andre Roberts","BUF","vs. WAS","115","137","124.2","5.8","2.3"
"125","undefined","","Braxton Berrios","NYJ","at MIA","108","138","125.4","7.7","2.3"
"126","undefined","","Deon Cain","IND","at PIT","97","147","121.6","17.6","2.3"
"127","undefined","","Keelan Doss","OAK","vs. DET","106","127","122.1","3.2","2.1"
"128","undefined","","J.J. Arcega-Whiteside","PHI","vs. CHI","123","150","130.0","7.9","2.1"
"129","undefined","","Juwann Winfree","DEN","vs. CLE","122","136","129.6","5.1","2.1"
"130","undefined","","Gunner Olszewski","NE","at BAL","120","139","130.7","6.5","1.8"
"131","undefined","","Marcell Ateman","OAK","vs. DET","124","135","129.8","3.6","1.7"
"132","undefined","","Justin Watson","TB","at SEA","115","135","130.0","3.2","1.5"
"133","undefined","","Isaiah McKenzie","BUF","vs. WAS","113","135","128.6","3.5","1.5"
"134","undefined","","Cedrick Wilson","DAL","at NYG","92","144","134.0","6.6","1.4"
"135","undefined","","Brandon Zylstra","CAR","vs. TEN","118","139","128.8","8.9","1.4"
"136","undefined","","Isaiah Ford","MIA","vs. NYJ","130","135","132.4","2.1","1.3"
"137","undefined","","DeAndrew White","CAR","vs. TEN","117","125","121.0","4.0","1.1"
"138","undefined","","Devin Smith","DAL","at NYG","106","141","123.5","17.5","1.1"
"139","undefined","","Byron Pringle","KC","vs. MIN","121","146","137.0","5.6","0.9"
"140","undefined","","Taywan Taylor","CLE","at DEN","128","151","137.0","10.0","0.8"
"141","undefined","","Kalif Raymond","TEN","at CAR","127","134","130.5","3.5","0.8"
"142","undefined","","Jason Moore","LAC","vs. GB","132","138","135.0","3.0","0.7"
"143","undefined","","Riley Ridley","CHI","at PHI","133","137","135.0","2.0","0.7"
"144","undefined","","Dwayne Harris","OAK","vs. DET","136","140","138.0","2.0","0.5"
""
""
