"Rank","Tier","WSIS","Tight Ends","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"30","undefined","","Jeremy Sprinkle","WAS","at BUF","28","35","31.1","1.8","3.7"
"31","undefined","","Josh Oliver","JAC","vs. HOU","30","36","32.5","1.8","3.6"
"32","undefined","","Hayden Hurst","BAL","vs. NE","26","38","34.6","1.8","3.5"
"33","undefined","","Luke Willson","SEA","vs. TB","30","39","33.6","2.3","3.5"
"34","undefined","","Chris Herndon IV","NYJ","at MIA","13","38","28.7","7.4","3.3"
"35","undefined","","Foster Moreau","OAK","vs. DET","26","37","32.0","3.1","3.3"
"36","undefined","","Maxx Williams","ARI","vs. SF","21","46","38.7","4.4","3.2"
"37","undefined","","Tyler Kroft","BUF","vs. WAS","27","40","36.9","2.8","3.0"
"38","undefined","","Charles Clay","ARI","vs. SF","22","40","36.0","2.6","3.0"
"39","undefined","","Anthony Firkser","TEN","at CAR","30","39","36.9","2.2","2.9"
"40","undefined","","Blake Jarwin","DAL","at NYG","29","42","37.4","3.0","2.9"
"41","undefined","","Demetrius Harris","CLE","at DEN","33","41","39.7","1.3","2.8"
"42","undefined","","Seth DeValve","JAC","vs. HOU","37","45","42.0","1.8","2.8"
"43","undefined","","Rhett Ellison","NYG","vs. DAL","39","53","45.7","4.6","2.5"
"44","undefined","","Nick Boyle","BAL","vs. NE","40","48","43.0","3.1","2.5"
"45","undefined","","Marcedes Lewis","GB","at LAC","43","47","44.8","1.6","2.4"
"46","undefined","","Adam Shaheen","CHI","at PHI","40","49","46.0","2.8","2.3"
"47","undefined","","Nick Vannett","PIT","vs. IND","41","47","46.0","1.5","2.3"
"48","undefined","","Jesse James","DET","at OAK","47","49","48.2","0.7","2.3"
"49","undefined","","Logan Thomas","DET","at OAK","48","51","49.6","1.4","2.2"
"50","undefined","","Hale Hentges","WAS","at BUF","45","54","49.3","3.7","2.1"
"51","undefined","","Antony Auclair","TB","at SEA","41","59","50.0","7.3","2.1"
"52","undefined","","Derek Carrier","OAK","vs. DET","50","54","52.3","1.7","1.9"
"53","undefined","","Ross Dwelley","SF","at ARI","52","56","54.7","1.9","1.9"
"54","undefined","","Lee Smith","BUF","vs. WAS","55","58","56.0","1.4","1.8"
"55","undefined","","Virgil Green","LAC","vs. GB","55","59","56.7","1.7","1.7"
"56","undefined","","Mo Alie-Cox","IND","at PIT","57","58","57.3","0.5","1.7"
"57","undefined","","Nick O'Leary","FA","","51","63","58.3","5.2","1.6"
"58","undefined","","Ian Thomas","CAR","vs. TEN","54","63","59.3","3.9","1.6"
"59","undefined","","Ben Koyack","JAC","vs. HOU","52","60","56.0","4.0","1.5"
"60","undefined","","Andrew Beck","DEN","vs. CLE","60","68","63.3","3.4","1.4"
"61","undefined","","Levine Toilolo","SF","at ARI","57","65","61.0","4.0","1.3"
"62","undefined","","Blake Bell","KC","vs. MIN","61","67","64.0","3.0","1.2"
"63","undefined","","MyCole Pruitt","TEN","at CAR","62","66","64.0","2.0","1.2"
"64","undefined","","J.P. Holtz","CHI","at PHI","64","69","66.5","2.5","1.1"
"65","undefined","","Durham Smythe","MIA","vs. NYJ","64","70","67.0","3.0","1.0"
""
""
