"Rank","Tier","WSIS","Wide Receivers","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"35","undefined","","Robby Anderson","NYJ","at JAC","31","40","34.4","2.5","9.2"
"36","undefined","","Marquez Valdes-Scantling","GB","at KC","30","46","35.4","2.7","9.2"
"37","undefined","","Curtis Samuel","CAR","at SF","31","41","36.9","2.0","9.1"
"38","undefined","","Jamison Crowder","NYJ","at JAC","27","47","39.3","2.2","8.9"
"39","undefined","","Jarvis Landry","CLE","at NE","35","52","39.8","2.7","8.8"
"40","undefined","","A.J. Brown","TEN","vs. TB","21","50","39.9","4.1","8.7"
"41","undefined","","Tyrell Williams","OAK","at HOU","17","77","40.1","13.2","8.6"
"42","undefined","","Phillip Dorsett","NE","vs. CLE","32","49","42.0","2.7","8.4"
"43","undefined","","Auden Tate","CIN","at LAR","34","63","43.9","2.9","8.3"
"44","undefined","","Olabisi Johnson","MIN","vs. WAS","27","57","44.7","4.3","8.3"
"45","undefined","","Devante Parker","MIA","at PIT","40","52","45.4","2.4","8.2"
"46","undefined","","Emmanuel Sanders","SF","vs. CAR","31","66","45.8","3.6","8.2"
"47","undefined","","Preston Williams","MIA","at PIT","33","64","47.6","5.4","7.7"
"48","undefined","","Keke Coutee","HOU","vs. OAK","43","55","48.1","2.4","7.7"
"49","undefined","","Diontae Johnson","PIT","vs. MIA","42","65","50.9","4.7","7.5"
"50","undefined","","Cole Beasley","BUF","vs. PHI","38","60","51.1","3.8","7.4"
"51","undefined","","Ted Ginn","NO","vs. ARI","42","68","53.9","3.3","7.4"
"52","undefined","","Geronimo Allison","GB","at KC","45","64","53.9","3.8","7.3"
"53","undefined","","Sammy Watkins","KC","vs. GB","34","81","54.9","7.5","7.2"
"54","undefined","","Demaryius Thomas","NYJ","at JAC","51","66","56.8","3.4","6.8"
"55","undefined","","Mohamed Sanu","NE","vs. CLE","41","67","56.8","5.6","6.7"
"56","undefined","","Dante Pettis","SF","vs. CAR","49","71","58.8","5.4","6.7"
"57","undefined","","Allen Lazard","GB","at KC","49","91","59.7","4.5","6.5"
"58","undefined","","Alex Erickson","CIN","at LAR","47","73","60.2","6.7","6.4"
"59","undefined","","Danny Amendola","DET","vs. NYG","46","72","60.9","5.9","6.3"
"60","undefined","","Darius Slayton","NYG","at DET","51","72","61.3","4.1","6.2"
"61","undefined","","DaeSean Hamilton","DEN","at IND","46","94","61.8","10.4","6.1"
"62","undefined","","Christian Kirk","ARI","at NO","34","152","58.4","28.8","6.0"
"63","undefined","","Mecole Hardman","KC","vs. GB","49","75","63.4","6.5","6.0"
"64","undefined","","Jakobi Meyers","NE","vs. CLE","47","76","64.7","5.6","5.9"
"65","undefined","","Marquise Goodwin","SF","vs. CAR","50","78","64.7","7.1","5.8"
"66","undefined","","Anthony Miller","CHI","vs. LAC","52","78","64.9","6.4","5.8"
"67","undefined","","Adam Humphries","TEN","vs. TB","43","78","66.4","6.1","5.7"
"68","undefined","","Zach Pascal","IND","vs. DEN","45","73","61.5","6.2","5.6"
"69","undefined","","Jaron Brown","SEA","at ATL","56","73","66.6","4.5","5.5"
"70","undefined","","Demarcus Robinson","KC","vs. GB","50","75","66.8","5.1","5.5"
"71","undefined","","Chris Conley","JAC","vs. NYJ","61","73","67.1","3.9","5.5"
"72","undefined","","Nelson Agholor","PHI","at BUF","60","75","67.4","3.7","5.5"
"73","undefined","","Damiere Byrd","ARI","at NO","61","83","75.1","3.8","5.4"
"74","undefined","","Trey Quinn","WAS","at MIN","55","83","75.5","4.0","5.3"
"75","undefined","","James Washington","PIT","vs. MIA","48","83","75.2","5.6","5.2"
"76","undefined","","Paul Richardson","WAS","at MIN","56","85","77.5","3.5","5.2"
"77","undefined","","Taylor Gabriel","CHI","vs. LAC","69","86","78.1","3.7","5.2"
"78","undefined","","Albert Wilson","MIA","at PIT","70","87","79.5","3.9","5.2"
"79","undefined","","Duke Williams","BUF","vs. PHI","53","90","79.8","6.4","5.1"
"80","undefined","","Hunter Renfrow","OAK","at HOU","75","92","80.3","4.2","5.0"
"81","undefined","","KeeSean Johnson","ARI","at NO","65","96","80.4","7.4","4.8"
"82","undefined","","David Moore","SEA","at ATL","74","83","80.6","1.8","4.7"
"83","undefined","","Trevor Davis","OAK","at HOU","69","91","81.5","6.6","4.7"
"84","undefined","","Antonio Callaway","CLE","at NE","76","88","84.1","2.3","4.6"
"85","undefined","","Jake Kumerow","GB","at KC","72","101","85.2","5.9","4.5"
"86","undefined","","Cody Latimer","NYG","at DET","78","108","93.1","6.9","4.5"
"87","undefined","","Trent Sherfield","ARI","at NO","84","90","86.3","1.7","4.4"
"88","undefined","","Chester Rogers","IND","vs. DEN","79","107","89.6","6.0","4.0"
"89","undefined","","Cordarrelle Patterson","CHI","vs. LAC","87","111","94.2","6.1","3.9"
"90","undefined","","Deebo Samuel","SF","vs. CAR","55","123","91.0","15.3","3.9"
"91","undefined","","Deon Cain","IND","vs. DEN","85","102","94.6","3.7","3.9"
"92","undefined","","Kendrick Bourne","SF","vs. CAR","82","96","90.5","3.8","3.9"
"93","undefined","","Tajae Sharpe","TEN","vs. TB","84","103","96.3","3.1","3.7"
"94","undefined","","Isaiah McKenzie","BUF","vs. PHI","83","102","94.0","5.1","3.7"
"95","undefined","","Justin Hardy","ATL","vs. SEA","72","105","95.3","5.7","3.7"
"96","undefined","","Keelan Doss","OAK","at HOU","87","115","96.7","6.8","3.7"
"97","undefined","","Richie James","SF","vs. CAR","86","106","98.5","4.6","3.6"
"98","undefined","","Pharoh Cooper","ARI","at NO","89","112","100.7","5.8","3.5"
"99","undefined","","Mack Hollins","PHI","at BUF","97","115","101.6","4.5","3.4"
"100","undefined","","Josh Reynolds","LAR","vs. CIN","96","121","106.5","6.9","3.4"
"101","undefined","","Byron Pringle","KC","vs. GB","99","123","108.2","8.6","3.4"
"102","undefined","","Donte Moncrief","PIT","vs. MIA","100","120","108.5","5.3","3.4"
"103","undefined","","Russell Gage","ATL","vs. SEA","73","109","96.6","10.6","3.3"
"104","undefined","","Zay Jones","OAK","at HOU","85","113","103.3","7.0","3.3"
"105","undefined","","Allen Hurns","MIA","at PIT","81","137","109.7","14.0","3.2"
"106","undefined","","Keelan Cole","JAC","vs. NYJ","89","117","110.1","4.4","3.2"
"107","undefined","","Diontae Spencer","DEN","at IND","90","115","107.9","3.9","3.2"
"108","undefined","","Jarius Wright","CAR","at SF","97","111","105.7","5.5","3.2"
"109","undefined","","Steven Sims","WAS","at MIN","91","119","105.9","9.2","3.1"
"110","undefined","","Davante Adams","GB","at KC","77","151","107.9","23.3","3.1"
"111","undefined","","Laquon Treadwell","MIN","vs. WAS","95","113","102.5","7.5","2.8"
"112","undefined","","Rashard Higgins","CLE","at NE","89","116","110.1","5.9","2.9"
"113","undefined","","Bennie Fowler","NYG","at DET","88","121","110.0","5.7","2.8"
"114","undefined","","Marvin Hall","DET","vs. NYG","97","123","111.3","8.3","2.7"
"115","undefined","","Geremy Davis","LAC","at CHI","104","128","114.0","6.9","2.6"
"116","undefined","","Scott Miller","TB","at TEN","80","121","115.3","4.5","2.6"
"117","undefined","","Javon Wims","CHI","vs. LAC","105","118","115.3","2.7","2.4"
"118","undefined","","Kelvin Harmon","WAS","at MIN","104","121","113.4","7.3","2.4"
"119","undefined","","Malik Turner","SEA","at ATL","93","135","118.8","9.7","2.2"
"120","undefined","","Fred Brown","DEN","at IND","95","132","119.2","8.0","2.0"
"121","undefined","","Austin Carr","NO","vs. ARI","90","126","121.5","4.6","1.9"
"122","undefined","","Ryan Switzer","PIT","vs. MIA","107","127","121.7","4.5","1.9"
"123","undefined","","Andre Patton","LAC","at CHI","71","131","111.8","24.1","1.8"
"124","undefined","","Parris Campbell","IND","vs. DEN","66","96","81.0","15.0","1.8"
"125","undefined","","Marcell Ateman","OAK","at HOU","118","129","123.2","3.7","1.7"
"126","undefined","","Andy Isabella","ARI","at NO","110","141","124.5","8.0","1.6"
"127","undefined","","Marqise Lee","JAC","vs. NYJ","88","132","108.0","18.2","1.6"
"128","undefined","","Johnny Holton","PIT","vs. MIA","119","138","125.7","6.1","1.6"
"129","undefined","","J.J. Arcega-Whiteside","PHI","at BUF","110","145","126.5","11.9","1.5"
"130","undefined","","Gunner Olszewski","NE","vs. CLE","104","126","123.2","3.2","1.5"
"131","undefined","","Juwann Winfree","DEN","at IND","108","136","119.3","10.4","1.4"
"132","undefined","","Jakeem Grant","MIA","at PIT","109","133","127.5","3.6","1.3"
"133","undefined","","Lil'Jordan Humphrey","NO","vs. ARI","124","137","129.5","4.2","1.3"
"134","undefined","","Justin Watson","TB","at TEN","122","132","128.6","2.2","0.9"
"135","undefined","","Andre Roberts","BUF","vs. PHI","127","131","129.8","1.2","0.9"
"136","undefined","","Damion Ratley","CLE","at NE","119","136","128.8","6.5","0.9"
"137","undefined","","Josh Bellamy","NYJ","at JAC","122","140","132.6","6.0","0.7"
"138","undefined","","Braxton Berrios","NYJ","at JAC","130","146","135.2","5.2","0.7"
"139","undefined","","Vyncint Smith","NYJ","at JAC","126","143","133.8","5.8","0.6"
"140","undefined","","Darrius Shepherd","GB","at KC","118","149","134.5","11.1","0.6"
"141","undefined","","Darius Jennings","TEN","vs. TB","120","139","131.3","8.2","0.9"
"142","undefined","","Damion Willis","CIN","at LAR","127","134","130.5","3.5","0.4"
"143","undefined","","Ryan Grant","GB","at KC","125","139","132.0","7.0","0.6"
"144","undefined","","Isaiah Ford","MIA","at PIT","128","139","133.5","5.5","0.4"
"145","undefined","","Dwayne Harris","OAK","at HOU","130","138","134.0","4.0","0.4"
"146","undefined","","Deonte Harris","NO","vs. ARI","138","147","142.5","4.5","0.3"
""
""
