"Rank","Tier","WSIS","Running Backs","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"36","undefined","","Latavius Murray","NO","vs. IND","28","44","36.8","2.2","7.4"
"37","undefined","","Boston Scott","PHI","at WAS","28","61","38.4","5.6","7.0"
"38","undefined","","Royce Freeman","DEN","at KC","30","45","38.9","2.2","6.9"
"39","undefined","","DeAndre Washington","OAK","vs. JAC","24","63","39.0","7.4","7.1"
"40","undefined","","Duke Johnson","HOU","at TEN","34","46","40.2","2.9","6.9"
"41","undefined","","Matt Breida","SF","vs. ATL","30","45","41.0","2.8","6.8"
"42","undefined","","Peyton Barber","TB","at DET","33","45","41.3","2.2","6.7"
"43","undefined","","Tarik Cohen","CHI","at GB","28","46","41.5","2.8","6.6"
"44","undefined","","David Johnson","ARI","vs. CLE","35","51","43.8","3.2","6.6"
"45","undefined","","Gus Edwards","BAL","vs. NYJ","41","53","45.3","2.1","6.5"
"46","undefined","","Darwin Thompson","KC","vs. DEN","42","70","49.0","5.3","6.3"
"47","undefined","","J.D. McKissic","DET","vs. TB","43","71","51.0","5.8","5.6"
"48","undefined","","Chris Thompson","WAS","vs. PHI","47","61","51.6","2.0","5.9"
"49","undefined","","Rex Burkhead","NE","at CIN","46","61","51.8","3.5","5.6"
"50","undefined","","Nyheim Hines","IND","at NO","42","58","52.2","3.1","5.0"
"51","undefined","","Tevin Coleman","SF","vs. ATL","43","60","49.2","3.4","4.9"
"52","undefined","","Benny Snell Jr.","PIT","vs. BUF","27","67","52.0","8.1","4.8"
"53","undefined","","Jaylen Samuels","PIT","vs. BUF","44","70","54.2","6.0","4.8"
"54","undefined","","Jalen Richard","OAK","vs. JAC","48","67","55.3","4.2","4.7"
"55","undefined","","Ty Johnson","DET","vs. TB","44","70","54.0","6.5","4.6"
"56","undefined","","Giovani Bernard","CIN","vs. NE","54","70","59.3","4.0","4.5"
"57","undefined","","Brian Hill","ATL","at SF","48","73","58.6","5.9","4.3"
"58","undefined","","Frank Gore","BUF","at PIT","48","66","57.8","4.2","4.1"
"59","undefined","","Dion Lewis","TEN","vs. HOU","52","70","60.3","4.1","4.0"
"60","undefined","","Malcolm Brown","LAR","at DAL","48","71","60.4","5.2","3.9"
"61","undefined","","Dare Ogunbowale","TB","at DET","55","69","64.1","3.1","3.8"
"62","undefined","","Myles Gaskin","MIA","at NYG","49","70","63.0","3.9","3.5"
"63","undefined","","C.J. Prosise","SEA","at CAR","44","89","64.3","9.5","3.4"
"64","undefined","","Spencer Ware","KC","vs. DEN","46","72","62.4","4.8","3.2"
"65","undefined","","Ty Montgomery","NYJ ","at BAL","51","76","62.6","6.0","3.2"
"66","undefined","","Chase Edmonds","ARI","vs. CLE","55","75","68.7","3.8","3.1"
"67","undefined","","Jay Ajayi","PHI","at WAS","55","87","66.5","6.8","2.9"
"68","undefined","","Justice Hill","BAL","vs. NYJ","64","74","69.7","2.6","2.9"
"69","undefined","","Brandon Bolden","NE","at CIN","58","83","72.3","5.7","2.7"
"70","undefined","","Ryquell Armstead","JAC","at OAK","65","77","71.6","3.3","2.7"
"71","undefined","","Jordan Wilkins","IND","at NO","63","77","70.4","3.3","2.6"
"72","undefined","","Ameer Abdullah","MIN","at LAC","63","81","74.2","3.6","2.7"
"73","undefined","","Tony Pollard","DAL","vs. LAR","63","89","72.9","6.3","2.2"
"74","undefined","","Mike Boone","MIN","at LAC","53","96","71.4","13.4","2.2"
"75","undefined","","Qadree Ollison","ATL","at SF","61","84","74.1","5.7","1.9"
"76","undefined","","Darrell Henderson","LAR","at DAL","68","87","77.9","3.6","1.6"
"77","undefined","","CJ Ham","MIN","at LAC","70","86","80.7","2.8","1.5"
"78","undefined","","Kerrith Whyte","PIT","vs. BUF","60","91","75.2","5.3","1.7"
"79","undefined","","Wayne Gallman","NYG ","vs. MIA","66","89","80.2","4.7","1.4"
"80","undefined","","Josh Adams","NYJ","at BAL","71","92","81.9","5.5","1.3"
"81","undefined","","Kenjon Barner","ATL","at SF","75","89","83.3","3.2","1.2"
"82","undefined","","Kyle Juszczyk","SF","vs. ATL","71","94","85.4","6.4","1.1"
"83","undefined","","Reggie Bonnafon","CAR","vs. SEA","79","89","84.7","2.9","1.1"
"84","undefined","","Javorius Allen","NYG","vs. MIA","75","92","83.9","4.8","1.1"
"85","undefined","","Alex Armah","CAR","vs. SEA","78","94","84.4","4.4","1.1"
"86","undefined","","Alec Ingold","OAK","vs. JAC","78","88","83.8","2.3","1.0"
"87","undefined","","Jonathan Williams","IND","at NO","76","98","86.7","5.9","1.0"
"88","undefined","","Wendell Smallwood","WAS","vs. PHI","69","98","83.8","8.2","1.0"
"89","undefined","","Trey Edmunds","PIT","vs. BUF","79","90","84.5","2.7","1.0"
"90","undefined","","Justin Jackson","LAC","vs. MIN","78","96","89.8","3.1","0.9"
"91","undefined","","Elijhaa Penny","NYG","vs. MIA","86","94","89.5","2.3","0.9"
"92","undefined","","Jamize Olawale","DAL","vs. LAR","71","99","91.5","3.3","0.9"
"93","undefined","","Devontae Booker","DEN","at KC","90","98","93.6","2.2","0.8"
"94","undefined","","Patrick DiMarco","BUF","at PIT","86","100","96.2","2.2","0.8"
"95","undefined","","Wes Hills","DET","vs. TB","59","101","86.8","9.9","0.8"
"96","undefined","","Travis Homer","SEA","at CAR","64","90","81.3","12.3","0.7"
"97","undefined","","Dontrell Hilliard","CLE","at ARI","89","100","96.0","2.7","0.7"
"98","undefined","","Khari Blasingame","TEN","vs. HOU","78","94","84.0","7.1","0.7"
"99","undefined","","Derek Watt","LAC","vs. MIN","91","103","97.0","3.4","0.6"
"100","undefined","","Ryan Nall","CHI","at GB","91","95","92.8","1.5","0.6"
"101","undefined","","Dan Vitale","GB","vs. CHI","96","102","98.9","1.9","0.6"
"102","undefined","","Jeff Wilson","SF","vs. ATL","81","98","90.7","7.1","0.6"
"103","undefined","","Zach Zenner","FA","","80","90","85.0","5.0","0.5"
"104","undefined","","Keith Smith","ATL","at SF","95","113","101.5","5.6","0.5"
"105","undefined","","Anthony Sherman","KC","vs. DEN","93","106","98.7","5.4","0.4"
"106","undefined","","De'Lance Turner","MIA","at NYG","96","117","106.5","10.5","0.4"
""
""
