"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"","high","8.9","4.6","39.2","0.1","0.0","1.0","1.5","0.0","0.0","0.9"
"","low","1.6","1.1","13.0","0.0","0.4","0.2","0.2","0.0","0.1","0.9"
"Ryan Griffin","TB","4.8","2.8","26.0","0.1","0.2","0.4","0.3","0.0","0.1","0.8"
"","high","8.3","4.7","42.6","0.1","0.0","0.6","0.5","0.0","0.0","0.8"
"","low","1.3","0.8","9.3","0.0","0.4","0.2","0.2","0.0","0.1","0.8"
"Matt Moore","KC","4.4","2.4","22.8","0.1","0.2","0.5","0.9","0.0","0.1","0.8"
"","high","7.2","3.9","35.3","0.1","0.0","0.8","1.5","0.0","0.0","0.8"
"","low","1.5","0.9","10.3","0.0","0.4","0.2","0.2","0.0","0.1","0.8"
"Case Keenum","WAS","4.6","2.6","24.2","0.1","0.2","0.5","1.1","0.0","0.1","0.8"
"","high","8.1","4.4","39.9","0.1","0.1","0.9","1.8","0.0","0.0","0.6"
"","low","1.2","0.7","8.5","0.0","0.4","0.1","0.5","0.0","0.1","0.6"
"Brandon Allen","DEN","2.7","1.6","14.9","0.1","0.1","0.6","2.0","0.0","0.0","0.8"
"","high","4.2","2.3","19.8","0.1","0.0","0.9","3.0","0.0","0.0","0.9"
"","low","1.3","0.8","9.9","0.0","0.2","0.2","1.0","0.0","0.1","0.9"
"Chase Daniel","CHI","4.8","2.7","25.5","0.1","0.2","0.4","0.8","0.0","0.1","0.7"
"","high","8.2","4.7","42.1","0.1","0.1","0.6","1.1","0.0","0.0","0.7"
"","low","1.4","0.8","8.9","0.0","0.4","0.3","0.5","0.0","0.1","0.7"
"Marcus Mariota","TEN","3.9","2.2","20.9","0.1","0.2","0.5","1.3","0.0","0.1","0.7"
"","high","6.8","3.7","32.8","0.1","0.0","0.7","1.4","0.0","0.0","0.9"
"","low","1.1","0.7","9.1","0.0","0.4","0.3","1.2","0.0","0.1","0.9"
"Ryan Finley","CIN","4.1","2.2","23.1","0.1","0.3","0.6","1.9","0.0","0.1","0.7"
