"Rank","Tier","WSIS","Tight Ends","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"33","undefined","","Blake Jarwin","DAL","at CHI","24","38","33.9","2.4","2.7"
"34","undefined","","David Njoku","CLE","vs. CIN","15","51","27.6","10.0","2.7"
"35","undefined","","Jaeden Graham","ATL","vs. CAR","26","54","37.4","9.0","2.7"
"36","undefined","","Nick Boyle","BAL","at BUF","34","50","38.8","4.1","2.5"
"37","undefined","","Logan Thomas","DET","at MIN","29","44","36.1","4.1","2.5"
"38","undefined","","C.J. Uzomah","CIN","at CLE","21","43","37.8","2.6","2.4"
"39","undefined","","Foster Moreau","OAK","vs. TEN","35","46","40.3","3.6","2.4"
"40","undefined","","Hayden Hurst","BAL","at BUF","33","48","39.3","3.7","2.4"
"41","undefined","","Anthony Firkser","TEN","at OAK","26","47","38.3","5.2","2.1"
"42","undefined","","Jesse James","DET","at MIN","36","56","45.8","5.5","2.0"
"43","undefined","","Demetrius Harris","CLE","vs. CIN","37","57","43.6","6.2","2.0"
"44","undefined","","Matt LaCosse","NE","vs. KC","32","48","43.7","2.8","2.0"
"45","undefined","","Mo Alie-Cox","IND","at TB","32","61","45.5","6.0","2.0"
"46","undefined","","Jeff Heuerman","DEN","at HOU","40","56","48.8","3.8","1.8"
"47","undefined","","Charles Clay","ARI","vs. PIT","45","53","48.6","2.5","1.7"
"48","undefined","","Maxx Williams","ARI","vs. PIT","46","63","52.4","5.4","1.7"
"49","undefined","","J.P. Holtz","CHI","vs. DAL","32","54","40.3","6.0","1.7"
"50","undefined","","Nick Vannett","PIT","at ARI","45","65","53.2","5.3","1.7"
"51","undefined","","Josh Hill","NO","vs. SF","42","51","46.8","3.0","1.6"
"52","undefined","","Marcedes Lewis","GB","vs. WAS","47","77","53.3","9.0","1.5"
"53","undefined","","Ross Travis","IND","at TB","41","50","44.7","3.9","1.6"
"54","undefined","","Andrew Beck","DEN","at HOU","35","65","47.6","10.1","1.5"
"55","undefined","","Derek Carrier","OAK","vs. TEN","49","59","53.3","3.1","1.4"
"56","undefined","","Robert Tonyan","GB","vs. WAS","43","67","54.8","7.2","1.3"
"57","undefined","","Johnny Mundt","LAR","vs. SEA","51","70","59.2","5.8","1.2"
"58","undefined","","Tyler Kroft","BUF","vs. BAL","50","62","57.2","3.3","1.3"
"59","undefined","","Hale Hentges","WAS","at GB","50","55","51.5","2.1","1.3"
"60","undefined","","Durham Smythe","MIA","at NYJ","52","64","58.0","4.0","1.3"
"61","undefined","","Jesper Horsted","CHI","vs. DAL","21","30","25.5","4.5","1.2"
"62","undefined","","Chris Manhertz","CAR","at ATL","40","71","60.4","6.6","1.3"
"63","undefined","","Ben Koyack","JAC","vs. LAC","56","76","64.3","6.8","1.2"
"64","undefined","","Scott Simonson","NYG","at PHI","34","80","66.7","7.6","1.1"
"65","undefined","","Ross Dwelley","SF","at NO","58","79","67.0","6.7","1.1"
"66","undefined","","Ricky Seals-Jones","CLE","vs. CIN","54","74","64.2","8.5","1.0"
"67","undefined","","Virgil Green","LAC","at JAC","61","68","64.4","2.7","1.2"
"68","undefined","","Lee Smith","BUF","vs. BAL","61","77","66.3","6.5","1.1"
"69","undefined","","Daniel Brown","NYJ","vs. MIA","58","75","66.5","6.3","1.0"
"70","undefined","","Tanner Hudson","TB","vs. IND","59","69","62.7","4.5","1.0"
"71","undefined","","Blake Bell","KC","at NE","62","76","67.5","5.9","0.9"
"72","undefined","","Clive Walford","MIA","at NYJ","63","75","69.3","4.9","0.9"
"73","undefined","","MyCole Pruitt","TEN","at OAK","58","79","70.5","7.7","0.8"
"74","undefined","","Tyler Conklin","MIN","vs. DET","55","87","71.3","13.1","0.8"
"75","undefined","","Luke Willson","SEA","at LAR","52","81","66.5","14.5","0.8"
"76","undefined","","Deon Yelder","KC","at NE","63","83","72.3","8.2","0.8"
"77","undefined","","Tommy Sweeney","BUF","vs. BAL","63","78","72.3","6.6","0.8"
"78","undefined","","Luke Stocker","ATL","vs. CAR","68","68","68.0","0.0","0.7"
"79","undefined","","Jace Sternberger","GB","vs. WAS","67","80","75.5","5.0","0.7"
"80","undefined","","Jordan Thomas","HOU","vs. DEN","72","75","74.0","1.4","0.7"
"81","undefined","","Dalton Schultz","DAL","at CHI","71","88","77.7","7.4","0.7"
"82","undefined","","Tyrone Swoopes","SEA","at LAR","65","82","73.5","8.5","0.7"
"83","undefined","","Garrett Celek","SF","at NO","73","74","73.5","0.5","0.7"
"84","undefined","","Seth DeValve","JAC","vs. LAC","70","80","75.0","5.0","0.6"
"85","undefined","","Dan Arnold","ARI","vs. PIT","74","78","76.0","2.0","0.5"
"86","undefined","","Trevon Wesco","NYJ","vs. MIA","76","81","78.0","2.2","0.5"
"87","undefined","","Troy Fumagalli","DEN","at HOU","78","86","82.0","4.0","0.5"
""
""
