"Rank","Tier","WSIS","Running Backs","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"95","undefined","","Dontrell Hilliard","CLE","vs. CIN","90","97","93.9","1.8","0.8"
"96","undefined","","Dan Vitale","GB","vs. WAS","86","111","97.5","5.1","0.7"
"97","undefined","","Spencer Ware","KC","at NE","63","94","75.5","12.9","0.6"
"98","undefined","","Javorius Allen","NYG","at PHI","76","94","87.8","3.5","0.7"
"99","undefined","","Mike Boone","MIN","vs. DET","80","99","91.1","3.9","0.8"
"100","undefined","","Zach Zenner","MIA","at NYJ","65","95","85.6","5.6","0.8"
"101","undefined","","De'Lance Turner","MIA","at NYJ","89","109","95.8","7.8","0.6"
"102","undefined","","Anthony Sherman","KC","at NE","90","108","99.2","6.8","0.6"
"103","undefined","","Derek Watt","LAC","at JAC","89","105","97.0","5.8","0.6"
"104","undefined","","Wendell Smallwood","WAS","at GB","100","102","100.7","0.9","0.5"
"105","undefined","","Mike Davis","CAR","at ATL","100","104","102.0","1.6","0.5"
"106","undefined","","Keith Smith","ATL","vs. CAR","88","112","104.5","9.6","0.6"
"107","undefined","","Damien Harris","NE","vs. KC","98","106","102.3","3.3","0.4"
"108","undefined","","Dwayne Washington","NO","vs. SF","98","107","103.3","3.9","0.5"
"109","undefined","","T.J. Yeldon","BUF","vs. BAL","101","108","104.0","2.9","0.4"
"110","undefined","","Travis Homer","SEA","at LAR","103","107","105.3","1.7","0.4"
"111","undefined","","Tyler Ervin","GB","vs. WAS","105","109","107.0","1.6","0.3"
"112","undefined","","C.J. Prosise","SEA","at LAR","104","110","107.7","2.6","0.4"
""
""
