"Rank","Tier","WSIS","Wide Receivers","Team","Opp","Best","Worst","Avg","Std Dev"
"60","undefined","","Trey Quinn","WAS","at NYG","45","68","60.4","5.3"
"61","undefined","","Parris Campbell","IND","vs. OAK","36","73","61.3","7.4"
"62","undefined","","Chris Conley","JAC","at DEN","49","70","62.4","4.2"
"63","undefined","","Ted Ginn","NO","vs. DAL","54","88","64.7","6.9"
"64","undefined","","Dontrelle Inman","LAC","at MIA","41","95","65.6","14.8"
"65","undefined","","Adam Humphries","TEN","at ATL","41","75","68.9","5.5"
"66","undefined","","A.J. Brown","TEN","at ATL","59","78","67.1","4.2"
"67","undefined","","KeeSean Johnson","ARI","vs. SEA","53","83","68.5","4.8"
"68","undefined","","Danny Amendola","DET","vs. KC","58","78","67.3","4.9"
"69","undefined","","Anthony Miller","CHI","vs. MIN","53","89","73.4","6.6"
"70","undefined","","Mack Hollins","PHI","at GB","55","89","71.4","6.4"
"71","undefined","","Deon Cain","IND","vs. OAK","52","83","69.1","9.1"
"72","undefined","","Willie Snead","BAL","vs. CLE","67","91","75.6","4.4"
"73","undefined","","Zay Jones","BUF","vs. NE","61","90","78.9","5.5"
"74","undefined","","David Moore","SEA","at ARI","70","91","77.5","4.1"
"75","undefined","","Hunter Renfrow","OAK","at IND","68","93","78.9","5.3"
"76","undefined","","Zach Pascal","IND","vs. OAK","59","91","79.1","8.6"
"77","undefined","","Keke Coutee","HOU","vs. CAR","56","96","82.1","8.5"
"78","undefined","","Miles Boykin","BAL","vs. CLE","72","96","82.9","5.9"
"79","undefined","","Bennie Fowler","NYG","vs. WAS","62","89","79.6","4.5"
"80","undefined","","J.J. Nelson","OAK","at IND","62","93","82.7","6.6"
"81","undefined","","Cody Latimer","NYG","vs. WAS","64","93","80.8","6.8"
"82","undefined","","DaeSean Hamilton","DEN","vs. JAC","81","95","85.4","3.6"
"83","undefined","","Breshad Perriman","TB","at LAR","73","87","80.7","2.5"
"84","undefined","","J.J. Arcega-Whiteside","PHI","at GB","71","97","84.2","6.4"
"85","undefined","","Cordarrelle Patterson","CHI","vs. MIN","70","96","86.3","5.5"
"86","undefined","","T.Y. Hilton","IND","vs. OAK","8","105","65.2","18.6"
"87","undefined","","Chester Rogers","IND","vs. OAK","50","103","87.9","13.6"
"88","undefined","","Jakeem Grant","MIA","vs. LAC","80","95","87.6","3.8"
"89","undefined","","Albert Wilson","MIA","vs. LAC","53","106","85.0","17.4"
"90","undefined","","Damion Ratley","CLE","at BAL","71","100","89.3","6.3"
"91","undefined","","Darius Slayton","NYG","vs. WAS","68","102","86.8","12.2"
"92","undefined","","Auden Tate","CIN","at PIT","63","102","88.4","10.8"
"93","undefined","","Isaiah McKenzie","BUF","vs. NE","80","100","91.7","5.2"
"94","undefined","","Jaron Brown","SEA","at ARI","77","98","89.5","7.0"
"95","undefined","","Jarius Wright","CAR","at HOU","88","103","95.9","3.7"
"96","undefined","","Tajae Sharpe","TEN","at ATL","82","102","95.0","5.2"
"97","undefined","","Rashard Higgins","CLE","at BAL","41","94","89.6","3.2"
"98","undefined","","Josh Reynolds","LAR","vs. TB","80","105","94.3","6.8"
"99","undefined","","Travis Benjamin","LAC","at MIA","66","76","70.7","3.2"
"100","undefined","","Robert Foster","BUF","vs. NE","88","107","98.2","4.5"
"101","undefined","","Damion Willis","CIN","at PIT","79","120","102.5","6.0"
"102","undefined","","Ryan Switzer","PIT","vs. CIN","92","111","103.6","5.4"
"103","undefined","","TJ Jones","NYG","vs. WAS","69","99","94.4","4.4"
"104","undefined","","Seth Roberts","BAL","vs. CLE","93","117","105.9","7.3"
"105","undefined","","Marqise Lee","JAC","at DEN","100","114","109.0","3.4"
"106","undefined","","Keelan Doss","OAK","at IND","86","106","98.6","6.7"
"107","undefined","","Kelvin Harmon","WAS","at NYG","69","120","103.8","13.4"
"108","undefined","","Chris Hogan","CAR","at HOU","100","116","107.6","4.1"
"109","undefined","","Alex Erickson","CIN","at PIT","102","111","108.0","2.3"
"110","undefined","","Donte Moncrief","PIT","vs. CIN","100","117","105.8","5.3"
"111","undefined","","Jake Kumerow","GB","vs. PHI","90","118","102.4","9.5"
"112","undefined","","Andy Isabella","ARI","vs. SEA","97","131","110.5","10.1"
"113","undefined","","Trent Sherfield","ARI","vs. SEA","62","137","94.7","31.4"
"114","undefined","","Jakobi Meyers","NE","at BUF","73","122","111.3","7.3"
"115","undefined","","Justin Hardy","ATL","vs. TEN","84","115","111.3","2.1"
"116","undefined","","Malik Turner","SEA","at ARI","99","121","112.7","5.5"
"117","undefined","","De'Anthony Thomas","KC","at DET","104","116","114.5","1.4"
"118","undefined","","Austin Carr","NO","vs. DAL","103","129","112.6","8.7"
"119","undefined","","Geremy Davis","LAC","at MIA","84","125","102.3","17.0"
"120","undefined","","Taywan Taylor","CLE","at BAL","106","123","112.5","7.1"
"121","undefined","","Darrius Shepherd","GB","vs. PHI","97","132","117.2","11.3"
"122","undefined","","Javon Wims","CHI","vs. MIN","109","123","118.2","3.7"
"123","undefined","","Russell Gage","ATL","vs. TEN","115","124","118.4","3.0"
"124","undefined","","Cedrick Wilson","DAL","at NO","101","103","102.0","1.0"
"125","undefined","","Tyler Ervin","JAC","at DEN","102","103","102.5","0.5"
"126","undefined","","Darius Jennings","TEN","at ATL","104","128","119.0","8.1"
"127","undefined","","Olabisi Johnson","MIN","at CHI","107","135","120.0","10.7"
"128","undefined","","Robert Davis","WAS","at NYG","104","142","117.3","17.5"
"129","undefined","","Deonte Harris","NO","vs. DAL","113","126","118.0","5.1"
"130","undefined","","Steven Sims","WAS","at NYG","117","130","121.8","5.0"
"131","undefined","","Laquon Treadwell","MIN","at CHI","93","134","113.5","20.5"
"132","undefined","","Gunner Olszewski","NE","at BUF","106","125","115.5","9.5"
"133","undefined","","Byron Pringle","KC","at DET","113","127","120.3","5.7"
"134","undefined","","Chris Moore","BAL","vs. CLE","107","139","123.3","13.1"
"135","undefined","","Tavon Austin","DAL","at NO","115","129","121.0","5.9"
"136","undefined","","Keelan Cole","JAC","at DEN","116","126","121.0","5.0"
"137","undefined","","DeAndre Carter","HOU","vs. CAR","113","136","124.5","11.5"
"138","undefined","","Justin Watson","TB","at LAR","120","133","127.0","5.4"
"139","undefined","","Cody Core","NYG","vs. WAS","123","138","130.5","7.5"
""
""
