"Rank","Tier","WSIS","Tight Ends","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"55","undefined","","Ricky Seals-Jones","CLE","at PIT","45","61","52.8","5.4","1.6"
"56","undefined","","Ben Braunecker","CHI ","at DET","34","36","35.0","0.8","1.6"
"57","undefined","","Tyler Kroft","BUF","at DAL","49","56","53.8","2.2","1.7"
"58","undefined","","Marcedes Lewis","GB","at NYG","47","64","57.6","5.6","1.6"
"59","undefined","","Jesse James","DET","vs. CHI","54","68","59.2","4.8","1.5"
"60","undefined","","Andrew Beck","DEN","vs. LAC","52","62","56.5","3.6","1.5"
"61","undefined","","Jesper Horsted","CHI","at DET","30","35","32.5","2.5","1.1"
"62","undefined","","MyCole Pruitt","TEN","at IND","47","71","62.2","8.7","1.5"
"63","undefined","","Ian Thomas","CAR","vs. WAS","55","70","62.6","5.2","1.4"
"64","undefined","","Derek Carrier","OAK","at KC","50","72","60.3","8.0","1.4"
"65","undefined","","Deon Yelder","KC","vs. OAK","42","68","60.5","10.7","1.4"
"66","undefined","","Robert Tonyan","GB","at NYG","55","70","63.0","5.9","1.2"
"67","undefined","","Johnny Mundt","LAR","at ARI","53","67","58.0","6.4","1.2"
"68","undefined","","Lee Smith","BUF","at DAL","57","79","63.8","8.9","1.2"
"69","undefined","","Durham Smythe","MIA","vs. PHI","60","70","65.5","4.2","1.1"
"70","undefined","","Luke Willson","SEA ","vs. MIN","57","73","64.7","6.5","1.1"
"71","undefined","","Blake Bell","KC","vs. OAK","63","78","68.8","5.8","1.1"
"72","undefined","","Garrett Celek","SF","at BAL","64","74","68.8","3.6","1.1"
"73","undefined","","Carson Meier","ATL","vs. NO","50","66","58.0","8.0","1.0"
"74","undefined","","Daniel Brown","NYJ","at CIN","60","77","70.3","6.4","0.9"
"75","undefined","","Tanner Hudson","TB","at JAC","62","75","68.0","5.4","0.9"
"76","undefined","","Chris Manhertz","CAR","vs. WAS","62","72","68.3","4.5","0.9"
"77","undefined","","Troy Fumagalli","DEN","vs. LAC","63","78","71.5","5.4","0.9"
"78","undefined","","Jordan Thomas","HOU","vs. NE","63","69","66.0","3.0","0.9"
"79","undefined","","Trevon Wesco","NYJ","at CIN","71","76","73.5","2.1","0.9"
"80","undefined","","Jeff Heuerman","DEN","vs. LAC","55","79","67.0","12.0","0.8"
"81","undefined","","Ross Travis","IND","vs. TEN","57","80","68.5","11.5","0.8"
"82","undefined","","Tyrone Swoopes","SEA","vs. MIN","58","83","70.5","12.5","0.8"
"83","undefined","","Jace Sternberger","GB","at NYG","61","86","73.5","12.5","0.7"
"84","undefined","","Dalton Schultz","DAL","vs. BUF","74","81","77.5","3.0","0.7"
""
""
