"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Kalen Ballage","MIA","6.6","21.3","0.2","1.6","9.9","0.0","0.1","4.8"
"","high","15.7","42.4","0.6","3.6","16.7","0.0","0.0","6.4"
"","low","1.0","7.0","0.0","0.4","3.5","0.0","0.1","1.9"
"Zach Zenner","ARI","7.0","26.5","0.1","1.2","8.4","0.0","0.1","4.7"
"","high","9.0","33.3","0.2","2.5","15.5","0.0","0.0","5.4"
"","low","4.0","16.4","0.0","0.7","5.0","0.0","0.1","3.8"
"Rashaad Penny","SEA","6.3","29.3","0.1","1.0","6.2","0.0","0.0","4.7"
"","high","9.2","50.2","0.3","2.7","9.1","0.0","0.0","6.1"
"","low","3.5","15.1","0.0","0.0","2.0","0.0","0.1","3.3"
"J.D. McKissic","DET","3.0","15.4","0.0","1.8","16.7","0.0","0.0","4.5"
"","high","3.6","28.1","0.1","3.1","30.8","0.1","0.0","4.7"
"","low","2.0","7.0","0.0","1.2","8.6","0.0","0.0","3.5"
"DeAndre Washington","OAK","5.6","22.4","0.1","1.5","9.2","0.0","0.1","4.4"
"","high","8.4","36.4","0.2","3.0","16.2","0.1","0.0","5.2"
"","low","4.1","17.0","0.0","0.9","6.0","0.0","0.1","3.0"
"Dion Lewis","TEN","3.8","15.5","0.0","2.1","13.2","0.0","0.1","4.0"
"","high","7.5","26.8","0.1","3.1","23.0","0.1","0.0","4.7"
"","low","2.5","11.0","0.0","1.0","5.0","0.0","0.1","2.9"
"Tony Pollard","DAL","5.7","23.3","0.1","0.9","6.0","0.0","0.1","4.0"
"","high","7.9","36.0","0.2","2.0","9.0","0.0","0.1","6.0"
"","low","2.0","8.0","0.0","0.0","0.0","0.0","0.1","1.3"
"Wendell Smallwood","WAS","4.3","16.9","0.0","1.7","12.2","0.0","0.0","4.0"
"","high","7.9","31.9","0.1","3.0","25.0","0.0","0.0","4.7"
"","low","1.8","7.0","0.0","0.2","1.8","0.0","0.1","1.7"
"Dare Ogunbowale","TB","2.1","7.6","0.0","2.5","18.0","0.0","0.0","3.9"
"","high","5.6","21.2","0.0","3.3","25.0","0.1","0.0","4.2"
"","low","0.5","2.0","0.0","2.0","10.0","0.0","0.1","2.8"
"Raheem Mostert","SF","5.1","26.3","0.0","1.2","5.6","0.0","0.1","3.9"
"","high","11.0","49.0","0.1","3.1","7.5","0.1","0.0","5.6"
"","low","1.1","5.0","0.0","0.4","4.0","0.0","0.3","1.7"
"Dontrell Hilliard","CLE","3.0","12.2","0.1","1.5","11.1","0.0","0.0","3.8"
"","high","4.3","15.2","0.4","2.6","15.3","0.0","0.0","5.6"
"","low","1.4","6.0","0.0","1.0","8.3","0.0","0.1","2.5"
"Gus Edwards","BAL","6.5","29.3","0.1","0.5","2.0","0.0","0.0","3.7"
"","high","9.2","44.9","0.1","1.2","5.0","0.0","0.0","3.9"
"","low","4.1","19.0","0.0","0.0","0.0","0.0","0.1","3.0"
"Jalen Richard","OAK","2.2","10.0","0.0","1.8","14.0","0.0","0.1","3.4"
"","high","4.3","19.3","0.1","2.9","18.5","0.1","0.0","4.5"
"","low","0.0","0.0","0.0","1.0","10.0","0.0","0.1","1.9"
"Ty Montgomery","NYJ","3.5","12.9","0.0","1.1","7.5","0.0","0.1","2.8"
"","high","6.4","21.3","0.1","2.1","9.7","0.0","0.0","4.0"
"","low","1.9","6.0","0.0","0.6","4.7","0.0","0.1","1.7"
"Jordan Wilkins","IND","4.1","17.9","0.1","0.6","3.0","0.0","0.1","2.7"
"","high","6.6","27.4","0.1","1.9","7.5","0.0","0.0","3.9"
"","low","2.0","8.0","0.0","0.0","0.0","0.0","0.1","1.1"
"Justice Hill","BAL","3.6","15.7","0.0","0.8","4.9","0.0","0.1","2.6"
"","high","7.1","30.6","0.1","2.0","8.2","0.0","0.0","4.6"
"","low","1.0","5.0","0.0","0.0","0.0","0.0","0.1","0.9"
"Boston Scott","PHI","4.3","15.1","0.0","0.9","4.6","0.0","0.1","2.5"
"","high","10.2","34.8","0.1","2.5","10.8","0.0","0.0","2.9"
"","low","0.9","4.0","0.0","0.2","1.0","0.0","0.1","1.1"
"Trey Edmunds","PIT","3.8","13.3","0.1","0.8","4.3","0.0","0.0","2.5"
"","high","6.3","22.5","0.2","1.7","5.9","0.0","0.0","4.3"
"","low","0.7","3.0","0.0","0.1","1.0","0.0","0.1","0.8"
"Darrel Williams","KC","3.4","12.2","0.0","0.9","5.9","0.0","0.0","2.5"
"","high","9.4","31.3","0.1","2.3","10.0","0.0","0.0","2.9"
"","low","1.2","3.9","0.0","0.0","0.0","0.0","0.1","1.3"
"Ryquell Armstead","JAC","3.4","12.0","0.1","0.7","4.1","0.0","0.0","2.4"
"","high","7.2","22.5","0.1","1.9","9.4","0.1","0.0","3.4"
"","low","1.0","4.0","0.0","0.0","0.0","0.0","0.1","0.8"
"Wayne Gallman","NYG","2.7","9.8","0.0","1.0","6.3","0.0","0.0","2.3"
"","high","5.9","19.6","0.1","2.0","12.0","0.0","0.0","2.7"
"","low","1.4","6.0","0.0","0.3","2.0","0.0","0.1","1.8"
"Brandon Bolden","NE","2.3","8.5","0.1","0.9","5.3","0.0","0.0","2.3"
"","high","6.0","20.0","0.2","2.0","8.4","0.1","0.0","3.5"
"","low","0.7","2.8","0.0","0.3","2.2","0.0","0.1","1.2"
"Jeff Wilson","SF","3.9","14.6","0.0","0.9","3.4","0.0","0.1","2.3"
"","high","8.4","31.1","0.1","3.2","8.9","0.0","0.0","2.8"
"","low","0.4","1.5","0.0","0.1","0.7","0.0","0.2","0.8"
"Bilal Powell","NYJ","3.1","11.2","0.0","0.9","5.2","0.0","0.0","2.2"
"","high","5.8","19.3","0.0","2.0","8.1","0.0","0.0","2.0"
"","low","1.5","6.4","0.0","0.4","3.4","0.0","0.0","1.8"
"Paul Perkins","DET","3.2","11.2","0.0","0.8","3.4","0.0","0.0","2.1"
"","high","3.7","11.4","0.1","1.4","4.8","0.0","0.0","2.2"
"","low","2.7","11.1","0.0","0.3","2.0","0.0","0.0","2.2"
"C.J. Prosise","SEA","2.2","7.1","0.0","1.0","5.9","0.0","0.0","2.0"
"","high","4.6","15.4","0.1","1.5","7.0","0.1","0.0","2.2"
"","low","1.0","3.0","0.0","0.6","4.7","0.0","0.0","1.5"
"Andy Janovich","DEN","1.2","3.9","0.0","1.0","7.3","0.0","0.0","1.8"
"","high","3.9","12.2","0.0","1.4","9.0","0.1","0.0","2.0"
"","low","0.2","0.4","0.0","0.8","5.2","0.0","0.0","1.6"
"CJ Ham","MIN","1.8","5.9","0.0","1.0","5.3","0.0","0.0","1.8"
"","high","5.8","17.4","0.0","1.6","9.0","0.1","0.0","1.9"
"","low","0.3","1.3","0.0","0.3","2.6","0.0","0.0","1.1"
"Mike Davis","CHI","2.4","8.1","0.0","0.9","4.9","0.0","0.0","1.8"
"","high","5.8","19.3","0.0","2.0","8.1","0.0","0.0","1.7"
"","low","0.5","2.0","0.0","0.2","1.3","0.0","0.0","1.2"
"Reggie Bonnafon","CAR","3.0","11.4","0.0","0.5","3.1","0.0","0.1","1.8"
"","high","6.7","20.5","0.1","1.8","6.4","0.0","0.0","2.8"
"","low","1.1","4.9","0.0","0.0","2.0","0.0","0.1","1.2"
"Justin Jackson","LAC","1.9","8.1","0.0","0.8","4.2","0.0","0.0","1.6"
"","high","3.7","18.0","0.0","1.1","5.5","0.0","0.0","2.7"
"","low","0.5","2.1","0.0","0.3","2.8","0.0","0.0","1.0"
"Kerrith Whyte","CHI","1.9","7.3","0.1","0.2","2.0","0.0","0.0","1.6"
"","high","1.9","7.3","0.1","0.2","2.0","0.0","0.0","1.6"
"","low","1.9","7.3","0.1","0.2","2.0","0.0","0.0","1.6"
"Patrick DiMarco","BUF","1.2","3.9","0.0","0.9","5.9","0.0","0.0","1.5"
"","high","3.7","11.8","0.0","1.3","8.2","0.0","0.0","1.6"
"","low","0.3","0.9","0.0","0.8","3.6","0.0","0.0","1.4"
"Dan Vitale","GB","0.9","3.0","0.0","0.9","7.1","0.0","0.0","1.5"
"","high","2.6","8.1","0.0","1.7","12.2","0.0","0.0","1.7"
"","low","0.1","0.3","0.0","0.4","3.1","0.0","0.0","0.9"
"Darren Sproles","PHI","1.5","5.9","0.0","0.4","3.5","0.0","0.0","1.4"
"","high","1.8","6.1","0.0","0.6","4.7","0.0","0.0","1.7"
"","low","1.2","5.8","0.0","0.3","2.3","0.0","0.0","1.1"
"Darwin Thompson","KC","2.0","6.6","0.0","0.7","2.7","0.0","0.0","1.3"
"","high","3.1","9.6","0.0","1.1","3.0","0.0","0.0","1.2"
"","low","0.9","3.6","0.0","0.3","2.4","0.0","0.0","1.2"
"Ameer Abdullah","MIN","1.9","6.4","0.0","0.6","3.1","0.0","0.0","1.3"
"","high","4.2","13.2","0.0","1.5","5.6","0.0","0.0","1.3"
"","low","0.3","1.3","0.0","0.1","1.1","0.0","0.0","0.6"
"D'Ernest Johnson","CLE","1.1","4.3","0.0","0.6","3.5","0.0","0.0","1.2"
