"Rank","Tier","WSIS","Wide Receivers","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"47","undefined","","Demaryius Thomas","NYJ ","at WAS","43","63","48.6","2.1","6.7"
"48","undefined","","Cole Beasley","BUF","at MIA","36","56","48.7","3.6","6.6"
"49","undefined","","Diontae Johnson","PIT","at CLE","33","60","48.9","3.0","6.5"
"50","undefined","","Hunter Renfrow","OAK","vs. CIN","39","57","50.5","2.7","6.5"
"51","undefined","","Randall Cobb","DAL","at DET","31","59","52.1","4.6","6.5"
"52","undefined","","James Washington","PIT","at CLE","45","62","52.5","4.1","6.3"
"53","undefined","","Russell Gage","ATL","at CAR","41","59","53.4","3.1","6.2"
"54","undefined","","Chris Conley","JAC","at IND","42","58","53.5","3.1","6.2"
"55","undefined","","Taylor Gabriel","CHI","at LAR","37","68","57.8","4.0","6.2"
"56","undefined","","Nelson Agholor","PHI","vs. NE","43","69","58.4","5.6","6.1"
"57","undefined","","Mecole Hardman","KC","at LAC","39","84","58.8","6.4","6.0"
"58","undefined","","Chester Rogers","IND","vs. JAC","51","77","59.5","5.0","5.9"
"59","undefined","","Danny Amendola","DET","vs. DAL","52","73","61.1","4.2","5.8"
"60","undefined","","Olabisi Johnson","MIN","vs. DEN","54","79","62.3","4.6","5.7"
"61","undefined","","Alex Erickson","CIN","at OAK","41","74","62.4","5.5","5.7"
"62","undefined","","Demarcus Robinson","KC","at LAC","54","85","65.1","5.1","5.5"
"63","undefined","","Allen Hurns","MIA","vs. BUF","54","72","65.4","3.3","5.4"
"64","undefined","","Anthony Miller","CHI","at LAR","62","76","67.3","3.7","5.3"
"65","undefined","","Willie Snead","BAL","vs. HOU","66","79","71.4","2.8","5.1"
"66","undefined","","Albert Wilson","MIA","vs. BUF","58","83","69.0","4.5","5.0"
"67","undefined","","Tre'Quan Smith","NO","at TB","54","78","64.8","5.1","4.9"
"68","undefined","","Zay Jones","OAK","vs. CIN","64","81","69.2","4.2","4.8"
"69","undefined","","Kendrick Bourne","SF","vs. ARI","47","86","70.4","6.7","4.7"
"70","undefined","","Trey Quinn","WAS","vs. NYJ","57","77","73.1","3.5","4.4"
"71","undefined","","Andy Isabella","ARI","at SF","54","85","71.0","6.0","4.4"
"72","undefined","","Will Fuller","HOU ","at BAL","24","132","63.5","26.7","4.4"
"73","undefined","","Rashard Higgins","CLE","vs. PIT","59","83","73.6","4.5","4.4"
"74","undefined","","Jakeem Grant","MIA","vs. BUF","59","87","76.8","5.0","4.3"
"75","undefined","","Isaiah McKenzie","BUF","at MIA","63","85","75.5","4.5","4.3"
"76","undefined","","Dante Pettis","SF ","vs. ARI","46","105","79.3","7.3","4.3"
"77","undefined","","Marquise Goodwin","SF","vs. ARI","63","95","79.3","5.2","4.3"
"78","undefined","","Miles Boykin","BAL","vs. HOU","74","93","83.3","4.2","4.3"
"79","undefined","","DaeSean Hamilton","DEN ","at MIN","74","94","84.1","4.4","4.0"
"80","undefined","","KeeSean Johnson","ARI","at SF","80","96","84.1","3.1","4.0"
"81","undefined","","Breshad Perriman","TB","vs. NO","70","94","81.8","6.6","3.8"
"82","undefined","","Marcus Johnson","IND","vs. JAC","65","91","82.4","6.4","3.7"
"83","undefined","","Jarius Wright","CAR","vs. ATL","73","96","87.3","3.3","3.7"
"84","undefined","","Mack Hollins","PHI","vs. NE","68","106","88.4","8.3","3.5"
"85","undefined","","Cordarrelle Patterson","CHI","at LAR","74","95","86.0","3.7","3.5"
"86","undefined","","Tavon Austin","DAL","at DET","73","102","88.8","6.4","3.5"
"87","undefined","","Laquon Treadwell","MIN","vs. DEN","81","104","91.4","4.8","3.5"
"88","undefined","","Diontae Spencer","DEN","at MIN","67","103","83.5","9.9","3.5"
"89","undefined","","Keelan Cole","JAC","at IND","76","99","92.5","4.7","3.4"
"90","undefined","","Marvin Hall","DET","vs. DAL","77","101","87.7","7.0","3.4"
"91","undefined","","Jakobi Meyers","NE","at PHI","86","124","94.4","7.3","3.4"
"92","undefined","","Keke Coutee","HOU","at BAL","84","105","95.1","5.5","3.4"
"93","undefined","","Andre Patton","LAC","vs. KC","76","103","86.9","8.2","3.3"
"94","undefined","","Justin Hardy","ATL","at CAR","79","113","99.2","4.7","3.3"
"95","undefined","","Fred Brown","DEN","at MIN","66","101","89.4","7.5","3.2"
"96","undefined","","Vyncint Smith","NYJ","at WAS","73","101","90.1","6.1","3.3"
"97","undefined","","Pharoh Cooper","ARI","at SF","82","109","99.8","5.4","3.2"
"98","undefined","","Robert Foster","BUF","at MIA","88","107","99.4","5.6","3.1"
"99","undefined","","Seth Roberts","BAL","vs. HOU","96","107","102.4","2.9","3.1"
"100","undefined","","Scott Miller","TB","vs. NO","88","111","104.1","4.8","3.1"
"101","undefined","","Richie James","SF","vs. ARI","97","113","103.3","4.1","2.7"
"102","undefined","","DeAndre Carter","HOU","at BAL","91","114","103.4","6.6","2.6"
"103","undefined","","Kelvin Harmon","WAS","vs. NYJ","92","111","104.5","4.7","2.5"
"104","undefined","","Marcell Ateman","OAK","vs. CIN","86","105","99.4","4.6","2.5"
"105","undefined","","N'Keal Harry","NE","at PHI","67","134","107.4","13.4","2.5"
"106","undefined","","Trent Sherfield","ARI","at SF","84","118","109.9","6.1","2.4"
"107","undefined","","Jordan Matthews","PHI","vs. NE","61","108","90.7","14.3","2.3"
"108","undefined","","Steven Sims","WAS","vs. NYJ","95","124","110.5","9.5","2.2"
"109","undefined","","Johnny Holton","PIT","at CLE","78","111","102.6","4.9","2.2"
"110","undefined","","J.J. Arcega-Whiteside","PHI","vs. NE","82","120","108.8","10.7","2.2"
"111","undefined","","Ashton Dulin","IND","vs. JAC","82","121","111.9","6.2","2.2"
"112","undefined","","Stanley Morgan Jr.","CIN","at OAK","98","113","109.1","2.8","2.2"
"113","undefined","","Trevor Davis","OAK","vs. CIN","102","131","118.2","6.2","2.1"
"114","undefined","","Andre Roberts","BUF","at MIA","107","116","114.9","1.2","2.1"
"115","undefined","","Tim Patrick","DEN","at MIN","70","140","117.9","20.5","2.0"
"116","undefined","","Jason Moore","LAC","vs. KC","105","117","110.3","3.1","2.1"
"117","undefined","","Javon Wims","CHI","at LAR","113","124","119.9","3.3","2.1"
"118","undefined","","Cedrick Wilson","DAL","at DET","102","128","119.9","5.0","2.0"
"119","undefined","","Byron Pringle","KC","at LAC","118","127","123.9","2.8","1.8"
"120","undefined","","Christian Blake","ATL","at CAR","77","115","112.8","2.3","1.9"
"121","undefined","","Justin Watson","TB","vs. NO","114","134","126.5","7.1","1.8"
"122","undefined","","Duke Williams","BUF","at MIA","114","138","121.3","8.4","1.7"
"123","undefined","","Khadarel Hodge","CLE","vs. PIT","112","137","128.8","7.2","1.8"
"124","undefined","","Braxton Berrios","NYJ","at WAS","118","137","128.8","6.8","1.7"
"125","undefined","","Gunner Olszewski","NE","at PHI","110","136","126.1","7.3","1.6"
"126","undefined","","Krishawn Hogan","NO","at TB","112","134","126.6","6.8","1.8"
"127","undefined","","Olamide Zaccheaus","ATL","at CAR","120","142","125.0","8.5","1.6"
"128","undefined","","Donte Moncrief","CAR","vs. ATL","103","136","130.0","5.9","1.4"
"129","undefined","","Austin Carr","NO","at TB","108","140","132.7","5.6","1.2"
"130","undefined","","Devin Funchess","IND","vs. JAC","100","139","130.8","6.7","1.5"
"131","undefined","","Damiere Byrd","ARI","at SF","105","142","134.0","6.0","0.9"
"132","undefined","","Chris Moore","BAL","vs. HOU","128","143","132.5","4.9","0.9"
"133","undefined","","Geremy Davis","LAC","vs. KC","104","142","135.0","5.1","0.7"
"134","undefined","","DeAndrew White","CAR","vs. ATL","112","131","130.0","1.1","0.6"
"135","undefined","","C.J. Board","JAC","at IND","116","139","130.2","4.5","1.0"
"136","undefined","","Keelan Doss","OAK","vs. CIN","107","141","132.0","4.6","0.5"
"137","undefined","","Brandon Zylstra","CAR","vs. ATL","122","133","125.7","5.2","0.5"
"138","undefined","","Damion Ratley","CLE","vs. PIT","121","130","126.0","3.7","0.5"
"139","undefined","","Josh Doctson","MIN","vs. DEN","118","125","121.5","3.5","0.5"
"140","undefined","","Isaiah Ford","MIA","vs. BUF","118","145","138.4","7.7","0.4"
"141","undefined","","Mike Thomas","LAR","vs. CHI","138","147","141.0","3.3","0.4"
"142","undefined","","Devin Smith","DAL","at DET","124","146","142.4","2.1","0.2"
"143","undefined","","Juwann Winfree","DEN","at MIN","123","144","143.2","0.7","0.3"
"144","undefined","","Gary Jennings","MIA","vs. BUF","143","148","145.0","1.8","0.2"
"145","undefined","","Damion Willis","CIN","at OAK","120","147","145.4","1.0","0.2"
"146","undefined","","Ryan Switzer","PIT ","at CLE","138","146","142.0","4.0","0.2"
""
""
