"Rank","Tier","WSIS","Tight Ends","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"38","undefined","","Jesse James","DET","at DEN","30","46","36.7","4.5","2.5"
"39","undefined","","Jeremy Sprinkle","WAS","vs. NYG","32","45","37.9","3.4","2.5"
"40","undefined","","Anthony Firkser","TEN","vs. NO","28","45","38.6","4.4","2.3"
"41","undefined","","C.J. Uzomah","CIN","at MIA","34","48","41.4","4.1","2.3"
"42","undefined","","Nick Vannett","PIT","at NYJ","33","73","47.2","10.2","2.2"
"43","undefined","","Daniel Brown","NYJ","vs. PIT","31","50","43.0","3.9","2.2"
"44","undefined","","Ricky Seals-Jones","CLE","vs. BAL","30","55","41.1","5.6","2.1"
"45","undefined","","Josh Hill","NO","at TEN","31","48","41.8","5.2","2.1"
"46","undefined","","Matt LaCosse","NE","vs. BUF","33","48","42.1","3.6","2.0"
"47","undefined","","Seth DeValve","JAC","at ATL","30","88","45.2","12.1","2.0"
"48","undefined","","J.P. Holtz","CHI","vs. KC","35","48","39.8","3.5","1.9"
"49","undefined","","Demetrius Harris","CLE","vs. BAL","27","67","46.2","6.4","1.8"
"50","undefined","","Charles Clay","ARI","at SEA","34","54","49.9","3.1","1.8"
"51","undefined","","Jeff Heuerman","DEN","vs. DET","39","57","49.4","3.7","1.7"
"52","undefined","","Maxx Williams","ARI","at SEA","38","59","53.9","2.8","1.7"
"53","undefined","","Tyler Kroft","BUF","at NE","42","65","56.8","4.6","1.7"
"54","undefined","","Dan Arnold","ARI","at SEA","29","79","58.4","6.8","1.6"
"55","undefined","","Joshua Perkins","PHI","vs. DAL","47","70","59.0","5.8","1.6"
"56","undefined","","Marcedes Lewis","GB","at MIN","47","61","56.8","3.3","1.5"
"57","undefined","","Derek Carrier","OAK","at LAC","46","60","54.3","3.2","1.5"
"58","undefined","","Andrew Beck","DEN","vs. DET","37","62","51.8","4.9","1.4"
"59","undefined","","Clive Walford","MIA","vs. CIN","47","61","55.0","3.7","1.4"
"60","undefined","","Luke Willson","SEA","vs. ARI","41","59","55.3","2.6","1.4"
"61","undefined","","Mo Alie-Cox","IND","vs. CAR","51","70","60.8","4.7","1.3"
"62","undefined","","Virgil Green","LAC","vs. OAK","57","70","65.5","3.4","1.3"
"63","undefined","","MyCole Pruitt","TEN","vs. NO","55","81","67.0","6.4","1.2"
"64","undefined","","Troy Fumagalli","DEN","vs. DET","52","79","65.2","4.9","1.1"
"65","undefined","","Hale Hentges","WAS","vs. NYG","56","74","63.4","4.1","1.0"
"66","undefined","","Robert Tonyan","GB","at MIN","52","74","61.1","6.6","1.0"
"67","undefined","","Durham Smythe","MIA","vs. CIN","55","83","69.2","5.2","1.0"
"68","undefined","","Isaac Nauta","DET","at DEN","63","69","67.6","1.4","1.0"
"69","undefined","","Ross Travis","IND","vs. CAR","56","73","68.0","3.9","1.0"
"70","undefined","","Luke Stocker","ATL","vs. JAC","49","75","66.5","5.3","1.0"
"71","undefined","","Scott Simonson","NYG","at WAS","63","77","72.8","3.7","0.9"
"72","undefined","","Ross Dwelley","SF","vs. LAR","64","83","72.2","6.7","0.9"
"73","undefined","","Cethan Carter","CIN","at MIA","50","79","70.3","4.7","0.9"
"74","undefined","","Jaeden Graham","ATL","vs. JAC","64","84","74.7","5.4","0.8"
"75","undefined","","Blake Bell","KC","at CHI","66","77","71.1","3.6","0.8"
"76","undefined","","Ben Koyack","JAC","at ATL","59","76","70.6","6.3","0.8"
"77","undefined","","Tyler Conklin","MIN","vs. GB","57","87","75.3","6.6","0.7"
"78","undefined","","Jace Sternberger","GB","at MIN","64","82","78.3","3.0","0.7"
"79","undefined","","Lance Kendricks","LAC","vs. OAK","52","79","70.8","11.0","0.7"
"80","undefined","","Lee Smith","BUF","at NE","71","81","77.8","3.2","0.7"
"81","undefined","","Chris Manhertz","CAR","at IND","71","81","75.0","3.7","0.7"
"82","undefined","","Trevon Wesco","NYJ","vs. PIT","68","85","80.2","3.7","0.6"
"83","undefined","","Johnny Mundt","LAR","at SF","50","80","79.0","0.9","0.6"
"84","undefined","","Codey McElroy","TB","vs. HOU","64","72","68.0","4.0","0.6"
"85","undefined","","Eric Tomlinson","OAK","at LAC","80","89","83.3","3.5","0.6"
"86","undefined","","Levine Toilolo","SF","vs. LAR","75","86","81.0","4.5","0.5"
"87","undefined","","Tyrone Swoopes","SEA ","vs. ARI","81","83","82.0","0.8","0.5"
"88","undefined","","Deon Yelder","KC","at CHI","82","86","84.3","1.7","0.5"
"89","undefined","","Dalton Schultz","DAL","at PHI","84","89","86.3","2.3","0.5"
""
""
