"Rank","Tier","WSIS","Running Backs","Team","Opp","Best","Worst","Avg","Std Dev"
"48","undefined","","Devin Singletary","BUF","vs. NE","30","60","46.9","8.3"
"49","undefined","","Kalen Ballage","MIA","vs. LAC","42","54","49.4","2.9"
"50","undefined","","Jaylen Samuels","PIT","vs. CIN","28","59","50.3","3.9"
"51","undefined","","Dion Lewis","TEN","at ATL","36","55","50.4","2.1"
"52","undefined","","Alexander Mattison","MIN","at CHI","42","59","51.6","4.5"
"53","undefined","","Nyheim Hines","IND","vs. OAK","47","62","53.4","2.9"
"54","undefined","","Justice Hill","BAL","vs. CLE","51","66","58.2","3.6"
"55","undefined","","C.J. Prosise","SEA","at ARI","40","70","58.3","5.4"
"56","undefined","","Dare Ogunbowale","TB","at LAR","46","70","58.8","3.3"
"57","undefined","","Darren Sproles","PHI","at GB","43","66","57.6","3.3"
"58","undefined","","Jalen Richard","OAK","at IND","52","68","59.7","3.7"
"59","undefined","","T.J. Yeldon","BUF","vs. NE","45","67","59.6","3.5"
"60","undefined","","Ty Johnson","DET","vs. KC","45","66","56.2","5.4"
"61","undefined","","Darwin Thompson","KC","at DET","54","66","62.7","2.8"
"62","undefined","","Jordan Wilkins","IND","vs. OAK","45","64","58.6","4.7"
"63","undefined","","Mike Davis","CHI","vs. MIN","55","74","61.1","3.8"
"64","undefined","","Melvin Gordon","LAC","at MIA","31","88","47.3","14.3"
"65","undefined","","Chase Edmonds","ARI","vs. SEA","51","68","64.8","2.3"
"66","undefined","","DeAndre Washington","OAK","at IND","50","68","64.0","1.7"
"67","undefined","","D'Ernest Johnson","CLE","at BAL","59","73","67.8","2.7"
"68","undefined","","Ryquell Armstead","JAC","at DEN","57","73","69.1","2.3"
"69","undefined","","Elijhaa Penny","NYG","vs. WAS","61","89","70.0","8.2"
"70","undefined","","Brian Hill","ATL","vs. TEN","55","77","71.5","5.5"
"71","undefined","","Dontrell Hilliard","CLE","at BAL","67","76","72.2","1.8"
"72","undefined","","J.D. McKissic","DET","vs. KC","60","82","72.5","4.2"
"73","undefined","","Darrell Henderson","LAR","vs. TB","68","81","73.3","4.2"
"74","undefined","","Benny Snell Jr.","PIT","vs. CIN","64","81","73.5","2.9"
"75","undefined","","Troymaine Pope","LAC","at MIA","49","96","70.4","12.5"
"76","undefined","","Alex Armah","CAR","at HOU","55","84","77.1","3.8"
"77","undefined","","Devontae Booker","DEN","vs. JAC","75","87","79.4","3.0"
"78","undefined","","Damien Harris","NE","at BUF","70","78","75.8","2.0"
"79","undefined","","Reggie Bonnafon","CAR","at HOU","69","88","79.6","4.1"
"80","undefined","","Mike Boone","MIN","at CHI","69","83","78.7","2.4"
"81","undefined","","Ameer Abdullah","MIN","at CHI","77","88","82.6","2.8"
"82","undefined","","Corey Clement","PHI","at GB","71","92","84.5","6.1"
"83","undefined","","John Kelly","LAR","vs. TB","74","85","80.1","2.6"
"84","undefined","","Jordan Scarlett","CAR","at HOU","66","89","85.3","2.0"
"85","undefined","","Jonathan Hilliman","NYG","vs. WAS","69","91","78.0","7.8"
"86","undefined","","Brandon Bolden","NE","at BUF","80","88","83.6","2.4"
"87","undefined","","Damarea Crockett","OAK","at IND","79","92","84.3","4.0"
"88","undefined","","Dexter Williams","GB","vs. PHI","75","86","83.2","3.7"
"89","undefined","","Wendell Smallwood","WAS","at NYG","76","92","83.7","5.6"
"90","undefined","","Mike Weber","DAL","at NO","81","93","86.1","3.4"
"91","undefined","","Mark Walton","MIA","vs. LAC","82","87","83.6","1.7"
"92","undefined","","Qadree Ollison","ATL","vs. TEN","74","91","86.2","5.5"
"93","undefined","","Tyler Ervin","JAC","at DEN","68","93","77.0","11.3"
"94","undefined","","Myles Gaskin","MIA","vs. LAC","84","94","89.3","2.5"
"95","undefined","","Derek Watt","LAC","at MIA","88","94","90.8","2.4"
"96","undefined","","Zach Line","NO","vs. DAL","87","93","91.6","1.0"
"97","undefined","","Travis Homer","SEA","at ARI","86","95","90.3","3.7"
"98","undefined","","Anthony Sherman","KC","at DET","90","94","91.3","1.9"
"99","undefined","","Patrick DiMarco","BUF","vs. NE","89","97","94.2","1.7"
"100","undefined","","Jamize Olawale","DAL","at NO","93","98","95.3","2.1"
""
""
