"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"","high","37.8","26.0","262.2","1.5","0.7","4.8","26.0","0.1","0.0","17.3"
"","low","35.0","21.0","242.0","0.9","1.0","0.8","1.8","0.0","0.2","12.9"
"Jeff Driskel","DEN","31.7","18.9","210.0","1.1","0.8","3.2","18.6","0.1","0.1","13.6"
"","high","39.0","22.0","234.0","1.3","0.6","4.5","28.4","0.2","0.0","17.0"
"","low","24.3","15.1","168.9","1.0","1.0","1.0","6.0","0.0","0.3","11.8"
"Dwayne Haskins","WAS","31.8","19.1","217.4","1.2","0.9","2.5","9.6","0.0","0.2","12.6"
"","high","35.0","20.8","238.8","1.7","0.7","3.0","13.0","0.1","0.1","16.3"
"","low","28.7","18.0","197.3","1.0","1.0","1.9","5.2","0.0","0.4","11.6"
"Sam Darnold","NYJ","32.8","20.3","222.1","1.0","1.1","2.2","7.1","0.1","0.2","11.4"
"","high","38.0","23.0","254.0","1.2","0.8","2.3","12.0","0.1","0.1","14.4"
"","low","27.0","16.0","179.4","0.5","2.0","2.0","5.2","0.0","0.2","11.9"
"Taysom Hill","NO","1.0","0.4","11.9","0.0","0.0","1.8","18.1","0.0","0.0","2.5"
"","high","1.3","1.1","44.4","0.0","0.0","3.5","53.8","0.1","0.0","2.3"
"","low","0.7","0.0","0.1","0.0","0.1","0.0","0.3","0.0","0.0","0.8"
"Chris Streveler","ARI","0.0","0.0","23.6","0.1","0.1","0.0","4.1","0.0","0.0","1.8"
"","high","0.0","0.0","23.6","0.1","0.1","0.0","4.1","0.0","0.0","1.9"
"","low","0.0","0.0","23.6","0.1","0.1","0.0","4.1","0.0","0.0","1.9"
"Jalen Hurts","PHI","1.1","0.7","16.0","0.1","0.1","1.3","4.6","0.1","0.0","1.7"
"","high","1.1","0.7","23.4","0.1","0.0","1.3","7.3","0.1","0.0","2.1"
"","low","1.1","0.7","8.6","0.1","0.1","1.3","1.8","0.0","0.0","1.4"
"Easton Stick","LAC","0.0","0.0","19.1","0.1","0.1","0.0","2.6","0.0","0.0","1.3"
"","high","0.0","0.0","19.1","0.1","0.1","0.0","2.6","0.0","0.0","1.4"
"","low","0.0","0.0","19.1","0.1","0.1","0.0","2.6","0.0","0.0","1.4"
"Andy Dalton","DAL","1.5","1.0","12.7","0.1","0.0","0.3","1.3","0.0","0.0","1.0"
"","high","1.5","1.0","12.7","0.1","0.0","0.3","1.3","0.0","0.0","1.0"
"","low","1.5","1.0","12.7","0.1","0.0","0.3","1.3","0.0","0.0","1.0"
"Tua Tagovailoa","MIA","1.8","1.3","17.8","0.1","0.1","0.0","0.9","0.0","0.0","1.0"
"","high","1.8","1.3","20.3","0.1","0.1","0.0","1.7","0.0","0.0","1.2"
"","low","1.8","1.3","15.2","0.1","0.1","0.0","0.0","0.0","0.0","0.8"
"Brett Hundley","ARI","1.5","0.9","10.6","0.1","0.0","0.2","1.2","0.0","0.0","0.9"
