"Rank","Tier","WSIS","Tight Ends","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"66","undefined","","Eric Tomlinson","NE","at NYJ","49","62","56.8","5.6","1.2"
"67","undefined","","Durham Smythe","MIA","at BUF","54","70","63.7","3.8","1.5"
"68","undefined","","Levine Toilolo","SF","at WAS","50","67","63.3","2.2","1.3"
"69","undefined","","Blake Bell","KC","at DEN","56","66","62.0","3.0","1.2"
"70","undefined","","Anthony Firkser","TEN","vs. LAC","61","70","67.4","2.1","0.9"
"71","undefined","","Deon Yelder","KC","at DEN","60","68","65.0","3.1","1.0"
"72","undefined","","Jaeden Graham","ATL","vs. LAR","62","71","68.1","1.9","0.9"
"73","undefined","","Ben Braunecker","CHI","vs. NO","65","65","65.0","0.0","0.8"
"74","undefined","","Dalton Schultz","DAL","vs. PHI","69","72","70.8","0.7","0.7"
""
""
