"Rank","Tier","WSIS","Tight Ends","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"52","undefined","","Logan Thomas","DET","vs. NYG","46","55","51.6","2.3","1.9"
"53","undefined","","Anthony Firkser","TEN","vs. TB","48","63","55.3","5.2","1.8"
"54","undefined","","Mo Alie-Cox","IND","vs. DEN","52","62","56.3","4.3","1.8"
"55","undefined","","Antony Auclair","TB","at TEN","40","51","44.3","4.8","1.8"
"56","undefined","","Nick O'Leary","MIA","at PIT","47","59","56.2","2.8","1.8"
"57","undefined","","Drew Sample","CIN","at LAR","54","70","59.2","5.4","1.8"
"58","undefined","","Lee Smith","BUF","vs. PHI","53","59","57.2","1.8","1.7"
"59","undefined","","Ian Thomas","CAR","at SF","38","68","59.0","5.9","1.7"
"60","undefined","","Virgil Green","LAC","at CHI","48","66","56.8","6.5","1.7"
"61","undefined","","Levine Toilolo","SF","vs. CAR","50","64","59.8","3.6","1.6"
"62","undefined","","Pharaoh Brown","CLE","at NE","58","64","61.6","2.1","1.6"
"63","undefined","","Ben Koyack","JAC","vs. NYJ","57","66","61.3","3.2","1.6"
"64","undefined","","Blake Bell","KC","vs. GB","50","69","63.6","4.1","1.5"
"65","undefined","","Ross Dwelley","SF","vs. CAR","60","67","63.0","2.5","1.3"
"66","undefined","","MyCole Pruitt","TEN","vs. TB","55","70","65.2","3.3","1.2"
"67","undefined","","Chris Manhertz","CAR","at SF","57","65","61.7","3.4","1.2"
"68","undefined","","Tommy Sweeney","BUF","vs. PHI","64","69","66.2","1.9","1.2"
"69","undefined","","Durham Smythe","MIA","at PIT","63","67","65.3","1.5","1.1"
"70","undefined","","Andrew Beck","DEN","at IND","62","62","62.0","0.0","1.1"
"71","undefined","","Ben Braunecker","CHI","vs. LAC","61","67","64.0","3.0","1.1"
"72","undefined","","Jaeden Graham","ATL","vs. SEA","66","66","66.0","0.0","1.0"
""
""
