"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"","low","2.9","0.7","0.4","0.6","0.1","0.0","19.0","356.7","5.8"
"Tennessee Titans","","3.0","0.8","0.6","0.9","0.1","0.1","22.1","334.6","6.7"
"","high","3.3","1.3","0.9","1.2","0.2","0.1","23.4","327.0","9.1"
"","low","2.6","0.5","0.4","0.5","0.0","0.0","19.6","342.1","6.5"
"Washington Redskins","","2.7","0.9","0.6","1.0","0.1","0.0","22.6","326.3","6.7"
"","high","2.8","1.0","0.7","1.1","0.2","0.0","23.3","323.0","7.9"
"","low","2.6","0.8","0.5","0.9","0.0","0.0","21.7","329.7","6.5"
"Green Bay Packers","","2.6","0.9","0.6","0.9","0.1","0.0","21.5","375.1","6.5"
"","high","3.4","1.2","0.8","1.1","0.2","0.0","22.5","359.0","7.8"
"","low","2.2","0.7","0.4","0.8","0.0","0.0","19.7","391.1","6.2"
"Houston Texans","","2.7","0.6","0.7","1.2","0.1","0.0","21.6","345.1","6.1"
"","high","3.3","0.8","1.1","1.6","0.2","0.0","22.5","336.0","7.5"
"","low","2.2","0.4","0.5","0.8","0.1","0.0","20.1","354.2","5.4"
"Tampa Bay Buccaneers","","2.8","0.6","0.7","1.1","0.1","0.0","28.6","363.9","6.1"
"","high","3.3","0.7","1.0","1.3","0.2","0.0","32.1","343.0","7.5"
"","low","2.4","0.4","0.5","0.9","0.1","0.0","24.8","384.8","4.8"
"Minnesota Vikings","","2.7","0.8","0.6","0.8","0.1","0.0","22.4","344.1","6.1"
"","high","3.5","1.0","0.7","1.0","0.2","0.1","27.5","331.0","6.9"
"","low","2.2","0.6","0.5","0.6","0.0","0.0","16.0","357.3","5.5"
"Arizona Cardinals","","2.5","0.8","0.6","1.1","0.1","0.0","25.8","381.7","6.0"
"","high","2.8","1.1","0.9","1.2","0.2","0.1","27.0","381.0","7.8"
"","low","1.9","0.5","0.4","1.0","0.1","0.0","23.7","382.5","4.3"
"Oakland Raiders","","2.3","0.9","0.6","1.0","0.1","0.0","23.3","366.8","6.0"
"","high","2.7","1.3","0.6","1.0","0.2","0.0","24.0","366.0","8.2"
"","low","1.6","0.7","0.5","0.9","0.0","0.0","21.7","367.7","4.8"
"Kansas City Chiefs","","2.4","0.7","0.7","1.1","0.1","0.1","23.6","374.2","6.0"
"","high","2.7","1.0","1.0","1.3","0.2","0.1","25.0","362.4","6.8"
"","low","2.3","0.4","0.5","0.8","0.1","0.0","21.9","386.0","5.3"
"Pittsburgh Steelers","","2.5","0.6","0.6","1.1","0.1","0.1","20.2","323.9","5.9"
"","high","3.3","0.8","1.0","1.4","0.2","0.1","21.8","315.0","7.0"
"","low","1.9","0.5","0.5","0.8","0.0","0.0","18.4","332.8","5.8"
"Chicago Bears","","2.4","0.7","0.7","1.1","0.1","0.0","21.5","318.4","5.9"
"","high","3.3","0.7","1.2","1.7","0.2","0.0","23.0","303.0","6.8"
"","low","2.0","0.6","0.4","0.6","0.0","0.0","19.7","333.8","5.6"
"New York Giants","","2.5","0.7","0.5","0.7","0.1","0.0","26.2","387.5","5.8"
"","high","2.8","0.9","0.7","0.7","0.2","0.0","27.5","379.9","6.3"
"","low","2.0","0.6","0.4","0.7","0.0","0.0","24.1","395.0","4.8"
"Indianapolis Colts","","1.9","0.9","0.6","1.0","0.1","0.0","20.7","319.2","5.7"
"","high","3.0","1.1","0.6","1.1","0.2","0.1","22.2","302.0","7.4"
"","low","1.3","0.6","0.5","0.9","0.0","0.0","19.4","336.4","5.2"
"Detroit Lions","","2.1","0.6","0.7","1.2","0.1","0.0","24.5","379.6","5.6"
"","high","3.1","0.8","1.1","1.5","0.2","0.1","26.5","357.2","6.3"
"","low","1.6","0.4","0.6","0.9","0.1","0.0","21.9","402.0","4.8"
"Los Angeles Chargers","","2.6","0.5","0.5","0.7","0.1","0.0","22.9","373.4","5.2"
"","high","3.1","0.7","0.7","1.0","0.2","0.0","26.0","372.7","5.9"
"","low","2.1","0.3","0.3","0.4","0.0","0.0","18.8","374.0","4.5"
"Baltimore Ravens","","1.8","0.7","0.5","0.7","0.1","0.0","23.0","357.4","5.0"
"","high","2.8","1.0","0.5","0.7","0.2","0.0","24.0","351.0","5.3"
"","low","1.0","0.5","0.4","0.7","0.0","0.0","21.1","363.8","4.9"
""
""
