"Rank","Tier","WSIS","Wide Receivers","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"32","undefined","","Dede Westbrook","JAC","at OAK","27","50","32.2","4.0","8.1"
"33","undefined","","Sterling Shepard","NYG","vs. MIA","21","49","33.0","3.8","8.1"
"34","undefined","","Tyler Boyd","CIN","vs. NE","17","48","34.2","4.1","7.8"
"35","undefined","","Robby Anderson","NYJ","at BAL","23","61","34.5","3.2","7.7"
"36","undefined","","Marquise Brown","BAL","vs. NYJ","18","46","35.1","3.0","7.7"
"37","undefined","","Zach Pascal","IND","at NO","27","41","36.0","2.5","7.6"
"38","undefined","","Anthony Miller","CHI","at GB","29","57","39.0","3.9","7.5"
"39","undefined","","Curtis Samuel","CAR","vs. SEA","33","52","40.0","3.4","7.3"
"40","undefined","","Golden Tate","NYG","vs. MIA","30","53","42.1","3.1","7.3"
"41","undefined","","Tyrell Williams","OAK","vs. JAC","37","53","42.9","3.5","7.2"
"42","undefined","","Chris Conley","JAC","at OAK","30","59","43.7","4.7","7.1"
"43","undefined","","Jamison Crowder","NYJ","at BAL","38","53","46.1","4.1","6.9"
"44","undefined","","Sammy Watkins","KC","vs. DEN","28","57","46.4","3.6","7.1"
"45","undefined","","James Washington","PIT","vs. BUF","37","60","46.6","3.7","7.0"
"46","undefined","","Breshad Perriman","TB","at DET","40","59","46.8","3.0","6.9"
"47","undefined","","Greg Ward","PHI","at WAS","27","62","45.1","7.3","6.5"
"48","undefined","","Cole Beasley","BUF","at PIT","39","58","48.9","4.9","6.9"
"49","undefined","","Allen Hurns","MIA","at NYG","36","63","49.6","5.0","6.6"
"50","undefined","","Larry Fitzgerald","ARI","vs. CLE","41","59","51.8","3.4","6.4"
"51","undefined","","Diontae Johnson","PIT","vs. BUF","39","72","52.5","4.4","6.4"
"52","undefined","","Brandin Cooks","LAR","at DAL","46","61","53.5","3.9","6.2"
"53","undefined","","Danny Amendola","DET","vs. TB","34","73","54.8","7.4","6.2"
"54","undefined","","Russell Gage","ATL","at SF","38","63","55.3","4.6","6.0"
"55","undefined","","Kenny Stills","HOU","at TEN","43","79","55.5","9.1","5.8"
"56","undefined","","Marcus Johnson","IND","at NO","35","75","56.0","4.4","5.9"
"57","undefined","","Corey Davis","TEN","vs. HOU","49","68","57.4","4.0","5.6"
"58","undefined","","Randall Cobb","DAL","vs. LAR","46","75","58.2","5.2","5.5"
"59","undefined","","Will Fuller","HOU","at TEN","19","112","46.3","22.0","5.3"
"60","undefined","","Allen Lazard","GB","vs. CHI","57","72","62.8","4.0","5.4"
"61","undefined","","Kendrick Bourne","SF","vs. ATL","48","74","64.5","5.5","5.1"
"62","undefined","","Justin Watson","TB","at DET","43","95","65.7","11.1","4.8"
"63","undefined","","John Ross","CIN","vs. NE","56","72","64.3","3.6","4.7"
"64","undefined","","Kelvin Harmon","WAS","vs. PHI","55","85","66.1","5.9","4.6"
"65","undefined","","Keelan Cole","JAC","at OAK","51","83","66.7","6.4","4.6"
"66","undefined","","Ted Ginn","NO","vs. IND","61","70","64.6","2.5","4.4"
"67","undefined","","Jakobi Meyers","NE","at CIN","62","78","68.8","4.3","4.4"
"68","undefined","","Mohamed Sanu","NE","at CIN","57","84","71.0","5.3","4.3"
"69","undefined","","J.J. Arcega-Whiteside","PHI","at WAS","55","79","69.1","5.0","4.2"
"70","undefined","","Mecole Hardman","KC","vs. DEN","61","83","69.6","5.7","4.2"
"71","undefined","","Phillip Dorsett","NE","at CIN","60","85","72.8","5.2","4.2"
"72","undefined","","Isaiah Ford","MIA","at NYG","58","96","74.8","9.1","4.1"
"73","undefined","","Albert Wilson","MIA","at NYG","37","110","76.6","10.7","4.1"
"74","undefined","","Tim Patrick","DEN","at KC","71","93","77.2","4.6","4.1"
"75","undefined","","Alex Erickson","CIN","vs. NE","61","87","78.0","6.1","4.1"
"76","undefined","","Josh Gordon","SEA","at CAR","67","91","78.1","4.8","4.1"
"77","undefined","","Tre'Quan Smith","NO","vs. IND","63","82","76.1","5.2","4.1"
"78","undefined","","Demarcus Robinson","KC","vs. DEN","68","89","80.4","4.7","4.0"
"79","undefined","","Christian Blake","ATL","at SF","61","86","74.2","7.0","4.0"
"80","undefined","","Willie Snead","BAL","vs. NYJ","64","97","82.5","5.3","4.0"
"81","undefined","","Zay Jones","OAK","vs. JAC","71","99","84.1","4.5","3.9"
"82","undefined","","Geronimo Allison","GB","vs. CHI","78","93","85.7","3.9","3.9"
"83","undefined","","T.Y. Hilton","IND ","at NO","25","108","55.5","20.0","3.7"
"84","undefined","","Isaiah McKenzie","BUF","at PIT","74","93","83.8","4.2","3.7"
"85","undefined","","Olabisi Johnson","MIN ","at LAC","71","109","88.5","9.6","3.7"
"86","undefined","","Josh Reynolds","LAR","at DAL","56","100","87.9","7.5","3.7"
"87","undefined","","Seth Roberts","BAL","vs. NYJ","81","104","94.3","4.4","3.6"
"88","undefined","","Keelan Doss","OAK","vs. JAC","39","96","78.1","13.2","3.5"
"89","undefined","","Steven Sims","WAS","vs. PHI","64","103","90.8","8.1","3.6"
"90","undefined","","Jarius Wright","CAR","vs. SEA","87","103","93.7","4.3","3.6"
"91","undefined","","Pharoh Cooper","ARI","vs. CLE","86","106","93.8","5.2","3.5"
"92","undefined","","Marquez Valdes-Scantling","GB","vs. CHI","78","112","94.2","9.0","3.5"
"93","undefined","","Scott Miller","TB","at DET","58","106","85.8","11.2","3.5"
"94","undefined","","Olamide Zaccheaus","ATL","at SF","57","115","87.4","13.2","3.3"
"95","undefined","","N'Keal Harry","NE","at CIN","77","115","93.4","7.9","3.2"
"96","undefined","","David Moore","SEA","at CAR","90","105","97.7","4.4","3.1"
"97","undefined","","Kalif Raymond","TEN","vs. HOU","78","98","92.6","3.7","3.1"
"98","undefined","","DaeSean Hamilton","DEN","at KC","77","113","101.3","6.6","2.9"
"99","undefined","","Tajae Sharpe","TEN","vs. HOU","66","110","93.8","12.1","3.0"
"100","undefined","","Miles Boykin","BAL","vs. NYJ","92","111","100.4","4.5","2.9"
"101","undefined","","Chris Lacy","DET","vs. TB","65","129","90.9","13.2","2.9"
"102","undefined","","Vyncint Smith","NYJ","at BAL","48","97","77.6","9.5","2.9"
"103","undefined","","Andy Isabella","ARI ","vs. CLE","90","106","98.9","4.9","2.9"
"104","undefined","","Cody Latimer","NYG","vs. MIA","98","127","104.5","6.7","2.7"
"105","undefined","","Cordarrelle Patterson","CHI","at GB","75","116","104.6","8.3","2.8"
"106","undefined","","Javon Wims","CHI","at GB","77","112","99.6","9.5","2.7"
"107","undefined","","Deon Cain","PIT","vs. BUF","90","130","109.6","7.7","2.6"
"108","undefined","","Tavon Austin","DAL","vs. LAR","88","116","108.0","4.5","2.6"
"109","undefined","","Laquon Treadwell","MIN","at LAC","91","123","108.7","9.1","2.6"
"110","undefined","","Rashard Higgins","CLE","at ARI","75","128","109.9","9.2","2.3"
"111","undefined","","Justin Hardy","ATL","at SF","87","125","110.9","6.6","2.3"
"112","undefined","","Ashton Dulin","IND","at NO","91","138","104.9","14.2","2.3"
"113","undefined","","Damiere Byrd","ARI","vs. CLE","87","122","113.1","7.5","2.2"
"114","undefined","","Tevin Jones","PIT","vs. BUF","97","108","101.6","3.2","2.1"
"115","undefined","","Braxton Berrios","NYJ","at BAL","97","125","113.1","8.7","2.1"
"116","undefined","","Malik Turner","SEA","at CAR","104","126","115.6","5.5","2.1"
"117","undefined","","Mack Hollins","MIA","at NYG","104","135","116.8","7.7","2.0"
"118","undefined","","Robert Davis","PHI","at WAS","92","120","108.6","9.8","1.9"
"119","undefined","","Andre Patton","LAC","vs. MIN","104","114","110.3","3.2","1.7"
"120","undefined","","Dontrelle Inman","IND","at NO","59","143","117.9","20.7","1.6"
"121","undefined","","Jalen Guyton","LAC","vs. MIN","95","119","109.8","11.3","1.8"
"122","undefined","","Marcell Ateman","OAK ","vs. JAC","103","123","114.8","7.1","1.5"
"123","undefined","","Diontae Spencer","DEN","at KC","112","118","114.8","2.3","1.5"
"124","undefined","","Michael Walker","JAC","at OAK","98","137","110.3","15.6","1.5"
"125","undefined","","Robert Foster","BUF","at PIT","114","127","121.0","5.1","1.4"
"126","undefined","","Riley Ridley","CHI","at GB","106","140","127.0","7.4","1.2"
"127","undefined","","Khadarel Hodge","CLE","at ARI","113","130","123.4","5.9","1.4"
"128","undefined","","Chad Williams","IND","at NO","101","131","117.8","11.4","1.3"
"129","undefined","","Jaron Brown","SEA","at CAR","120","137","124.6","6.3","1.2"
"130","undefined","","Damion Ratley","CLE","at ARI","109","141","123.0","11.7","1.2"
"131","undefined","","KeeSean Johnson","ARI","vs. CLE","94","134","118.3","17.4","1.2"
"132","undefined","","Jake Kumerow","GB","vs. CHI","118","141","131.0","8.9","1.1"
"133","undefined","","Deonte Harris","NO","vs. IND","126","140","131.0","5.3","1.0"
"134","undefined","","Fred Brown","DEN","at KC","117","131","124.7","5.8","1.0"
"135","undefined","","Cam Sims","WAS","vs. PHI","127","144","136.8","6.2","1.0"
"136","undefined","","Richie James","SF","vs. ATL","116","135","128.3","8.7","1.0"
"137","undefined","","Byron Pringle","KC","vs. DEN","128","145","136.3","6.4","1.0"
"138","undefined","","Rico Gafford","OAK","vs. JAC","117","130","123.5","6.5","1.0"
"139","undefined","","Stanley Morgan Jr.","CIN","vs. NE","108","149","128.5","20.5","0.9"
"140","undefined","","DeAndre Carter","HOU","at TEN","126","142","136.3","7.3","0.9"
"141","undefined","","Chris Hogan","CAR ","vs. SEA","129","142","137.0","5.7","0.8"
"142","undefined","","Travis Fulgham","DET","vs. TB","132","151","138.3","9.0","0.7"
"143","undefined","","Devin Smith","DAL","vs. LAR","133","136","134.5","1.5","0.6"
"144","undefined","","Trevor Davis","MIA","at NYG","128","149","140.3","9.0","0.6"
"145","undefined","","Brandon Zylstra","CAR","vs. SEA","131","144","137.5","6.5","0.5"
"146","undefined","","Chris Moore","BAL","vs. NYJ","136","146","142.3","4.5","0.5"
"147","undefined","","Andre Roberts","BUF","at PIT","138","147","142.7","3.7","0.4"
"148","undefined","","Damion Willis","CIN ","vs. NE","139","146","143.7","3.3","0.4"
"149","undefined","","C.J. Board","JAC","at OAK","133","147","140.0","7.0","0.4"
"150","undefined","","Dante Pettis","SF","vs. ATL","129","152","140.5","11.5","0.4"
"151","undefined","","Darvin Kidsy","WAS","vs. PHI","130","154","142.0","12.0","0.4"
"152","undefined","","Ventell Bryant","DAL ","vs. LAR","134","150","142.0","8.0","0.3"
"153","undefined","","Duke Williams","BUF","at PIT","139","150","144.5","5.5","0.3"
"154","undefined","","Johnny Holton","PIT","vs. BUF","145","153","149.0","4.0","0.3"
""
""
