"Rank","Tier","WSIS","Tight Ends","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"40","undefined","","Matt LaCosse","NE","at CIN","33","49","41.7","3.6","2.6"
"41","undefined","","J.P. Holtz","CHI","at GB","31","37","35.7","1.1","2.4"
"42","undefined","","Jesse James","DET","vs. TB","36","48","42.7","2.6","2.3"
"43","undefined","","C.J. Uzomah","CIN","vs. NE","24","53","43.3","3.8","2.3"
"44","undefined","","Josh Hill","NO","vs. IND","33","48","42.4","2.6","2.2"
"45","undefined","","Derek Carrier","OAK","vs. JAC","38","50","42.8","2.9","2.2"
"46","undefined","","Jeff Heuerman","DEN","at KC","40","55","46.6","3.6","2.2"
"47","undefined","","Charles Clay","ARI","vs. CLE","44","53","48.4","2.4","2.1"
"48","undefined","","Mo Alie-Cox","IND","at NO","43","59","47.9","3.9","1.8"
"49","undefined","","Maxx Williams","ARI","vs. CLE","37","78","53.5","7.4","2.1"
"50","undefined","","Robert Tonyan","GB","vs. CHI","39","64","48.3","6.4","1.8"
"51","undefined","","Tyler Kroft","BUF","at PIT","49","63","56.4","4.5","1.6"
"52","undefined","","Ricky Seals-Jones","CLE","at ARI","47","58","53.4","3.0","1.6"
"53","undefined","","Marcedes Lewis","GB","vs. CHI","49","55","51.7","2.0","1.5"
"54","undefined","","Andrew Beck","DEN","at KC","41","61","48.8","7.9","1.4"
"55","undefined","","Joshua Perkins","PHI","at WAS","43","53","48.8","2.4","1.4"
"56","undefined","","MyCole Pruitt","TEN","vs. HOU","50","62","54.7","4.6","1.5"
"57","undefined","","Ross Travis","IND","at NO","52","80","60.6","8.6","1.3"
"58","undefined","","Hale Hentges","WAS","vs. PHI","49","66","57.0","6.6","1.3"
"59","undefined","","Jaeden Graham","ATL","at SF","51","71","62.5","4.5","1.3"
"60","undefined","","Chris Manhertz","CAR","vs. SEA","46","81","63.3","10.8","1.2"
"61","undefined","","Zach Gentry","PIT","vs. BUF","55","74","64.0","6.1","1.2"
"62","undefined","","Durham Smythe","MIA","at NYG","56","70","60.2","5.0","1.2"
"63","undefined","","Virgil Green","LAC","vs. MIN","56","71","63.0","5.9","1.2"
"64","undefined","","Tanner Hudson","TB","at DET","41","56","49.7","6.3","1.3"
"65","undefined","","Clive Walford","MIA","at NYG","59","77","64.8","6.4","1.1"
"66","undefined","","Trevon Wesco","NYJ","at BAL","52","68","60.3","6.9","1.2"
"67","undefined","","Ross Dwelley","SF","vs. ATL","54","77","70.0","5.8","1.0"
"68","undefined","","Ryan Izzo","NE ","at CIN","52","63","57.3","4.5","1.1"
"69","undefined","","Ben Koyack","JAC","at OAK","55","73","68.8","2.7","1.2"
"70","undefined","","Jace Sternberger","GB","vs. CHI","56","80","68.8","7.7","1.0"
"71","undefined","","Demetrius Harris","CLE","at ARI","61","79","66.5","7.3","1.0"
"72","undefined","","Scott Simonson","NYG","vs. MIA","65","76","70.6","4.0","0.9"
"73","undefined","","Isaac Nauta","DET","vs. TB","57","82","68.5","9.0","0.8"
"74","undefined","","Luke Stocker","ATL","at SF","53","77","72.2","3.1","1.1"
"75","undefined","","Blake Bell","KC","vs. DEN","66","78","72.2","4.0","1.0"
"76","undefined","","Lee Smith","BUF","at PIT","67","79","73.0","4.4","0.8"
"77","undefined","","Johnny Mundt","LAR","at DAL","63","80","73.2","5.6","0.8"
"78","undefined","","Troy Fumagalli","DEN","at KC","58","78","71.5","7.9","0.8"
"79","undefined","","Seth DeValve","JAC","at OAK","50","81","65.5","15.5","0.8"
"80","undefined","","Tyler Conklin","MIN","at LAC","69","89","78.3","8.1","0.6"
"81","undefined","","Jordan Thomas","HOU","at TEN","73","77","75.0","1.6","0.8"
"82","undefined","","Dan Arnold","ARI","vs. CLE","60","86","73.0","13.0","0.7"
"83","undefined","","Tyrone Swoopes","SEA","at CAR","71","82","76.5","5.5","0.6"
"84","undefined","","Levine Toilolo","SF","vs. ATL","76","84","80.0","4.0","0.5"
"85","undefined","","Tommy Sweeney","BUF","at PIT","79","83","81.0","2.0","0.5"
"86","undefined","","Dalton Schultz","DAL","vs. LAR","78","88","83.0","5.0","0.5"
""
""
