"Rank","Tier","WSIS","Tight Ends","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"31","undefined","","Jeremy Sprinkle","WAS","at BUF","27","51","32.2","4.8","3.6"
"32","undefined","","Josh Oliver","JAC","vs. HOU","27","38","32.6","2.2","3.5"
"33","undefined","","Luke Willson","SEA","vs. TB","31","39","33.8","1.8","3.5"
"34","undefined","","Hayden Hurst","BAL","vs. NE","26","44","35.5","2.9","3.3"
"35","undefined","","Tyler Kroft","BUF","vs. WAS","27","40","36.1","3.1","3.3"
"36","undefined","","Blake Jarwin","DAL","at NYG","29","52","36.6","5.0","3.2"
"37","undefined","","Anthony Firkser","TEN","at CAR","32","45","36.9","3.7","3.0"
"38","undefined","","Charles Clay","ARI","vs. SF","34","40","37.1","1.3","3.0"
"39","undefined","","Demetrius Harris","CLE","at DEN","28","41","38.5","2.0","2.9"
"40","undefined","","Chris Herndon IV","NYJ","at MIA","13","72","32.1","16.3","2.9"
"41","undefined","","Seth DeValve","JAC","vs. HOU","34","54","42.1","3.9","2.8"
"42","undefined","","Nick Boyle","BAL","vs. NE","29","45","41.6","1.7","2.8"
"43","undefined","","Maxx Williams","ARI","vs. SF","36","48","43.0","3.4","2.5"
"44","undefined","","Marcedes Lewis","GB","at LAC","41","46","44.2","1.3","2.5"
"45","undefined","","Rhett Ellison","NYG","vs. DAL","37","53","44.6","4.2","2.4"
"46","undefined","","Adam Shaheen","CHI","at PHI","43","51","46.9","2.3","2.3"
"47","undefined","","Jesse James","DET","at OAK","42","49","47.1","1.4","2.3"
"48","undefined","","Nick Vannett","PIT","vs. IND","41","56","47.5","2.8","2.3"
"49","undefined","","Logan Thomas","DET","at OAK","47","51","49.1","0.9","2.2"
"50","undefined","","Derek Carrier","OAK","vs. DET","45","62","51.7","4.1","2.1"
"51","undefined","","Lee Smith","BUF","vs. WAS","50","63","54.9","3.0","2.1"
"52","undefined","","Ross Dwelley","SF","at ARI","44","64","55.2","3.2","1.9"
"53","undefined","","Virgil Green","LAC","vs. GB","50","60","55.5","2.8","1.9"
"54","undefined","","Mo Alie-Cox","IND","at PIT","51","58","55.6","2.1","1.9"
"55","undefined","","Ian Thomas","CAR","vs. TEN","32","68","57.5","5.3","1.8"
"56","undefined","","Antony Auclair","TB","at SEA","41","67","56.8","7.5","1.7"
"57","undefined","","Hale Hentges","WAS","at BUF","45","68","55.6","7.3","1.7"
"58","undefined","","Andrew Beck","DEN","vs. CLE","55","67","62.1","2.7","1.6"
"59","undefined","","Tanner Hudson","TB","at SEA","50","66","57.0","6.4","1.6"
"60","undefined","","Levine Toilolo","SF","at ARI","43","70","59.7","5.6","1.5"
"61","undefined","","Ben Koyack","JAC","vs. HOU","50","70","60.7","6.4","1.4"
"62","undefined","","Nick O'Leary","FA","","51","68","57.2","6.1","1.3"
"63","undefined","","Blake Bell","KC","vs. MIN","53","69","61.8","3.9","1.3"
"64","undefined","","Durham Smythe","MIA","vs. NYJ","60","71","64.8","3.3","1.2"
"65","undefined","","J.P. Holtz","CHI","at PHI","60","68","64.8","2.3","1.2"
"66","undefined","","MyCole Pruitt","TEN","at CAR","44","70","64.8","3.5","1.2"
"67","undefined","","Robert Tonyan","GB","at LAC","57","67","61.3","4.2","1.1"
"68","undefined","","Chris Manhertz","CAR","vs. TEN","58","69","62.7","4.6","1.1"
"69","undefined","","Ryan Izzo","NE","at BAL","59","70","63.3","4.8","1.0"
"70","undefined","","Tommy Sweeney","BUF","vs. WAS","62","63","62.5","0.5","1.0"
"71","undefined","","Matt LaCosse","NE","at BAL","60","71","65.5","5.5","0.9"
"72","undefined","","Dalton Schultz","DAL","at NYG","65","72","68.7","2.9","0.8"
"73","undefined","","Tyler Conklin","MIN","at KC","62","71","66.5","4.5","0.8"
"74","undefined","","Jordan Leggett","TB","at SEA","66","67","66.5","0.5","0.8"
"75","undefined","","Darrell Daniels","ARI","vs. SF","71","73","72.3","0.9","0.6"
""
""
