"Rank","Tier","WSIS","Running Backs","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"85","undefined","","Roosevelt Nix","PIT","vs. IND","64","89","83.2","5.4","1.5"
"86","undefined","","Nick Bawden","DET","at OAK","53","93","84.8","5.9","1.5"
"87","undefined","","Darwin Thompson","KC","vs. MIN","82","90","86.2","1.9","1.4"
"88","undefined","","T.J. Yeldon","BUF","vs. WAS","83","93","86.3","4.1","1.4"
"89","undefined","","Anthony Sherman","KC","vs. MIN","80","91","84.4","4.4","1.3"
"90","undefined","","Myles Gaskin","MIA","vs. NYJ","54","101","85.8","9.6","1.2"
"91","undefined","","Jamize Olawale","DAL","at NYG","52","94","89.4","3.9","1.2"
"92","undefined","","Dexter Williams","GB","at LAC","77","92","87.3","6.0","1.2"
"93","undefined","","Justin Jackson","LAC","vs. GB","79","95","89.8","6.0","1.0"
"94","undefined","","Patrick Laird","MIA","vs. NYJ","65","102","85.3","15.3","1.0"
"95","undefined","","Troymaine Pope","LAC","vs. GB","87","97","91.2","4.4","1.0"
"96","undefined","","Alec Ingold","OAK","vs. DET","81","94","86.3","5.6","1.0"
"97","undefined","","Damien Harris","NE","at BAL","84","90","86.7","2.5","1.0"
"98","undefined","","Mike Boone","MIN","at KC","77","94","87.3","7.4","0.9"
"99","undefined","","Devontae Booker","DEN","vs. CLE","78","96","88.0","7.5","0.9"
"100","undefined","","Javorius Allen","NYG","vs. DAL","85","97","89.7","5.2","0.9"
"101","undefined","","Trenton Cannon","NYJ ","at MIA","90","92","91.3","0.9","0.9"
"102","undefined","","Craig Reynolds","WAS","at BUF","76","104","90.0","14.0","0.8"
"103","undefined","","Travis Homer","SEA","vs. TB","93","98","95.0","2.2","0.8"
"104","undefined","","Michael Burton","WAS","at BUF","86","107","96.5","10.5","0.7"
""
""
