ID,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting
nfl.p.30614,Taysom,Hill,QB,NO,ATL,NO@ATL,8:20PM EST,20,4.0," "," "
nfl.p.30656,Austin,Carr,WR,NO,ATL,NO@ATL,8:20PM EST,10,0.7,IR," "
nfl.p.30891,Dan,Arnold,TE,NO,ATL,NO@ATL,8:20PM EST,10,1.8," "," "
nfl.p.31061,Tre'Quan,Smith,WR,NO,ATL,NO@ATL,8:20PM EST,11,5.1," "," "
nfl.p.32398,Deonte,Harris,WR,NO,ATL,NO@ATL,8:20PM EST,10,1.1,Q," "
nfl.p.6849,Matt,Schaub,QB,ATL,NO,NO@ATL,8:20PM EST,22,8.5," "," "
nfl.p.8780,Matt,Ryan,QB,ATL,NO,NO@ATL,8:20PM EST,31,19.0," "," "
nfl.p.24793,Julio,Jones,WR,ATL,NO,NO@ATL,8:20PM EST,31,13.7,Q," "
nfl.p.24891,Luke,Stocker,TE,ATL,NO,NO@ATL,8:20PM EST,10,0.8,Q," "
nfl.p.26805,Kenjon,Barner,RB,ATL,NO,NO@ATL,8:20PM EST,10,1.3," "," "
nfl.p.27631,Devonta,Freeman,RB,ATL,NO,NO@ATL,8:20PM EST,14,10.9," "," "
nfl.p.28141,Keith,Smith,RB,ATL,NO,NO@ATL,8:20PM EST,10,0.1," "," "
nfl.p.28495,Justin,Hardy,WR,ATL,NO,NO@ATL,8:20PM EST,10,2.4," "," "
nfl.p.29315,Austin,Hooper,TE,ATL,NO,NO@ATL,8:20PM EST,23,14.1,O," "
nfl.p.30269,Brian,Hill,RB,ATL,NO,NO@ATL,8:20PM EST,12,6.9," "," "
nfl.p.30996,Calvin,Ridley,WR,ATL,NO,NO@ATL,8:20PM EST,20,12.4," "," "
nfl.p.31164,Russell,Gage,WR,ATL,NO,NO@ATL,8:20PM EST,12,3.7," "," "
nfl.p.31347,Christian,Blake,WR,ATL,NO,NO@ATL,8:20PM EST,10,2.0," "," "
nfl.p.31641,Brandon,Powell,WR,ATL,NO,NO@ATL,8:20PM EST,10,3.1," "," "
nfl.p.31749,Jaeden,Graham,TE,ATL,NO,NO@ATL,8:20PM EST,10,1.7," "," "
nfl.p.31984,Qadree,Ollison,RB,ATL,NO,NO@ATL,8:20PM EST,11,8.1," "," "
nfl.p.32123,Olamide,Zaccheaus,WR,ATL,NO,NO@ATL,8:20PM EST,10,0.0," "," "
nfl.p.30888,Alex,Gray,TE,ATL,NO,NO@ATL,8:20PM EST,10,0.0,IR," "
nfl.p.31336,Kurt,Benkert,QB,ATL,NO,NO@ATL,8:20PM EST,20,0.0,IR," "
nfl.t.18,New Orleans,Saints,DEF,NO,ATL,NO@ATL,8:20PM EST,18,8.8," "," "
nfl.t.1,Atlanta,Falcons,DEF,ATL,NO,NO@ATL,8:20PM EST,10,4.5," "," "
nfl.p.31517,Keith,Kirkwood,WR,NO,ATL,NO@ATL,8:20PM EST,10,5.9,IR," "
nfl.p.30024,Garrett,Griffin,TE,NO,ATL,NO@ATL,8:20PM EST,10,8.2,IR," "
nfl.p.31096,Ito,Smith,RB,ATL,NO,NO@ATL,8:20PM EST,10,4.4,IR," "
nfl.p.29806,Jason,Vander Laan,TE,NO,ATL,NO@ATL,8:20PM EST,10,0.0," "," "
