"Rank","Tier","WSIS","Flex Position (RB/WR/TE)","Team","Pos","Opp","Best","Worst","Avg","Std Dev"
"284","undefined","","Trevor Davis","GB","WR136","vs. MIN","185","256","233.8","13.5"
"285","undefined","","Xavier Grimble","PIT","TE67","vs. SEA","232","346","255.6","27.9"
"286","undefined","","Wendell Smallwood","WAS","RB83","vs. DAL","199","310","238.0","51.0"
"287","undefined","","Trent Taylor","SF","WR137","at CIN","183","224","203.5","20.5"
"288","undefined","","Mo Alie-Cox","IND","TE68","at TEN","225","258","250.1","5.8"
"289","undefined","","Jakobi Meyers","NE","WR138","at MIA","188","255","241.3","16.0"
"290","undefined","","Jordan Wilkins","IND","RB84","at TEN","200","275","235.3","30.8"
"291","undefined","","Nick O'Leary","MIA","TE69","vs. NE","220","263","249.1","9.2"
"292","undefined","","John Ursua","SEA","WR139","at PIT","213","221","217.0","4.0"
"293","undefined","","Chris Moore","BAL","WR140","vs. ARI","213","251","231.7","15.5"
"294","undefined","","C.J. Prosise","SEA","RB85","at PIT","205","316","254.0","46.2"
"295","undefined","","Braxton Berrios","NYJ","WR141","vs. CLE","214","330","259.0","50.8"
"296","undefined","","Dwayne Harris","OAK","WR142","vs. KC","210","249","235.7","18.2"
"297","undefined","","Javon Wims","CHI","WR143","at DEN","220","233","226.5","6.5"
"298","undefined","","Benny Snell Jr.","PIT","RB86","vs. SEA","199","276","237.5","38.5"
"299","undefined","","Devine Ozigbo","JAC","RB87","at HOU","200","296","248.0","48.0"
"300","undefined","","Cody Core","NYG","WR144","vs. BUF","217","242","229.5","12.5"
"301","undefined","","Mack Hollins","PHI","WR145","at ATL","206","344","275.0","69.0"
"302","undefined","","DeAndre Carter","HOU","WR146","vs. JAC","218","255","236.5","18.5"
"303","undefined","","Darius Jennings","TEN","WR147","vs. IND","216","324","270.0","54.0"
"304","undefined","","Isaiah McKenzie","BUF","WR148","at NYG","218","277","247.5","29.5"
"305","undefined","","Ray-Ray McCloud","CAR","WR149","vs. TB","221","360","290.5","69.5"
"306","undefined","","Bobo Wilson","TB","WR150","at CAR","223","331","277.0","54.0"
"307","undefined","","Ross Dwelley","SF","TE70","at CIN","246","334","266.6","33.8"
"308","undefined","","Tyler Ervin","JAC","RB88","at HOU","226","319","272.5","46.5"
