"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","salary","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"267","Demetrius Harris","CLV","te","7","BLT","1.6","10","0","0","0","0","0","0","0","0","0","1.3625","0.8124","8.5591","0.0555","0.0025","0.0012","0.0029","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"268","Phillip Dorsett","NE","wr","10","BUF","2.5","10","0","0","0","0","0","0","0","0","0","1.4903","1.044","14.2659","0.0849","0.0039","0.0019","0.0021","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"269","J.P. Holtz","CHI","te","6","KC","1.5","10","0","0","0","0","0","0","0","0","0","1.069","0.7431","8.1279","0.0489","0.0026","0.0013","0.0022","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"270","Tanner Hudson","TB","te","7","HST","1.5","10","0","0","0","0","0","0","0","0","0","1.001","0.7216","7.8764","0.0512","0.0025","0.0013","0.0022","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"271","Pharoh Cooper","ARZ","wr","12","@SEA","2.4","10","0","0","0","0","0","0","0","0","0","2.121","1.3825","13.1083","0.0518","0.0734","0.0367","0.0027","75.2328","0.0338","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"272","Luke Willson","SEA","te","11","ARZ","1.4","10","0","0","0","0","0","0","0","0","0","0.8568","0.6364","5.5186","0.0807","0.0021","0.001","0.0014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"273","Tyler Kroft","BUF","te","6","@NE","1.4","10","0","0","0","0","0","0","0","0","0","1.0512","0.7147","7.4643","0.0433","0.0022","0.0011","0.0014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"274","Malcolm Brown","LA","rb","9","@SF","1.3","10","0","0","0","0","0","0","2.5576","9.2695","0.0347","0.1328","0.1059","0.7512","0.0031","0.013","0.0065","0.0007","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"275","Chase Edmonds","ARZ","rb","12","@SEA","1.2","11","0","0","0","0","0","0","0.7902","2.9213","0.0146","0.825","0.6242","4.2273","0.0159","0.0085","0.0042","0.0007","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"276","Travis Homer","SEA","rb","11","ARZ","1.2","10","0","0","0","0","0","0","1.4743","6.4115","0.0585","0.1161","0.0922","0.6741","0.0051","0.0314","0.0157","0.0007","40.9103","0.0197","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
