"Rank","Tier","WSIS","Tight Ends","Team","Opp","Best","Worst","Avg","Std Dev"
"44","undefined","","Jonnu Smith","TEN","vs. IND","29","54","43.1","4.6"
"45","undefined","","Jesse James","DET","vs. LAC","25","52","43.4","4.2"
"46","undefined","","Foster Moreau","OAK","vs. KC","29","64","49.0","7.6"
"47","undefined","","Jeff Heuerman","DEN","vs. CHI","36","61","49.8","5.7"
"48","undefined","","Nick Boyle","BAL","vs. ARI","37","60","50.6","4.7"
"49","undefined","","Demetrius Harris","CLE","at NYJ","42","60","51.6","4.5"
"50","undefined","","Matt LaCosse","NE","at MIA","32","69","47.9","8.9"
"51","undefined","","Josh Hill","NO","at LAR","36","62","52.0","5.4"
"52","undefined","","Tommy Sweeney","BUF","at NYG","40","59","48.7","6.1"
"53","undefined","","Rhett Ellison","NYG","vs. BUF","43","64","52.1","4.5"
"54","undefined","","Robert Tonyan","GB","vs. MIN","30","81","50.6","10.2"
"55","undefined","","Marcedes Lewis","GB","vs. MIN","32","70","53.2","9.1"
"56","undefined","","Ryan Izzo","NE","at MIA","30","65","50.6","10.1"
"57","undefined","","Blake Bell","KC","at OAK","44","71","55.3","5.4"
"58","undefined","","Darren Fells","HOU","vs. JAC","40","66","54.9","7.9"
"59","undefined","","Jeremy Sprinkle","WAS","vs. DAL","40","70","57.3","8.4"
"60","undefined","","Maxx Williams","ARI","at BAL","46","73","58.6","6.2"
"61","undefined","","Sean Culkin","LAC","at DET","34","74","55.3","10.3"
"62","undefined","","Luke Stocker","ATL","vs. PHI","47","78","59.9","6.6"
"63","undefined","","Mo Alie-Cox","IND","at TEN","45","70","62.1","4.0"
"64","undefined","","Xavier Grimble","PIT","vs. SEA","50","83","62.2","7.1"
"65","undefined","","Nick O'Leary","MIA","vs. NE","30","66","58.3","7.4"
"66","undefined","","Tyler Kroft","BUF","at NYG","25","54","46.6","8.2"
"67","undefined","","Ben Braunecker","CHI","at DEN","38","89","65.1","13.7"
"68","undefined","","Ross Dwelley","SF","at CIN","61","87","71.5","7.2"
"69","undefined","","Chris Manhertz","CAR","vs. TB","53","71","65.0","4.4"
"70","undefined","","Drew Sample","CIN","vs. SF","61","78","69.4","4.4"
"71","undefined","","MyCole Pruitt","TEN","vs. IND","50","74","66.6","8.5"
"72","undefined","","Austin Seferian-Jenkins","FA","","23","48","35.5","12.5"
"73","undefined","","Anthony Firkser","TEN","vs. IND","54","85","71.2","7.0"
"74","undefined","","Trevon Wesco","NYJ","vs. CLE","63","81","72.3","4.8"
"75","undefined","","Lee Smith","BUF","at NYG","49","64","58.3","6.6"
"76","undefined","","Troy Fumagalli","DEN","vs. CHI","60","85","73.3","7.7"
"77","undefined","","Tyler Conklin","NE","at MIA","67","84","73.7","5.5"
"78","undefined","","Derek Carrier","OAK","vs. KC","51","70","60.3","7.8"
"79","undefined","","Durham Smythe","MIA","vs. NE","53","75","72.0","3.0"
"80","undefined","","Ricky Seals-Jones","CLE","at NYJ","41","69","55.0","14.0"
"81","undefined","","Logan Thomas","DET","vs. LAC","59","79","70.0","8.3"
"82","undefined","","Logan Paulsen","HOU","vs. JAC","50","82","66.0","16.0"
"83","undefined","","Dalton Schultz","DAL","at WAS","61","75","68.0","7.0"
"84","undefined","","Seth DeValve","JAC","at HOU","67","73","70.0","3.0"
"85","undefined","","Antony Auclair","TB","at CAR","74","80","78.0","2.8"
"86","undefined","","Levine Toilolo","SF","at CIN","68","90","79.0","11.0"
"87","undefined","","Jerell Adams","HOU","vs. JAC","77","82","79.5","2.5"
"88","undefined","","Cethan Carter","CIN","vs. SF","83","86","84.5","1.5"
"89","undefined","","Eric Tomlinson","NYG","vs. BUF","87","91","89.0","2.0"
""
""
