"Rank","Tier","WSIS","Tight Ends","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"29","undefined","","C.J. Uzomah","CIN","vs. ARI","19","48","29.7","6.9","3.2"
"30","undefined","","Irv Smith Jr.","MIN","at NYG","23","36","31.6","2.9","3.0"
"31","undefined","","Nick Vannett","PIT","vs. BAL","28","36","32.2","2.2","2.9"
"32","undefined","","Blake Jarwin","DAL","vs. GB","28","36","32.5","2.3","2.8"
"33","undefined","","Jeremy Sprinkle","WAS","vs. NE","22","40","31.4","4.8","2.8"
"34","undefined","","Demetrius Harris","CLE","at SF","29","40","35.0","3.0","2.8"
"35","undefined","","Tyler Higbee","LAR","at SEA","31","36","33.8","1.8","2.8"
"36","undefined","","Vance McDonald","PIT","vs. BAL","14","39","29.4","7.7","2.7"
"37","undefined","","Lance Kendricks","LAC","vs. DEN","22","44","37.0","3.9","2.7"
"38","undefined","","Darren Fells","HOU","vs. ATL","22","40","37.2","3.4","2.7"
"39","undefined","","Ryan Griffin","NYJ","at PHI","35","59","42.6","7.1","2.6"
"40","undefined","","Nick Boyle","BAL","at PIT","24","47","42.9","3.4","2.6"
"41","undefined","","Geoff Swaim","JAC","at CAR","27","44","39.3","2.7","2.5"
"42","undefined","","Marcedes Lewis","GB","at DAL","31","46","40.8","4.3","2.5"
"43","undefined","","Josh Hill","NO","vs. TB","42","47","44.3","1.8","2.3"
"44","undefined","","Robert Tonyan","GB","at DAL","38","41","40.4","0.8","2.3"
"45","undefined","","Adam Shaheen","CHI","at OAK","35","50","45.7","3.4","2.2"
"46","undefined","","Maxx Williams","ARI","at CIN","38","53","48.8","2.1","2.1"
"47","undefined","","Charles Clay","ARI","at CIN","36","51","49.5","2.1","2.1"
"48","undefined","","Jeff Heuerman","DEN","at LAC","43","49","46.8","2.3","2.0"
"49","undefined","","Foster Moreau","OAK","vs. CHI","40","57","51.0","4.1","2.0"
"50","undefined","","Jonnu Smith","TEN","vs. BUF","44","56","50.0","4.0","1.8"
"51","undefined","","Drew Sample","CIN","vs. ARI","37","63","51.6","8.9","1.7"
"52","undefined","","Matt LaCosse","NE","at WAS","33","60","48.8","10.7","1.7"
"53","undefined","","Tommy Sweeney","BUF","at TEN","47","57","53.6","3.7","1.7"
"54","undefined","","Rhett Ellison","NYG","vs. MIN","49","61","54.0","4.0","1.6"
"55","undefined","","Virgil Green","LAC","vs. DEN","42","62","54.2","6.8","1.5"
"56","undefined","","Mo Alie-Cox","IND","at KC","44","60","54.8","5.9","1.5"
"57","undefined","","Luke Willson","SEA","vs. LAR","47","63","52.0","6.6","1.5"
"58","undefined","","Stephen Anderson","LAC","vs. DEN","39","59","50.3","8.4","1.5"
"59","undefined","","Derek Carrier","OAK","vs. CHI","52","64","58.0","4.4","1.4"
"60","undefined","","Luke Stocker","ATL","at HOU","55","58","56.5","1.1","1.4"
"61","undefined","","Ryan Izzo","NE","at WAS","41","65","53.7","9.8","1.4"
"62","undefined","","Pharaoh Brown","CLE","at SF","49","55","52.0","3.0","1.3"
"63","undefined","","Deon Yelder","KC","vs. IND","54","56","55.0","1.0","1.3"
"64","undefined","","Ian Thomas","CAR","vs. JAC","58","61","59.5","1.5","1.3"
"65","undefined","","Levine Toilolo","SF","vs. CLE","62","67","63.7","2.4","1.3"
"66","undefined","","Blake Bell","KC","vs. IND","61","66","64.0","2.2","1.2"
"67","undefined","","Lee Smith","BUF","at TEN","58","68","63.0","5.0","1.2"
""
""
