opponent,over_under_line,schedule_season,schedule_week,team,weather_detail,weather_temperature,weather_wind_mph,spread_team,is_favorite
ATL,49.5,2017,1,CHI,,66.0,9.0,-7.0,0
ATL,,1971,8,CIN,,26.0,10.0,,0
ATL,,1978,14,CIN,,49.0,15.0,,0
ATL,37,1984,13,CIN,,40.0,6.0,6.5,1
ATL,34,1993,17,CIN,,16.0,10.0,-3.5,0
ATL,44,1996,13,CIN,,47.0,6.0,6.0,1
ATL,46.5,2006,8,CIN,,50.0,11.0,4.5,1
ATL,49,2014,2,CIN,,68.0,4.0,5.5,1
ATL,,1968,7,CLE,,45.0,17.0,,0
ATL,,1971,7,CLE,,63.0,11.0,,0
ATL,44,1981,4,CLE,,70.0,17.0,-2.0,0
ATL,44,1987,5,CLE,,54.0,13.0,13.0,1
ATL,39,1990,15,CLE,,39.0,15.0,0.0,0
ATL,41,2002,17,CLE,,33.0,7.0,-2.5,0
ATL,41.5,2010,5,CLE,,66.0,9.0,-3.0,0
ATL,49.5,2018,10,CLE,,36.0,9.0,-5.5,0
ATL,,1967,8,DAL,,46.0,6.0,,0
ATL,,1970,4,DAL,,61.0,10.0,,0
ATL,45.5,1985,8,DAL,,64.0,11.0,13.0,1
ATL,42,1986,3,DAL,,80.0,13.0,7.5,1
ATL,44,1987,9,DAL,,65.0,15.0,9.5,1
ATL,42,1988,4,DAL,,69.0,10.0,6.0,1
ATL,39,1991,17,DAL,,48.0,8.0,3.0,1
ATL,43,1996,8,DAL,,70.0,17.0,15.0,1
ATL,42,1999,2,DAL,,83.0,11.0,6.5,1
ATL,36.5,2003,1,DAL,,75.0,6.0,2.0,1
ATL,48,2009,7,DAL,,73.0,13.0,5.0,1
ATL,43.5,2015,3,DAL,DOME,72.0,0.0,0.0,0
ATL,,1970,5,DEN,,43.0,5.0,,0
ATL,42,1982,5,DEN,,36.0,6.0,3.5,1
ATL,42,1988,7,DEN,,61.0,15.0,13.0,1
ATL,44,1994,12,DEN,,34.0,13.0,6.0,1
ATL,47,2000,2,DEN,,71.0,10.0,4.5,1
ATL,39.5,2004,8,DEN,,41.0,10.0,7.0,1
ATL,44.5,2016,5,DEN,,73.0,1.0,3.5,1
ATL,,1966,3,DET,,56.0,9.0,,0
ATL,,1967,6,DET,,40.0,8.0,,0
ATL,,1969,8,DET,,44.0,8.0,,0
ATL,,1971,3,DET,,69.0,7.0,,0
ATL,,1973,3,DET,,59.0,11.0,,0
ATL,,1976,2,DET,DOME,72.0,0.0,,0
ATL,37,1979,4,DET,DOME,72.0,0.0,-6.0,0
ATL,38.5,1983,3,DET,DOME,72.0,0.0,3.0,1
ATL,39,1986,16,DET,DOME,72.0,0.0,3.0,1
ATL,43,1988,1,DET,DOME,72.0,0.0,4.0,1
ATL,50,1990,2,DET,DOME,72.0,0.0,3.5,1
ATL,44,1993,1,DET,DOME,72.0,0.0,5.0,1
ATL,45,1994,1,DET,DOME,72.0,0.0,5.0,1
ATL,44,1996,6,DET,DOME,72.0,0.0,10.0,1
ATL,41.5,1997,1,DET,DOME,72.0,0.0,7.5,1
ATL,45,1998,16,DET,DOME,72.0,0.0,-6.5,0
ATL,40,2000,11,DET,DOME,72.0,0.0,8.5,1
ATL,40.5,2005,12,DET,DOME,72.0,0.0,-3.0,0
ATL,47,2006,9,DET,DOME,72.0,0.0,5.0,1
ATL,47,2011,7,DET,DOME,72.0,0.0,4.5,1
ATL,50.5,2012,16,DET,DOME,72.0,0.0,-4.0,0
ATL,51,2017,3,DET,DOME,72.0,0.0,-3.0,0
ATL,,1966,7,GB,,46.0,14.0,,0
ATL,,1967,3,GB,,53.0,8.0,,0
ATL,,1969,6,GB,,44.0,14.0,,0
ATL,,1970,2,GB,,47.0,12.0,,0
ATL,,1972,6,GB,,49.0,8.0,,0
ATL,,1975,14,GB,,10.0,8.0,,0
ATL,39,1981,2,GB,,65.0,8.0,-4.0,0
ATL,44,1989,4,GB,,61.0,10.0,7.0,1
ATL,39.5,1994,16,GB,,34.0,13.0,7.5,1
ATL,39.5,2001,10,GB,,54.0,11.0,10.0,1
ATL,42.5,2002,1,GB,,72.0,6.0,7.0,1
ATL,42.5,2008,5,GB,,47.0,7.0,5.0,1
ATL,45,2013,14,GB,Snow,9.0,9.0,3.5,1
ATL,55,2014,14,GB,,32.0,4.0,13.5,1
ATL,50.5,2018,14,GB,,25.0,10.0,4.0,1
ATL,,1976,12,TEN,DOME,72.0,0.0,,0
ATL,42,1981,13,TEN,DOME,72.0,0.0,-4.0,0
ATL,41,1987,3,TEN,DOME,72.0,0.0,4.0,1
ATL,42,1993,14,TEN,DOME,72.0,0.0,7.5,1
ATL,42.5,2003,13,HOU,DOME,72.0,0.0,3.0,1
ATL,38,2011,13,HOU,DOME (Open Roof),72.0,2.0,-2.0,0
ATL,,2019,5,HOU,DOME,72.0,0.0,,0
ATL,45,1989,3,IND,DOME,72.0,0.0,7.5,1
ATL,46.5,2001,14,IND,DOME,72.0,0.0,4.0,1
ATL,48,2003,15,IND,DOME,72.0,0.0,7.5,1
ATL,45.5,2011,9,IND,DOME,72.0,0.0,-7.0,0
ATL,,2019,3,IND,DOME,72.0,0.0,,0
ATL,45,1996,17,JAX,,49.0,11.0,8.5,1
ATL,34.5,2007,2,JAX,,83.0,12.0,10.0,1
ATL,48,2015,15,JAX,,68.0,7.0,2.0,1
ATL,43,1985,14,KC,,36.0,6.0,3.5,1
ATL,42,1991,1,KC,,75.0,10.0,7.0,1
ATL,44.5,2004,7,KC,,59.0,11.0,3.5,1
ATL,43,2012,1,KC,,73.0,7.0,-2.5,0
ATL,39,1988,12,OAK,,55.0,6.0,8.0,1
ATL,44.5,1994,8,OAK,,62.0,7.0,4.5,1
ATL,,1967,12,LAR,,56.0,8.0,,0
ATL,,1968,6,LAR,,63.0,8.0,,0
ATL,,1969,2,LAR,,66.0,10.0,,0
ATL,,1970,8,LAR,,62.0,11.0,,0
ATL,,1971,2,LAR,,64.0,10.0,,0
ATL,,1972,8,LAR,,61.0,8.0,,0
ATL,,1973,2,LAR,,65.0,9.0,,0
