,nfl.p.24793,nfl.p.26650,nfl.p.26664,nfl.p.27538,nfl.p.27564,nfl.p.28402,nfl.p.28408,nfl.p.28461,nfl.p.28592,nfl.p.29238,nfl.p.29785,nfl.p.30117,nfl.p.30121,nfl.p.30132,nfl.p.30154,nfl.p.30161,nfl.p.30256,nfl.p.30269,nfl.p.30502,nfl.p.30977,nfl.p.30994,nfl.p.31002,nfl.p.31017,nfl.p.31019,nfl.p.31031,nfl.p.31051,nfl.p.31056,nfl.p.31100,nfl.p.31840,nfl.p.31856,nfl.p.31868,nfl.p.6762,nfl.p.9353,nfl.p.9496,nfl.t.14,nfl.t.16,nfl.t.20,nfl.t.7,Proj. Pts,teamRank
195,0.0,13.4,0.0,0.0,0.0,0.0,0.0,12.9,0.0,0.0,7.3,0.0,20.6,5.7,0.0,0.0,0.0,12.6,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,11.8,0.0,0.0,115.1,38.0
80,0.0,0.0,8.5,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,20.6,0.0,0.0,0.0,0.0,12.6,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.7,7.8,0.0,7.6,0.0,0.0,11.8,0.0,0.0,115.1,38.0
56,0.0,13.4,0.0,0.0,0.0,0.0,0.0,12.9,0.0,0.0,7.3,15.6,0.0,5.7,17.6,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,11.8,0.0,0.0,115.1,38.0
59,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,7.3,15.6,20.6,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.7,7.8,0.0,0.0,0.0,0.0,11.8,0.0,0.0,115.00000000000001,41.0
190,0.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6,0.0,0.0,0.0,0.0,12.6,0.0,18.8,0.0,0.0,0.0,4.8,9.5,0.0,0.0,0.0,0.0,15.7,7.8,0.0,0.0,0.0,0.0,11.8,0.0,0.0,115.0,42.0
6,0.0,13.4,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,15.6,20.6,0.0,0.0,0.0,0.0,12.6,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,7.6,0.0,0.0,0.0,0.0,6.9,115.0,42.0
206,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,20.6,0.0,0.0,0.0,0.0,12.6,0.0,0.0,0.0,23.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,15.7,7.8,0.0,7.6,0.0,0.0,11.8,0.0,0.0,115.0,42.0
167,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,8.0,0.0,7.3,15.6,20.6,0.0,17.6,0.0,0.0,0.0,0.0,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,11.8,0.0,0.0,115.0,42.0
54,0.0,13.4,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,20.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,4.8,0.0,0.0,0.0,9.5,0.0,0.0,7.8,0.0,0.0,0.0,0.0,11.8,0.0,0.0,115.0,42.0
52,0.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,20.6,0.0,17.6,0.0,0.0,0.0,0.0,18.8,0.0,0.0,0.0,4.8,9.5,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,11.8,0.0,0.0,115.0,42.0
